Species,Owner,Country.of.Origin,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Month,Grading.Year,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration.Month,Expiration.Year,Certification.Body
Arabica,metad plc,Ethiopia,metad agricultural developmet plc,2075,guji-hambela,METAD PLC,300,60,METAD Agricultural Development plc,2014,April,2015,,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,Green,0,April,2016,METAD Agricultural Development plc
Arabica,metad plc,Ethiopia,metad agricultural developmet plc,2075,guji-hambela,METAD PLC,300,60,METAD Agricultural Development plc,2014,April,2015,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,0,Green,1,April,2016,METAD Agricultural Development plc
Arabica,Grounds for Health Admin,Guatemala,,1700,,,5,1,Specialty Coffee Association,2014,May,2010,Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0,,0,May,2011,Specialty Coffee Association
Arabica,Yidnekachew Dabessa,Ethiopia,yidnekachew debessa coffee plantation,2000,oromia,Yidnekachew Dabessa Coffee Plantation,320,60,METAD Agricultural Development plc,2014,March,2015,,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,0,Green,2,March,2016,METAD Agricultural Development plc
Arabica,metad plc,Ethiopia,metad agricultural developmet plc,2075,guji-hambela,METAD PLC,300,60,METAD Agricultural Development plc,2014,April,2015,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,0,Green,2,April,2016,METAD Agricultural Development plc
Arabica,Ji-Ae Ahn,Brazil,,,,,100,30,Specialty Coffee Institute of Asia,2013,September,2013,,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,0,Bluish-Green,1,September,2014,Specialty Coffee Institute of Asia
Arabica,Hugo Valdivia,Peru,richmond investment-coffee department,,,HVC,100,69,Specialty Coffee Institute of Asia,2012,September,2012,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,Bluish-Green,0,September,2013,Specialty Coffee Institute of Asia
Arabica,Ethiopia Commodity Exchange,Ethiopia,,1635,oromia,Bazen Agricultural & Industrial Dev't Plc,300,60,Ethiopia Commodity Exchange,2010,September,2010,,,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0,,0,September,2011,Ethiopia Commodity Exchange
Arabica,Ethiopia Commodity Exchange,Ethiopia,,1635,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60,Ethiopia Commodity Exchange,2010,September,2010,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0,,0,September,2011,Ethiopia Commodity Exchange
Arabica,Diamond Enterprise Plc,Ethiopia,diamond enterprise plc,1823,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,50,60,METAD Agricultural Development plc,2014,March,2015,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,0,Green,4,March,2016,METAD Agricultural Development plc
Arabica,Mohammed Lalo,Ethiopia,fahem coffee plantation,1905,oromia,Fahem Coffee Plantation,300,60,METAD Agricultural Development plc,2014,March,2015,,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,0,,1,March,2016,METAD Agricultural Development plc
Arabica,CQI Q Coffee Sample Representative,United States,coffee quality institute,1872,antioquia,Alfredo De Jesús López Pérez,10,1,Almacafé,2014,March,2015,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,0,0,,0,March,2016,Almacafé
Arabica,CQI Q Coffee Sample Representative,United States,coffee quality institute,1943,antioquia,Jorge Walter Restrepo,10,1,Almacafé,2014,March,2015,Other,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,0,0,,0,March,2016,Almacafé
