datetime,Temperature - (Celsius),Rainfall - (MM), Country
1991-01-01,25.6309,265.675, Brazil
1991-02-01,25.9331,191.252, Brazil
1991-03-01,25.6195,238.854, Brazil
1991-04-01,25.3122,188.449, Brazil
1991-05-01,24.6685,118.873, Brazil
1991-06-01,23.9559,84.7695, Brazil
1991-07-01,23.2381,66.6732, Brazil
1991-08-01,23.9559,48.699, Brazil
1991-09-01,25.2297,70.8228, Brazil
1991-10-01,25.5777,92.1602, Brazil
1991-11-01,25.9442,139.669, Brazil
1991-12-01,26.0139,158.582, Brazil
1992-01-01,25.7539,232.945, Brazil
1992-02-01,25.6635,227.389, Brazil
1992-03-01,25.5218,228.136, Brazil
1992-04-01,25.2168,161.243, Brazil
1992-05-01,25.0763,94.2374, Brazil
1992-06-01,24.3627,58.4615, Brazil
1992-07-01,22.7497,62.6313, Brazil
1992-08-01,23.9357,54.3506, Brazil
1992-09-01,24.4702,96.2761, Brazil
1992-10-01,25.6455,112.334, Brazil
1992-11-01,25.3548,167.401, Brazil
1992-12-01,25.3782,186.117, Brazil
1993-01-01,25.7122,203.732, Brazil
1993-02-01,25.3757,235.652, Brazil
1993-03-01,25.6605,178.804, Brazil
1993-04-01,25.5324,164.613, Brazil
1993-05-01,24.4301,113.278, Brazil
1993-06-01,23.6868,75.472, Brazil
1993-07-01,23.3538,63.4771, Brazil
1993-08-01,24.0561,57.9194, Brazil
1993-09-01,25.0921,82.9538, Brazil
1993-10-01,26.0299,120.069, Brazil
1993-11-01,25.9032,186.406, Brazil
1993-12-01,25.7751,209.329, Brazil
1994-01-01,25.5768,265.457, Brazil
1994-02-01,25.7538,220.089, Brazil
1994-03-01,25.4201,260.323, Brazil
1994-04-01,25.2587,176.031, Brazil
1994-05-01,24.9608,120.584, Brazil
1994-06-01,23.6368,112.056, Brazil
1994-07-01,23.2637,62.1686, Brazil
1994-08-01,24.2578,56.0615, Brazil
1994-09-01,25.4814,84.8095, Brazil
