Rainfall - (MM), Year, Statistics, Country, ISO3
139.561, 1991, Jan Average, Burundi, BDI
156.547, 1991, Feb Average, Burundi, BDI
130.281, 1991, Mar Average, Burundi, BDI
153.952, 1991, Apr Average, Burundi, BDI
122.998, 1991, May Average, Burundi, BDI
22.6296, 1991, Jun Average, Burundi, BDI
4.21206, 1991, Jul Average, Burundi, BDI
17.869, 1991, Aug Average, Burundi, BDI
73.7683, 1991, Sep Average, Burundi, BDI
149.38, 1991, Oct Average, Burundi, BDI
119.579, 1991, Nov Average, Burundi, BDI
138.999, 1991, Dec Average, Burundi, BDI
116.73, 1992, Jan Average, Burundi, BDI
103.796, 1992, Feb Average, Burundi, BDI
123.414, 1992, Mar Average, Burundi, BDI
152.182, 1992, Apr Average, Burundi, BDI
112.551, 1992, May Average, Burundi, BDI
19.5562, 1992, Jun Average, Burundi, BDI
0.8702, 1992, Jul Average, Burundi, BDI
2.65905, 1992, Aug Average, Burundi, BDI
42.6571, 1992, Sep Average, Burundi, BDI
133.104, 1992, Oct Average, Burundi, BDI
167.78, 1992, Nov Average, Burundi, BDI
165.713, 1992, Dec Average, Burundi, BDI
155.894, 1993, Jan Average, Burundi, BDI
119.264, 1993, Feb Average, Burundi, BDI
159.001, 1993, Mar Average, Burundi, BDI
131.67, 1993, Apr Average, Burundi, BDI
122.397, 1993, May Average, Burundi, BDI
10.9505, 1993, Jun Average, Burundi, BDI
0.00412, 1993, Jul Average, Burundi, BDI
22.2917, 1993, Aug Average, Burundi, BDI
21.5363, 1993, Sep Average, Burundi, BDI
48.7071, 1993, Oct Average, Burundi, BDI
132.767, 1993, Nov Average, Burundi, BDI
132.905, 1993, Dec Average, Burundi, BDI
146.021, 1994, Jan Average, Burundi, BDI
109.021, 1994, Feb Average, Burundi, BDI
174.352, 1994, Mar Average, Burundi, BDI
149.594, 1994, Apr Average, Burundi, BDI
80.4992, 1994, May Average, Burundi, BDI
6.79847, 1994, Jun Average, Burundi, BDI
7.362, 1994, Jul Average, Burundi, BDI
15.2097, 1994, Aug Average, Burundi, BDI
