Rainfall - (MM), Year, Statistics, Country, ISO3
15.7819, 1991, Jan Average, China, CHN
11.5589, 1991, Feb Average, China, CHN
34.9802, 1991, Mar Average, China, CHN
36.091, 1991, Apr Average, China, CHN
53.1658, 1991, May Average, China, CHN
104.215, 1991, Jun Average, China, CHN
118.325, 1991, Jul Average, China, CHN
87.8016, 1991, Aug Average, China, CHN
52.5347, 1991, Sep Average, China, CHN
25.4293, 1991, Oct Average, China, CHN
13.3635, 1991, Nov Average, China, CHN
13.1937, 1991, Dec Average, China, CHN
12.6969, 1992, Jan Average, China, CHN
20.6624, 1992, Feb Average, China, CHN
46.6507, 1992, Mar Average, China, CHN
32.8914, 1992, Apr Average, China, CHN
62.7347, 1992, May Average, China, CHN
91.2332, 1992, Jun Average, China, CHN
100.918, 1992, Jul Average, China, CHN
80.2817, 1992, Aug Average, China, CHN
53.7486, 1992, Sep Average, China, CHN
26.4683, 1992, Oct Average, China, CHN
12.041, 1992, Nov Average, China, CHN
12.968, 1992, Dec Average, China, CHN
14.7982, 1993, Jan Average, China, CHN
20.3659, 1993, Feb Average, China, CHN
25.1549, 1993, Mar Average, China, CHN
35.0231, 1993, Apr Average, China, CHN
63.2322, 1993, May Average, China, CHN
104.058, 1993, Jun Average, China, CHN
114.149, 1993, Jul Average, China, CHN
107.458, 1993, Aug Average, China, CHN
59.7317, 1993, Sep Average, China, CHN
27.1933, 1993, Oct Average, China, CHN
26.1967, 1993, Nov Average, China, CHN
7.2826, 1993, Dec Average, China, CHN
7.63464, 1994, Jan Average, China, CHN
17.3763, 1994, Feb Average, China, CHN
23.2837, 1994, Mar Average, China, CHN
39.0131, 1994, Apr Average, China, CHN
54.8796, 1994, May Average, China, CHN
100.902, 1994, Jun Average, China, CHN
115.814, 1994, Jul Average, China, CHN
100.762, 1994, Aug Average, China, CHN
57.263, 1994, Sep Average, China, CHN
32.945, 1994, Oct Average, China, CHN
16.9298, 1994, Nov Average, China, CHN
20.3601, 1994, Dec Average, China, CHN
13.377, 1995, Jan Average, China, CHN
16.7496, 1995, Feb Average, China, CHN
20.1704, 1995, Mar Average, China, CHN
34.8549, 1995, Apr Average, China, CHN
52.1409, 1995, May Average, China, CHN
97.8296, 1995, Jun Average, China, CHN
112.135, 1995, Jul Average, China, CHN
107.25, 1995, Aug Average, China, CHN
54.9655, 1995, Sep Average, China, CHN
40.415, 1995, Oct Average, China, CHN
14.1265, 1995, Nov Average, China, CHN
5.4537, 1995, Dec Average, China, CHN
10.8123, 1996, Jan Average, China, CHN
9.52918, 1996, Feb Average, China, CHN
39.5628, 1996, Mar Average, China, CHN
35.7581, 1996, Apr Average, China, CHN
52.835, 1996, May Average, China, CHN
98.4251, 1996, Jun Average, China, CHN
134.096, 1996, Jul Average, China, CHN
101.435, 1996, Aug Average, China, CHN
48.1497, 1996, Sep Average, China, CHN
30.1585, 1996, Oct Average, China, CHN
20.9575, 1996, Nov Average, China, CHN
4.5545, 1996, Dec Average, China, CHN
12.3538, 1997, Jan Average, China, CHN
16.408, 1997, Feb Average, China, CHN
