Rainfall - (MM), Year, Statistics, Country, ISO3
12.2686, 1991, Jan Average, Cote d'Ivoire, CIV
37.9693, 1991, Feb Average, Cote d'Ivoire, CIV
79.822, 1991, Mar Average, Cote d'Ivoire, CIV
129.018, 1991, Apr Average, Cote d'Ivoire, CIV
212.286, 1991, May Average, Cote d'Ivoire, CIV
162.687, 1991, Jun Average, Cote d'Ivoire, CIV
171.061, 1991, Jul Average, Cote d'Ivoire, CIV
181.356, 1991, Aug Average, Cote d'Ivoire, CIV
102.986, 1991, Sep Average, Cote d'Ivoire, CIV
112.571, 1991, Oct Average, Cote d'Ivoire, CIV
41.3705, 1991, Nov Average, Cote d'Ivoire, CIV
7.33449, 1991, Dec Average, Cote d'Ivoire, CIV
4.98593, 1992, Jan Average, Cote d'Ivoire, CIV
30.7998, 1992, Feb Average, Cote d'Ivoire, CIV
51.4824, 1992, Mar Average, Cote d'Ivoire, CIV
126.557, 1992, Apr Average, Cote d'Ivoire, CIV
185.983, 1992, May Average, Cote d'Ivoire, CIV
147.132, 1992, Jun Average, Cote d'Ivoire, CIV
137.539, 1992, Jul Average, Cote d'Ivoire, CIV
86.6913, 1992, Aug Average, Cote d'Ivoire, CIV
167.667, 1992, Sep Average, Cote d'Ivoire, CIV
146.211, 1992, Oct Average, Cote d'Ivoire, CIV
81.1591, 1992, Nov Average, Cote d'Ivoire, CIV
18.0899, 1992, Dec Average, Cote d'Ivoire, CIV
3.45453, 1993, Jan Average, Cote d'Ivoire, CIV
43.2075, 1993, Feb Average, Cote d'Ivoire, CIV
122.072, 1993, Mar Average, Cote d'Ivoire, CIV
128.047, 1993, Apr Average, Cote d'Ivoire, CIV
147.287, 1993, May Average, Cote d'Ivoire, CIV
166.183, 1993, Jun Average, Cote d'Ivoire, CIV
127.293, 1993, Jul Average, Cote d'Ivoire, CIV
116.512, 1993, Aug Average, Cote d'Ivoire, CIV
193.715, 1993, Sep Average, Cote d'Ivoire, CIV
158.076, 1993, Oct Average, Cote d'Ivoire, CIV
55.2685, 1993, Nov Average, Cote d'Ivoire, CIV
10.5209, 1993, Dec Average, Cote d'Ivoire, CIV
8.93245, 1994, Jan Average, Cote d'Ivoire, CIV
38.2017, 1994, Feb Average, Cote d'Ivoire, CIV
66.9074, 1994, Mar Average, Cote d'Ivoire, CIV
115.416, 1994, Apr Average, Cote d'Ivoire, CIV
160.426, 1994, May Average, Cote d'Ivoire, CIV
146.073, 1994, Jun Average, Cote d'Ivoire, CIV
144.357, 1994, Jul Average, Cote d'Ivoire, CIV
146.035, 1994, Aug Average, Cote d'Ivoire, CIV
203.505, 1994, Sep Average, Cote d'Ivoire, CIV
236.942, 1994, Oct Average, Cote d'Ivoire, CIV
57.1173, 1994, Nov Average, Cote d'Ivoire, CIV
2.80765, 1994, Dec Average, Cote d'Ivoire, CIV
3.59611, 1995, Jan Average, Cote d'Ivoire, CIV
16.23, 1995, Feb Average, Cote d'Ivoire, CIV
102.979, 1995, Mar Average, Cote d'Ivoire, CIV
141.348, 1995, Apr Average, Cote d'Ivoire, CIV
159.776, 1995, May Average, Cote d'Ivoire, CIV
184.034, 1995, Jun Average, Cote d'Ivoire, CIV
156.412, 1995, Jul Average, Cote d'Ivoire, CIV
219.071, 1995, Aug Average, Cote d'Ivoire, CIV
200.71, 1995, Sep Average, Cote d'Ivoire, CIV
132.419, 1995, Oct Average, Cote d'Ivoire, CIV
43.925, 1995, Nov Average, Cote d'Ivoire, CIV
47.1507, 1995, Dec Average, Cote d'Ivoire, CIV
10.5949, 1996, Jan Average, Cote d'Ivoire, CIV
54.8043, 1996, Feb Average, Cote d'Ivoire, CIV
67.2867, 1996, Mar Average, Cote d'Ivoire, CIV
135.407, 1996, Apr Average, Cote d'Ivoire, CIV
165.413, 1996, May Average, Cote d'Ivoire, CIV
222.553, 1996, Jun Average, Cote d'Ivoire, CIV
208.661, 1996, Jul Average, Cote d'Ivoire, CIV
199.383, 1996, Aug Average, Cote d'Ivoire, CIV
157.531, 1996, Sep Average, Cote d'Ivoire, CIV
113.953, 1996, Oct Average, Cote d'Ivoire, CIV
32.1265, 1996, Nov Average, Cote d'Ivoire, CIV
32.9978, 1996, Dec Average, Cote d'Ivoire, CIV
28.099, 1997, Jan Average, Cote d'Ivoire, CIV
5.7316, 1997, Feb Average, Cote d'Ivoire, CIV
64.201, 1997, Mar Average, Cote d'Ivoire, CIV
117.155, 1997, Apr Average, Cote d'Ivoire, CIV
148.742, 1997, May Average, Cote d'Ivoire, CIV
234.949, 1997, Jun Average, Cote d'Ivoire, CIV
103.436, 1997, Jul Average, Cote d'Ivoire, CIV
124.921, 1997, Aug Average, Cote d'Ivoire, CIV
154.811, 1997, Sep Average, Cote d'Ivoire, CIV
146.614, 1997, Oct Average, Cote d'Ivoire, CIV
59.0025, 1997, Nov Average, Cote d'Ivoire, CIV
8.45236, 1997, Dec Average, Cote d'Ivoire, CIV
