Rainfall - (MM), Year, Statistics, Country, ISO3
66.1624, 1991, Jan Average, Colombia, COL
77.9094, 1991, Feb Average, Colombia, COL
235.818, 1991, Mar Average, Colombia, COL
211.369, 1991, Apr Average, Colombia, COL
240.932, 1991, May Average, Colombia, COL
221.44, 1991, Jun Average, Colombia, COL
261.835, 1991, Jul Average, Colombia, COL
200.587, 1991, Aug Average, Colombia, COL
198.664, 1991, Sep Average, Colombia, COL
149.355, 1991, Oct Average, Colombia, COL
183.212, 1991, Nov Average, Colombia, COL
110.81, 1991, Dec Average, Colombia, COL
62.2706, 1992, Jan Average, Colombia, COL
83.7436, 1992, Feb Average, Colombia, COL
108.5, 1992, Mar Average, Colombia, COL
202.089, 1992, Apr Average, Colombia, COL
217.529, 1992, May Average, Colombia, COL
194.595, 1992, Jun Average, Colombia, COL
249.382, 1992, Jul Average, Colombia, COL
217.829, 1992, Aug Average, Colombia, COL
231.187, 1992, Sep Average, Colombia, COL
126.71, 1992, Oct Average, Colombia, COL
197.326, 1992, Nov Average, Colombia, COL
148.429, 1992, Dec Average, Colombia, COL
133.991, 1993, Jan Average, Colombia, COL
121.207, 1993, Feb Average, Colombia, COL
196.087, 1993, Mar Average, Colombia, COL
248.34, 1993, Apr Average, Colombia, COL
312.04, 1993, May Average, Colombia, COL
180.076, 1993, Jun Average, Colombia, COL
314.694, 1993, Jul Average, Colombia, COL
220.016, 1993, Aug Average, Colombia, COL
277.103, 1993, Sep Average, Colombia, COL
208.869, 1993, Oct Average, Colombia, COL
287.299, 1993, Nov Average, Colombia, COL
134.203, 1993, Dec Average, Colombia, COL
137.891, 1994, Jan Average, Colombia, COL
129.797, 1994, Feb Average, Colombia, COL
212.404, 1994, Mar Average, Colombia, COL
211.245, 1994, Apr Average, Colombia, COL
282.009, 1994, May Average, Colombia, COL
223.708, 1994, Jun Average, Colombia, COL
277.94, 1994, Jul Average, Colombia, COL
206.989, 1994, Aug Average, Colombia, COL
246.923, 1994, Sep Average, Colombia, COL
299.697, 1994, Oct Average, Colombia, COL
275.502, 1994, Nov Average, Colombia, COL
110.825, 1994, Dec Average, Colombia, COL
103.374, 1995, Jan Average, Colombia, COL
64.9245, 1995, Feb Average, Colombia, COL
184.072, 1995, Mar Average, Colombia, COL
277.15, 1995, Apr Average, Colombia, COL
287.344, 1995, May Average, Colombia, COL
334.316, 1995, Jun Average, Colombia, COL
326.101, 1995, Jul Average, Colombia, COL
278.783, 1995, Aug Average, Colombia, COL
240.152, 1995, Sep Average, Colombia, COL
242.656, 1995, Oct Average, Colombia, COL
218.893, 1995, Nov Average, Colombia, COL
184.878, 1995, Dec Average, Colombia, COL
119.371, 1996, Jan Average, Colombia, COL
185.263, 1996, Feb Average, Colombia, COL
211.493, 1996, Mar Average, Colombia, COL
217.466, 1996, Apr Average, Colombia, COL
380.821, 1996, May Average, Colombia, COL
305.749, 1996, Jun Average, Colombia, COL
302.309, 1996, Jul Average, Colombia, COL
263.829, 1996, Aug Average, Colombia, COL
201.585, 1996, Sep Average, Colombia, COL
275.288, 1996, Oct Average, Colombia, COL
236.967, 1996, Nov Average, Colombia, COL
151.647, 1996, Dec Average, Colombia, COL
169.586, 1997, Jan Average, Colombia, COL
140.039, 1997, Feb Average, Colombia, COL
151.485, 1997, Mar Average, Colombia, COL
220.96, 1997, Apr Average, Colombia, COL
262.435, 1997, May Average, Colombia, COL
336.662, 1997, Jun Average, Colombia, COL
213.125, 1997, Jul Average, Colombia, COL
163.5, 1997, Aug Average, Colombia, COL
179.971, 1997, Sep Average, Colombia, COL
141.999, 1997, Oct Average, Colombia, COL
207.654, 1997, Nov Average, Colombia, COL
110.716, 1997, Dec Average, Colombia, COL
66.3413, 1998, Jan Average, Colombia, COL
115.818, 1998, Feb Average, Colombia, COL
