Rainfall - (MM), Year, Statistics, Country, ISO3
51.8816, 1991, Jan Average, Costa Rica, CRI
89.4996, 1991, Feb Average, Costa Rica, CRI
43.2631, 1991, Mar Average, Costa Rica, CRI
131.02, 1991, Apr Average, Costa Rica, CRI
322.14, 1991, May Average, Costa Rica, CRI
328.098, 1991, Jun Average, Costa Rica, CRI
316.454, 1991, Jul Average, Costa Rica, CRI
406.21, 1991, Aug Average, Costa Rica, CRI
360.779, 1991, Sep Average, Costa Rica, CRI
378.059, 1991, Oct Average, Costa Rica, CRI
301.868, 1991, Nov Average, Costa Rica, CRI
150.574, 1991, Dec Average, Costa Rica, CRI
38.3065, 1992, Jan Average, Costa Rica, CRI
66.0102, 1992, Feb Average, Costa Rica, CRI
54.8229, 1992, Mar Average, Costa Rica, CRI
150.374, 1992, Apr Average, Costa Rica, CRI
247.482, 1992, May Average, Costa Rica, CRI
259.431, 1992, Jun Average, Costa Rica, CRI
372.147, 1992, Jul Average, Costa Rica, CRI
322.073, 1992, Aug Average, Costa Rica, CRI
349.967, 1992, Sep Average, Costa Rica, CRI
401.036, 1992, Oct Average, Costa Rica, CRI
182.442, 1992, Nov Average, Costa Rica, CRI
157.629, 1992, Dec Average, Costa Rica, CRI
258.175, 1993, Jan Average, Costa Rica, CRI
56.1839, 1993, Feb Average, Costa Rica, CRI
184.068, 1993, Mar Average, Costa Rica, CRI
103.147, 1993, Apr Average, Costa Rica, CRI
395.436, 1993, May Average, Costa Rica, CRI
380.393, 1993, Jun Average, Costa Rica, CRI
296.767, 1993, Jul Average, Costa Rica, CRI
363.957, 1993, Aug Average, Costa Rica, CRI
416.041, 1993, Sep Average, Costa Rica, CRI
365.176, 1993, Oct Average, Costa Rica, CRI
161.338, 1993, Nov Average, Costa Rica, CRI
213.084, 1993, Dec Average, Costa Rica, CRI
19.5336, 1994, Jan Average, Costa Rica, CRI
32.5525, 1994, Feb Average, Costa Rica, CRI
30.9727, 1994, Mar Average, Costa Rica, CRI
121.322, 1994, Apr Average, Costa Rica, CRI
339.801, 1994, May Average, Costa Rica, CRI
117.543, 1994, Jun Average, Costa Rica, CRI
186.758, 1994, Jul Average, Costa Rica, CRI
308.489, 1994, Aug Average, Costa Rica, CRI
396.365, 1994, Sep Average, Costa Rica, CRI
433.136, 1994, Oct Average, Costa Rica, CRI
425.333, 1994, Nov Average, Costa Rica, CRI
167.872, 1994, Dec Average, Costa Rica, CRI
21.813, 1995, Jan Average, Costa Rica, CRI
39.3101, 1995, Feb Average, Costa Rica, CRI
238.357, 1995, Mar Average, Costa Rica, CRI
322.884, 1995, Apr Average, Costa Rica, CRI
324.345, 1995, May Average, Costa Rica, CRI
369.25, 1995, Jun Average, Costa Rica, CRI
364.984, 1995, Jul Average, Costa Rica, CRI
439.662, 1995, Aug Average, Costa Rica, CRI
298.781, 1995, Sep Average, Costa Rica, CRI
566.877, 1995, Oct Average, Costa Rica, CRI
211.866, 1995, Nov Average, Costa Rica, CRI
140.889, 1995, Dec Average, Costa Rica, CRI
438.652, 1996, Jan Average, Costa Rica, CRI
46.9605, 1996, Feb Average, Costa Rica, CRI
52.8544, 1996, Mar Average, Costa Rica, CRI
61.4425, 1996, Apr Average, Costa Rica, CRI
553.506, 1996, May Average, Costa Rica, CRI
326.352, 1996, Jun Average, Costa Rica, CRI
479.193, 1996, Jul Average, Costa Rica, CRI
290.968, 1996, Aug Average, Costa Rica, CRI
329.974, 1996, Sep Average, Costa Rica, CRI
430.567, 1996, Oct Average, Costa Rica, CRI
400.205, 1996, Nov Average, Costa Rica, CRI
105.935, 1996, Dec Average, Costa Rica, CRI
227.584, 1997, Jan Average, Costa Rica, CRI
41.3242, 1997, Feb Average, Costa Rica, CRI
44.9781, 1997, Mar Average, Costa Rica, CRI
298.992, 1997, Apr Average, Costa Rica, CRI
173.997, 1997, May Average, Costa Rica, CRI
316.261, 1997, Jun Average, Costa Rica, CRI
224.393, 1997, Jul Average, Costa Rica, CRI
236.783, 1997, Aug Average, Costa Rica, CRI
326.831, 1997, Sep Average, Costa Rica, CRI
410.021, 1997, Oct Average, Costa Rica, CRI
593.126, 1997, Nov Average, Costa Rica, CRI
90.713, 1997, Dec Average, Costa Rica, CRI
10.0441, 1998, Jan Average, Costa Rica, CRI
145.959, 1998, Feb Average, Costa Rica, CRI
76.9427, 1998, Mar Average, Costa Rica, CRI
78.7605, 1998, Apr Average, Costa Rica, CRI
252.446, 1998, May Average, Costa Rica, CRI
378.504, 1998, Jun Average, Costa Rica, CRI
462.627, 1998, Jul Average, Costa Rica, CRI
318.964, 1998, Aug Average, Costa Rica, CRI
314.122, 1998, Sep Average, Costa Rica, CRI
480.86, 1998, Oct Average, Costa Rica, CRI
275.79, 1998, Nov Average, Costa Rica, CRI
411.531, 1998, Dec Average, Costa Rica, CRI
42.7728, 1999, Jan Average, Costa Rica, CRI
195.556, 1999, Feb Average, Costa Rica, CRI
29.5704, 1999, Mar Average, Costa Rica, CRI
242.649, 1999, Apr Average, Costa Rica, CRI
319.425, 1999, May Average, Costa Rica, CRI
337.029, 1999, Jun Average, Costa Rica, CRI
235.376, 1999, Jul Average, Costa Rica, CRI
371.729, 1999, Aug Average, Costa Rica, CRI
411.47, 1999, Sep Average, Costa Rica, CRI
334.046, 1999, Oct Average, Costa Rica, CRI
200.122, 1999, Nov Average, Costa Rica, CRI
326.434, 1999, Dec Average, Costa Rica, CRI
102.196, 2000, Jan Average, Costa Rica, CRI
86.5051, 2000, Feb Average, Costa Rica, CRI
17.1235, 2000, Mar Average, Costa Rica, CRI
