Rainfall - (MM), Year, Statistics, Country, ISO3
124.896, 1991, Jan Average, Ecuador, ECU
224.763, 1991, Feb Average, Ecuador, ECU
231.13, 1991, Mar Average, Ecuador, ECU
147.769, 1991, Apr Average, Ecuador, ECU
210.549, 1991, May Average, Ecuador, ECU
101.3, 1991, Jun Average, Ecuador, ECU
83.0741, 1991, Jul Average, Ecuador, ECU
56.4991, 1991, Aug Average, Ecuador, ECU
60.156, 1991, Sep Average, Ecuador, ECU
59.1766, 1991, Oct Average, Ecuador, ECU
169.598, 1991, Nov Average, Ecuador, ECU
150.184, 1991, Dec Average, Ecuador, ECU
168.55, 1992, Jan Average, Ecuador, ECU
204.08, 1992, Feb Average, Ecuador, ECU
351.539, 1992, Mar Average, Ecuador, ECU
456.684, 1992, Apr Average, Ecuador, ECU
392.382, 1992, May Average, Ecuador, ECU
268.918, 1992, Jun Average, Ecuador, ECU
334.028, 1992, Jul Average, Ecuador, ECU
44.0753, 1992, Aug Average, Ecuador, ECU
108.536, 1992, Sep Average, Ecuador, ECU
46.9303, 1992, Oct Average, Ecuador, ECU
87.6888, 1992, Nov Average, Ecuador, ECU
87.5493, 1992, Dec Average, Ecuador, ECU
176.16, 1993, Jan Average, Ecuador, ECU
336.876, 1993, Feb Average, Ecuador, ECU
354.369, 1993, Mar Average, Ecuador, ECU
345.709, 1993, Apr Average, Ecuador, ECU
188.68, 1993, May Average, Ecuador, ECU
89.7078, 1993, Jun Average, Ecuador, ECU
87.1762, 1993, Jul Average, Ecuador, ECU
44.1031, 1993, Aug Average, Ecuador, ECU
92.4123, 1993, Sep Average, Ecuador, ECU
118.553, 1993, Oct Average, Ecuador, ECU
102.796, 1993, Nov Average, Ecuador, ECU
209.345, 1993, Dec Average, Ecuador, ECU
266.423, 1994, Jan Average, Ecuador, ECU
212.031, 1994, Feb Average, Ecuador, ECU
309.959, 1994, Mar Average, Ecuador, ECU
226.855, 1994, Apr Average, Ecuador, ECU
243.052, 1994, May Average, Ecuador, ECU
126.037, 1994, Jun Average, Ecuador, ECU
84.7496, 1994, Jul Average, Ecuador, ECU
102.152, 1994, Aug Average, Ecuador, ECU
70.517, 1994, Sep Average, Ecuador, ECU
198.784, 1994, Oct Average, Ecuador, ECU
115.869, 1994, Nov Average, Ecuador, ECU
230.094, 1994, Dec Average, Ecuador, ECU
160.783, 1995, Jan Average, Ecuador, ECU
164.808, 1995, Feb Average, Ecuador, ECU
179.811, 1995, Mar Average, Ecuador, ECU
236.31, 1995, Apr Average, Ecuador, ECU
171.936, 1995, May Average, Ecuador, ECU
141.515, 1995, Jun Average, Ecuador, ECU
260.631, 1995, Jul Average, Ecuador, ECU
63.0237, 1995, Aug Average, Ecuador, ECU
52.5689, 1995, Sep Average, Ecuador, ECU
74.2944, 1995, Oct Average, Ecuador, ECU
227.272, 1995, Nov Average, Ecuador, ECU
125.049, 1995, Dec Average, Ecuador, ECU
159.442, 1996, Jan Average, Ecuador, ECU
273.5, 1996, Feb Average, Ecuador, ECU
274.006, 1996, Mar Average, Ecuador, ECU
222.674, 1996, Apr Average, Ecuador, ECU
105.157, 1996, May Average, Ecuador, ECU
113.55, 1996, Jun Average, Ecuador, ECU
161.689, 1996, Jul Average, Ecuador, ECU
62.9169, 1996, Aug Average, Ecuador, ECU
68.2843, 1996, Sep Average, Ecuador, ECU
132.707, 1996, Oct Average, Ecuador, ECU
89.2248, 1996, Nov Average, Ecuador, ECU
89.8113, 1996, Dec Average, Ecuador, ECU
157.99, 1997, Jan Average, Ecuador, ECU
185.957, 1997, Feb Average, Ecuador, ECU
371.385, 1997, Mar Average, Ecuador, ECU
288.88, 1997, Apr Average, Ecuador, ECU
392.119, 1997, May Average, Ecuador, ECU
486.133, 1997, Jun Average, Ecuador, ECU
113.271, 1997, Jul Average, Ecuador, ECU
363.179, 1997, Aug Average, Ecuador, ECU
94.9386, 1997, Sep Average, Ecuador, ECU
205.728, 1997, Oct Average, Ecuador, ECU
272.153, 1997, Nov Average, Ecuador, ECU
179.374, 1997, Dec Average, Ecuador, ECU
306.45, 1998, Jan Average, Ecuador, ECU
429.363, 1998, Feb Average, Ecuador, ECU
187.144, 1998, Mar Average, Ecuador, ECU
332.754, 1998, Apr Average, Ecuador, ECU
680.068, 1998, May Average, Ecuador, ECU
621.278, 1998, Jun Average, Ecuador, ECU
338.264, 1998, Jul Average, Ecuador, ECU
73.8783, 1998, Aug Average, Ecuador, ECU
62.7906, 1998, Sep Average, Ecuador, ECU
102.002, 1998, Oct Average, Ecuador, ECU
272.819, 1998, Nov Average, Ecuador, ECU
55.4958, 1998, Dec Average, Ecuador, ECU
179.106, 1999, Jan Average, Ecuador, ECU
403.944, 1999, Feb Average, Ecuador, ECU
337.817, 1999, Mar Average, Ecuador, ECU
323.381, 1999, Apr Average, Ecuador, ECU
333.355, 1999, May Average, Ecuador, ECU
107.148, 1999, Jun Average, Ecuador, ECU
97.5163, 1999, Jul Average, Ecuador, ECU
89.4483, 1999, Aug Average, Ecuador, ECU
273.619, 1999, Sep Average, Ecuador, ECU
90.0898, 1999, Oct Average, Ecuador, ECU
103.151, 1999, Nov Average, Ecuador, ECU
235.538, 1999, Dec Average, Ecuador, ECU
175.679, 2000, Jan Average, Ecuador, ECU
219.814, 2000, Feb Average, Ecuador, ECU
269.239, 2000, Mar Average, Ecuador, ECU
343.623, 2000, Apr Average, Ecuador, ECU
399.898, 2000, May Average, Ecuador, ECU
151.543, 2000, Jun Average, Ecuador, ECU
47.3729, 2000, Jul Average, Ecuador, ECU
70.8653, 2000, Aug Average, Ecuador, ECU
141.75, 2000, Sep Average, Ecuador, ECU
42.5029, 2000, Oct Average, Ecuador, ECU
188.338, 2000, Nov Average, Ecuador, ECU
121.682, 2000, Dec Average, Ecuador, ECU
279.656, 2001, Jan Average, Ecuador, ECU
153.211, 2001, Feb Average, Ecuador, ECU
159.303, 2001, Mar Average, Ecuador, ECU
313.631, 2001, Apr Average, Ecuador, ECU
250.33, 2001, May Average, Ecuador, ECU
93.297, 2001, Jun Average, Ecuador, ECU
101.542, 2001, Jul Average, Ecuador, ECU
36.0304, 2001, Aug Average, Ecuador, ECU
51.2599, 2001, Sep Average, Ecuador, ECU
44.1777, 2001, Oct Average, Ecuador, ECU
132.467, 2001, Nov Average, Ecuador, ECU
118.572, 2001, Dec Average, Ecuador, ECU
97.6098, 2002, Jan Average, Ecuador, ECU
229.901, 2002, Feb Average, Ecuador, ECU
329.04, 2002, Mar Average, Ecuador, ECU
399.061, 2002, Apr Average, Ecuador, ECU
260.363, 2002, May Average, Ecuador, ECU
104.978, 2002, Jun Average, Ecuador, ECU
107.226, 2002, Jul Average, Ecuador, ECU
35.7576, 2002, Aug Average, Ecuador, ECU
48.9194, 2002, Sep Average, Ecuador, ECU
140.926, 2002, Oct Average, Ecuador, ECU
348.96, 2002, Nov Average, Ecuador, ECU
195.627, 2002, Dec Average, Ecuador, ECU
193.103, 2003, Jan Average, Ecuador, ECU
197.664, 2003, Feb Average, Ecuador, ECU
227.138, 2003, Mar Average, Ecuador, ECU
245.406, 2003, Apr Average, Ecuador, ECU
259.482, 2003, May Average, Ecuador, ECU
136.45, 2003, Jun Average, Ecuador, ECU
564.535, 2003, Jul Average, Ecuador, ECU
65.5902, 2003, Aug Average, Ecuador, ECU
42.6759, 2003, Sep Average, Ecuador, ECU
345.919, 2003, Oct Average, Ecuador, ECU
288.704, 2003, Nov Average, Ecuador, ECU
186.648, 2003, Dec Average, Ecuador, ECU
122.892, 2004, Jan Average, Ecuador, ECU
135.447, 2004, Feb Average, Ecuador, ECU
236.71, 2004, Mar Average, Ecuador, ECU
268.124, 2004, Apr Average, Ecuador, ECU
292.063, 2004, May Average, Ecuador, ECU
99.2068, 2004, Jun Average, Ecuador, ECU
158.317, 2004, Jul Average, Ecuador, ECU
41.4148, 2004, Aug Average, Ecuador, ECU
158.127, 2004, Sep Average, Ecuador, ECU
140.782, 2004, Oct Average, Ecuador, ECU
95.5023, 2004, Nov Average, Ecuador, ECU
90.1588, 2004, Dec Average, Ecuador, ECU
108.385, 2005, Jan Average, Ecuador, ECU
163.464, 2005, Feb Average, Ecuador, ECU
188.279, 2005, Mar Average, Ecuador, ECU
307.807, 2005, Apr Average, Ecuador, ECU
58.545, 2005, May Average, Ecuador, ECU
85.4242, 2005, Jun Average, Ecuador, ECU
97.8524, 2005, Jul Average, Ecuador, ECU
56.0329, 2005, Aug Average, Ecuador, ECU
47.1485, 2005, Sep Average, Ecuador, ECU
94.9887, 2005, Oct Average, Ecuador, ECU
86.5359, 2005, Nov Average, Ecuador, ECU
156.21, 2005, Dec Average, Ecuador, ECU
182.362, 2006, Jan Average, Ecuador, ECU
263.786, 2006, Feb Average, Ecuador, ECU
325.998, 2006, Mar Average, Ecuador, ECU
161.998, 2006, Apr Average, Ecuador, ECU
104.435, 2006, May Average, Ecuador, ECU
148.419, 2006, Jun Average, Ecuador, ECU
134.057, 2006, Jul Average, Ecuador, ECU
85.4288, 2006, Aug Average, Ecuador, ECU
98.3238, 2006, Sep Average, Ecuador, ECU
54.2104, 2006, Oct Average, Ecuador, ECU
203.094, 2006, Nov Average, Ecuador, ECU
94.0205, 2006, Dec Average, Ecuador, ECU
141.605, 2007, Jan Average, Ecuador, ECU
121.952, 2007, Feb Average, Ecuador, ECU
227.615, 2007, Mar Average, Ecuador, ECU
293.009, 2007, Apr Average, Ecuador, ECU
203.033, 2007, May Average, Ecuador, ECU
160.499, 2007, Jun Average, Ecuador, ECU
336.06, 2007, Jul Average, Ecuador, ECU
105.442, 2007, Aug Average, Ecuador, ECU
61.787, 2007, Sep Average, Ecuador, ECU
84.9967, 2007, Oct Average, Ecuador, ECU
196.927, 2007, Nov Average, Ecuador, ECU
102.677, 2007, Dec Average, Ecuador, ECU
237.574, 2008, Jan Average, Ecuador, ECU
325.155, 2008, Feb Average, Ecuador, ECU
399.038, 2008, Mar Average, Ecuador, ECU
300.798, 2008, Apr Average, Ecuador, ECU
249.28, 2008, May Average, Ecuador, ECU
91.4226, 2008, Jun Average, Ecuador, ECU
210.316, 2008, Jul Average, Ecuador, ECU
429.102, 2008, Aug Average, Ecuador, ECU
