Rainfall - (MM), Year, Statistics, Country, ISO3
11.7904, 1991, Jan Average, Ethiopia, ETH
22.3855, 1991, Feb Average, Ethiopia, ETH
63.5061, 1991, Mar Average, Ethiopia, ETH
63.8239, 1991, Apr Average, Ethiopia, ETH
86.6699, 1991, May Average, Ethiopia, ETH
72.4847, 1991, Jun Average, Ethiopia, ETH
135.871, 1991, Jul Average, Ethiopia, ETH
124.138, 1991, Aug Average, Ethiopia, ETH
91.7425, 1991, Sep Average, Ethiopia, ETH
37.3334, 1991, Oct Average, Ethiopia, ETH
10.3695, 1991, Nov Average, Ethiopia, ETH
17.42, 1991, Dec Average, Ethiopia, ETH
19.1296, 1992, Jan Average, Ethiopia, ETH
15.7751, 1992, Feb Average, Ethiopia, ETH
20.4513, 1992, Mar Average, Ethiopia, ETH
63.6122, 1992, Apr Average, Ethiopia, ETH
73.5028, 1992, May Average, Ethiopia, ETH
62.6839, 1992, Jun Average, Ethiopia, ETH
101.655, 1992, Jul Average, Ethiopia, ETH
140.896, 1992, Aug Average, Ethiopia, ETH
96.026, 1992, Sep Average, Ethiopia, ETH
84.6037, 1992, Oct Average, Ethiopia, ETH
47.0587, 1992, Nov Average, Ethiopia, ETH
22.1826, 1992, Dec Average, Ethiopia, ETH
21.8892, 1993, Jan Average, Ethiopia, ETH
28.9759, 1993, Feb Average, Ethiopia, ETH
20.9853, 1993, Mar Average, Ethiopia, ETH
127.918, 1993, Apr Average, Ethiopia, ETH
127.748, 1993, May Average, Ethiopia, ETH
79.6071, 1993, Jun Average, Ethiopia, ETH
114.875, 1993, Jul Average, Ethiopia, ETH
136.147, 1993, Aug Average, Ethiopia, ETH
80.2908, 1993, Sep Average, Ethiopia, ETH
81.7678, 1993, Oct Average, Ethiopia, ETH
9.00837, 1993, Nov Average, Ethiopia, ETH
3.74071, 1993, Dec Average, Ethiopia, ETH
2.38865, 1994, Jan Average, Ethiopia, ETH
2.25701, 1994, Feb Average, Ethiopia, ETH
22.1823, 1994, Mar Average, Ethiopia, ETH
68.1729, 1994, Apr Average, Ethiopia, ETH
92.9358, 1994, May Average, Ethiopia, ETH
