Rainfall - (MM), Year, Statistics, Country, ISO3
70.1693, 1991, Jan Average, Honduras, HND
16.7476, 1991, Feb Average, Honduras, HND
27.9906, 1991, Mar Average, Honduras, HND
18.1046, 1991, Apr Average, Honduras, HND
199.247, 1991, May Average, Honduras, HND
251.217, 1991, Jun Average, Honduras, HND
140.659, 1991, Jul Average, Honduras, HND
180.045, 1991, Aug Average, Honduras, HND
287.666, 1991, Sep Average, Honduras, HND
160.458, 1991, Oct Average, Honduras, HND
112.617, 1991, Nov Average, Honduras, HND
219.053, 1991, Dec Average, Honduras, HND
47.9304, 1992, Jan Average, Honduras, HND
17.7318, 1992, Feb Average, Honduras, HND
48.2497, 1992, Mar Average, Honduras, HND
63.3158, 1992, Apr Average, Honduras, HND
87.7734, 1992, May Average, Honduras, HND
353.452, 1992, Jun Average, Honduras, HND
275.49, 1992, Jul Average, Honduras, HND
141.008, 1992, Aug Average, Honduras, HND
221.98, 1992, Sep Average, Honduras, HND
429.803, 1992, Oct Average, Honduras, HND
79.8789, 1992, Nov Average, Honduras, HND
135.601, 1992, Dec Average, Honduras, HND
72.3839, 1993, Jan Average, Honduras, HND
27.5395, 1993, Feb Average, Honduras, HND
79.6862, 1993, Mar Average, Honduras, HND
56.532, 1993, Apr Average, Honduras, HND
266.124, 1993, May Average, Honduras, HND
357.797, 1993, Jun Average, Honduras, HND
234.463, 1993, Jul Average, Honduras, HND
307.178, 1993, Aug Average, Honduras, HND
411.585, 1993, Sep Average, Honduras, HND
267.954, 1993, Oct Average, Honduras, HND
121.43, 1993, Nov Average, Honduras, HND
99.8376, 1993, Dec Average, Honduras, HND
97.9954, 1994, Jan Average, Honduras, HND
42.8186, 1994, Feb Average, Honduras, HND
22.5822, 1994, Mar Average, Honduras, HND
35.7476, 1994, Apr Average, Honduras, HND
159.256, 1994, May Average, Honduras, HND
116.845, 1994, Jun Average, Honduras, HND
134.752, 1994, Jul Average, Honduras, HND
147.57, 1994, Aug Average, Honduras, HND
373.445, 1994, Sep Average, Honduras, HND
152.793, 1994, Oct Average, Honduras, HND
137.126, 1994, Nov Average, Honduras, HND
79.9444, 1994, Dec Average, Honduras, HND
80.6539, 1995, Jan Average, Honduras, HND
49.6504, 1995, Feb Average, Honduras, HND
47.1875, 1995, Mar Average, Honduras, HND
92.6601, 1995, Apr Average, Honduras, HND
90.8295, 1995, May Average, Honduras, HND
265.425, 1995, Jun Average, Honduras, HND
354.219, 1995, Jul Average, Honduras, HND
400.325, 1995, Aug Average, Honduras, HND
279.733, 1995, Sep Average, Honduras, HND
301.325, 1995, Oct Average, Honduras, HND
156.719, 1995, Nov Average, Honduras, HND
94.847, 1995, Dec Average, Honduras, HND
70.8205, 1996, Jan Average, Honduras, HND
27.3615, 1996, Feb Average, Honduras, HND
45.9003, 1996, Mar Average, Honduras, HND
82.2136, 1996, Apr Average, Honduras, HND
177.51, 1996, May Average, Honduras, HND
153.171, 1996, Jun Average, Honduras, HND
258.238, 1996, Jul Average, Honduras, HND
427.75, 1996, Aug Average, Honduras, HND
189.927, 1996, Sep Average, Honduras, HND
220.136, 1996, Oct Average, Honduras, HND
219.051, 1996, Nov Average, Honduras, HND
78.7015, 1996, Dec Average, Honduras, HND
84.5047, 1997, Jan Average, Honduras, HND
73.036, 1997, Feb Average, Honduras, HND
32.205, 1997, Mar Average, Honduras, HND
31.248, 1997, Apr Average, Honduras, HND
92.5873, 1997, May Average, Honduras, HND
232.394, 1997, Jun Average, Honduras, HND
202.701, 1997, Jul Average, Honduras, HND
211.978, 1997, Aug Average, Honduras, HND
252.775, 1997, Sep Average, Honduras, HND
189.737, 1997, Oct Average, Honduras, HND
324.457, 1997, Nov Average, Honduras, HND
50.8114, 1997, Dec Average, Honduras, HND
91.302, 1998, Jan Average, Honduras, HND
5.87397, 1998, Feb Average, Honduras, HND
32.6483, 1998, Mar Average, Honduras, HND
66.4114, 1998, Apr Average, Honduras, HND
152.083, 1998, May Average, Honduras, HND
221.399, 1998, Jun Average, Honduras, HND
279.579, 1998, Jul Average, Honduras, HND
177.872, 1998, Aug Average, Honduras, HND
171.759, 1998, Sep Average, Honduras, HND
547.442, 1998, Oct Average, Honduras, HND
217.447, 1998, Nov Average, Honduras, HND
107.415, 1998, Dec Average, Honduras, HND
88.0213, 1999, Jan Average, Honduras, HND
66.9231, 1999, Feb Average, Honduras, HND
13.9497, 1999, Mar Average, Honduras, HND
71.1404, 1999, Apr Average, Honduras, HND
142.047, 1999, May Average, Honduras, HND
231.639, 1999, Jun Average, Honduras, HND
276.813, 1999, Jul Average, Honduras, HND
311.399, 1999, Aug Average, Honduras, HND
288.609, 1999, Sep Average, Honduras, HND
219.743, 1999, Oct Average, Honduras, HND
155.346, 1999, Nov Average, Honduras, HND
65.1223, 1999, Dec Average, Honduras, HND
55.5209, 2000, Jan Average, Honduras, HND
31.8206, 2000, Feb Average, Honduras, HND
8.65793, 2000, Mar Average, Honduras, HND
