Rainfall - (MM), Year, Statistics, Country, ISO3
7.67817, 1991, Jan Average, Haiti, HTI
21.6921, 1991, Feb Average, Haiti, HTI
67.9648, 1991, Mar Average, Haiti, HTI
52.0745, 1991, Apr Average, Haiti, HTI
85.5719, 1991, May Average, Haiti, HTI
38.5387, 1991, Jun Average, Haiti, HTI
125.282, 1991, Jul Average, Haiti, HTI
33.8326, 1991, Aug Average, Haiti, HTI
132.75, 1991, Sep Average, Haiti, HTI
57.0313, 1991, Oct Average, Haiti, HTI
223.559, 1991, Nov Average, Haiti, HTI
30.1854, 1991, Dec Average, Haiti, HTI
38.5943, 1992, Jan Average, Haiti, HTI
72.9493, 1992, Feb Average, Haiti, HTI
142.147, 1992, Mar Average, Haiti, HTI
157.626, 1992, Apr Average, Haiti, HTI
142.676, 1992, May Average, Haiti, HTI
60.3685, 1992, Jun Average, Haiti, HTI
35.0859, 1992, Jul Average, Haiti, HTI
50.5603, 1992, Aug Average, Haiti, HTI
155.746, 1992, Sep Average, Haiti, HTI
55.3865, 1992, Oct Average, Haiti, HTI
26.165, 1992, Nov Average, Haiti, HTI
43.7777, 1992, Dec Average, Haiti, HTI
60.7255, 1993, Jan Average, Haiti, HTI
26.8487, 1993, Feb Average, Haiti, HTI
84.3678, 1993, Mar Average, Haiti, HTI
315.045, 1993, Apr Average, Haiti, HTI
376.46, 1993, May Average, Haiti, HTI
55.7651, 1993, Jun Average, Haiti, HTI
56.1238, 1993, Jul Average, Haiti, HTI
136.766, 1993, Aug Average, Haiti, HTI
114.962, 1993, Sep Average, Haiti, HTI
70.4216, 1993, Oct Average, Haiti, HTI
271.747, 1993, Nov Average, Haiti, HTI
33.5022, 1993, Dec Average, Haiti, HTI
54.3822, 1994, Jan Average, Haiti, HTI
35.3975, 1994, Feb Average, Haiti, HTI
98.726, 1994, Mar Average, Haiti, HTI
162.764, 1994, Apr Average, Haiti, HTI
140.729, 1994, May Average, Haiti, HTI
46.6564, 1994, Jun Average, Haiti, HTI
67.5831, 1994, Jul Average, Haiti, HTI
57.9167, 1994, Aug Average, Haiti, HTI
82.6353, 1994, Sep Average, Haiti, HTI
116.611, 1994, Oct Average, Haiti, HTI
148.968, 1994, Nov Average, Haiti, HTI
54.3129, 1994, Dec Average, Haiti, HTI
30.3724, 1995, Jan Average, Haiti, HTI
96.1224, 1995, Feb Average, Haiti, HTI
104.816, 1995, Mar Average, Haiti, HTI
49.3543, 1995, Apr Average, Haiti, HTI
202.684, 1995, May Average, Haiti, HTI
141.828, 1995, Jun Average, Haiti, HTI
167.465, 1995, Jul Average, Haiti, HTI
260.633, 1995, Aug Average, Haiti, HTI
195.872, 1995, Sep Average, Haiti, HTI
250.537, 1995, Oct Average, Haiti, HTI
56.0423, 1995, Nov Average, Haiti, HTI
55.0187, 1995, Dec Average, Haiti, HTI
37.5202, 1996, Jan Average, Haiti, HTI
94.1057, 1996, Feb Average, Haiti, HTI
63.2971, 1996, Mar Average, Haiti, HTI
103.909, 1996, Apr Average, Haiti, HTI
91.1294, 1996, May Average, Haiti, HTI
151.236, 1996, Jun Average, Haiti, HTI
100.277, 1996, Jul Average, Haiti, HTI
119.861, 1996, Aug Average, Haiti, HTI
134.022, 1996, Sep Average, Haiti, HTI
282.547, 1996, Oct Average, Haiti, HTI
156.887, 1996, Nov Average, Haiti, HTI
