Rainfall - (MM), Year, Statistics, Country, ISO3
286.422, 1991, Jan Average, Indonesia, IDN
221.054, 1991, Feb Average, Indonesia, IDN
292.505, 1991, Mar Average, Indonesia, IDN
317.45, 1991, Apr Average, Indonesia, IDN
210.082, 1991, May Average, Indonesia, IDN
112.514, 1991, Jun Average, Indonesia, IDN
133.735, 1991, Jul Average, Indonesia, IDN
114.105, 1991, Aug Average, Indonesia, IDN
92.1428, 1991, Sep Average, Indonesia, IDN
132.872, 1991, Oct Average, Indonesia, IDN
235.984, 1991, Nov Average, Indonesia, IDN
304.292, 1991, Dec Average, Indonesia, IDN
225.614, 1992, Jan Average, Indonesia, IDN
217.095, 1992, Feb Average, Indonesia, IDN
250.376, 1992, Mar Average, Indonesia, IDN
294.447, 1992, Apr Average, Indonesia, IDN
249.336, 1992, May Average, Indonesia, IDN
157.425, 1992, Jun Average, Indonesia, IDN
175.601, 1992, Jul Average, Indonesia, IDN
164.049, 1992, Aug Average, Indonesia, IDN
185.944, 1992, Sep Average, Indonesia, IDN
248.829, 1992, Oct Average, Indonesia, IDN
227.717, 1992, Nov Average, Indonesia, IDN
302.324, 1992, Dec Average, Indonesia, IDN
265.033, 1993, Jan Average, Indonesia, IDN
187.928, 1993, Feb Average, Indonesia, IDN
262.84, 1993, Mar Average, Indonesia, IDN
292.233, 1993, Apr Average, Indonesia, IDN
263.162, 1993, May Average, Indonesia, IDN
174.324, 1993, Jun Average, Indonesia, IDN
151.117, 1993, Jul Average, Indonesia, IDN
130.144, 1993, Aug Average, Indonesia, IDN
133.597, 1993, Sep Average, Indonesia, IDN
190.113, 1993, Oct Average, Indonesia, IDN
248.801, 1993, Nov Average, Indonesia, IDN
284.75, 1993, Dec Average, Indonesia, IDN
278.088, 1994, Jan Average, Indonesia, IDN
238.735, 1994, Feb Average, Indonesia, IDN
377.403, 1994, Mar Average, Indonesia, IDN
296.043, 1994, Apr Average, Indonesia, IDN
218.718, 1994, May Average, Indonesia, IDN
177.835, 1994, Jun Average, Indonesia, IDN
81.5209, 1994, Jul Average, Indonesia, IDN
149.98, 1994, Aug Average, Indonesia, IDN
76.616, 1994, Sep Average, Indonesia, IDN
154.531, 1994, Oct Average, Indonesia, IDN
212.114, 1994, Nov Average, Indonesia, IDN
294.799, 1994, Dec Average, Indonesia, IDN
318.526, 1995, Jan Average, Indonesia, IDN
311.247, 1995, Feb Average, Indonesia, IDN
316.135, 1995, Mar Average, Indonesia, IDN
310.032, 1995, Apr Average, Indonesia, IDN
216.044, 1995, May Average, Indonesia, IDN
199.397, 1995, Jun Average, Indonesia, IDN
178.25, 1995, Jul Average, Indonesia, IDN
192.332, 1995, Aug Average, Indonesia, IDN
190.24, 1995, Sep Average, Indonesia, IDN
226.36, 1995, Oct Average, Indonesia, IDN
315.555, 1995, Nov Average, Indonesia, IDN
