Rainfall - (MM), Year, Statistics, Country, ISO3
62.8851, 1991, Jan Average, Japan, JPN
95.1541, 1991, Feb Average, Japan, JPN
132.114, 1991, Mar Average, Japan, JPN
122.881, 1991, Apr Average, Japan, JPN
108.449, 1991, May Average, Japan, JPN
239.033, 1991, Jun Average, Japan, JPN
260.501, 1991, Jul Average, Japan, JPN
202.573, 1991, Aug Average, Japan, JPN
228.619, 1991, Sep Average, Japan, JPN
168.892, 1991, Oct Average, Japan, JPN
89.1351, 1991, Nov Average, Japan, JPN
72.2892, 1991, Dec Average, Japan, JPN
61.6931, 1992, Jan Average, Japan, JPN
56.3985, 1992, Feb Average, Japan, JPN
140.675, 1992, Mar Average, Japan, JPN
132.37, 1992, Apr Average, Japan, JPN
136.099, 1992, May Average, Japan, JPN
168.863, 1992, Jun Average, Japan, JPN
136.601, 1992, Jul Average, Japan, JPN
211.317, 1992, Aug Average, Japan, JPN
143.295, 1992, Sep Average, Japan, JPN
138.698, 1992, Oct Average, Japan, JPN
90.4409, 1992, Nov Average, Japan, JPN
89.0652, 1992, Dec Average, Japan, JPN
90.4666, 1993, Jan Average, Japan, JPN
85.3842, 1993, Feb Average, Japan, JPN
69.5302, 1993, Mar Average, Japan, JPN
89.4583, 1993, Apr Average, Japan, JPN
127.363, 1993, May Average, Japan, JPN
279.691, 1993, Jun Average, Japan, JPN
337.792, 1993, Jul Average, Japan, JPN
281.875, 1993, Aug Average, Japan, JPN
225.758, 1993, Sep Average, Japan, JPN
125.04, 1993, Oct Average, Japan, JPN
128.222, 1993, Nov Average, Japan, JPN
91.1389, 1993, Dec Average, Japan, JPN
59.5069, 1994, Jan Average, Japan, JPN
90.6969, 1994, Feb Average, Japan, JPN
82.6919, 1994, Mar Average, Japan, JPN
89.5011, 1994, Apr Average, Japan, JPN
107.675, 1994, May Average, Japan, JPN
134.897, 1994, Jun Average, Japan, JPN
83.1804, 1994, Jul Average, Japan, JPN
101.757, 1994, Aug Average, Japan, JPN
255.707, 1994, Sep Average, Japan, JPN
76.7078, 1994, Oct Average, Japan, JPN
58.3128, 1994, Nov Average, Japan, JPN
58.8731, 1994, Dec Average, Japan, JPN
72.311, 1995, Jan Average, Japan, JPN
34.3691, 1995, Feb Average, Japan, JPN
106.124, 1995, Mar Average, Japan, JPN
127.594, 1995, Apr Average, Japan, JPN
186.65, 1995, May Average, Japan, JPN
152.27, 1995, Jun Average, Japan, JPN
292.557, 1995, Jul Average, Japan, JPN
184.071, 1995, Aug Average, Japan, JPN
139.214, 1995, Sep Average, Japan, JPN
92.6223, 1995, Oct Average, Japan, JPN
74.3335, 1995, Nov Average, Japan, JPN
44.9335, 1995, Dec Average, Japan, JPN
53.4528, 1996, Jan Average, Japan, JPN
44.5546, 1996, Feb Average, Japan, JPN
120.958, 1996, Mar Average, Japan, JPN
63.8189, 1996, Apr Average, Japan, JPN
116.058, 1996, May Average, Japan, JPN
216.127, 1996, Jun Average, Japan, JPN
181.063, 1996, Jul Average, Japan, JPN
135.994, 1996, Aug Average, Japan, JPN
164.899, 1996, Sep Average, Japan, JPN
96.3988, 1996, Oct Average, Japan, JPN
94.078, 1996, Nov Average, Japan, JPN
83.4434, 1996, Dec Average, Japan, JPN
58.615, 1997, Jan Average, Japan, JPN
44.4906, 1997, Feb Average, Japan, JPN
81.5417, 1997, Mar Average, Japan, JPN
107.619, 1997, Apr Average, Japan, JPN
162.361, 1997, May Average, Japan, JPN
191.869, 1997, Jun Average, Japan, JPN
266.564, 1997, Jul Average, Japan, JPN
164.877, 1997, Aug Average, Japan, JPN
230.562, 1997, Sep Average, Japan, JPN
71.5398, 1997, Oct Average, Japan, JPN
148.128, 1997, Nov Average, Japan, JPN
73.6015, 1997, Dec Average, Japan, JPN
140.645, 1998, Jan Average, Japan, JPN
86.5135, 1998, Feb Average, Japan, JPN
79.1799, 1998, Mar Average, Japan, JPN
155.758, 1998, Apr Average, Japan, JPN
196.184, 1998, May Average, Japan, JPN
248.507, 1998, Jun Average, Japan, JPN
191.666, 1998, Jul Average, Japan, JPN
229.597, 1998, Aug Average, Japan, JPN
234.894, 1998, Sep Average, Japan, JPN
211.884, 1998, Oct Average, Japan, JPN
70.5794, 1998, Nov Average, Japan, JPN
56.0822, 1998, Dec Average, Japan, JPN
47.9565, 1999, Jan Average, Japan, JPN
61.8491, 1999, Feb Average, Japan, JPN
113.912, 1999, Mar Average, Japan, JPN
110.981, 1999, Apr Average, Japan, JPN
142.673, 1999, May Average, Japan, JPN
273.756, 1999, Jun Average, Japan, JPN
261.919, 1999, Jul Average, Japan, JPN
211.849, 1999, Aug Average, Japan, JPN
229.32, 1999, Sep Average, Japan, JPN
124.068, 1999, Oct Average, Japan, JPN
90.1474, 1999, Nov Average, Japan, JPN
52.6863, 1999, Dec Average, Japan, JPN
82.9478, 2000, Jan Average, Japan, JPN
40.6196, 2000, Feb Average, Japan, JPN
96.8811, 2000, Mar Average, Japan, JPN
131.035, 2000, Apr Average, Japan, JPN
126.654, 2000, May Average, Japan, JPN
198.656, 2000, Jun Average, Japan, JPN
186.065, 2000, Jul Average, Japan, JPN
93.4195, 2000, Aug Average, Japan, JPN
282.041, 2000, Sep Average, Japan, JPN
117.022, 2000, Oct Average, Japan, JPN
118.963, 2000, Nov Average, Japan, JPN
56.5795, 2000, Dec Average, Japan, JPN
114.429, 2001, Jan Average, Japan, JPN
63.0038, 2001, Feb Average, Japan, JPN
84.8734, 2001, Mar Average, Japan, JPN
51.5594, 2001, Apr Average, Japan, JPN
125.862, 2001, May Average, Japan, JPN
217.216, 2001, Jun Average, Japan, JPN
159.175, 2001, Jul Average, Japan, JPN
180.216, 2001, Aug Average, Japan, JPN
