Rainfall - (MM), Year, Statistics, Country, ISO3
38.2847, 1991, Jan Average, Kenya, KEN
12.7492, 1991, Feb Average, Kenya, KEN
73.3656, 1991, Mar Average, Kenya, KEN
83.135, 1991, Apr Average, Kenya, KEN
112.275, 1991, May Average, Kenya, KEN
33.6106, 1991, Jun Average, Kenya, KEN
36.6575, 1991, Jul Average, Kenya, KEN
32.8066, 1991, Aug Average, Kenya, KEN
18.3184, 1991, Sep Average, Kenya, KEN
41.2266, 1991, Oct Average, Kenya, KEN
60.2294, 1991, Nov Average, Kenya, KEN
53.4232, 1991, Dec Average, Kenya, KEN
10.2491, 1992, Jan Average, Kenya, KEN
15.9125, 1992, Feb Average, Kenya, KEN
17.0754, 1992, Mar Average, Kenya, KEN
119.919, 1992, Apr Average, Kenya, KEN
80.6001, 1992, May Average, Kenya, KEN
30.0842, 1992, Jun Average, Kenya, KEN
35.1079, 1992, Jul Average, Kenya, KEN
28.0127, 1992, Aug Average, Kenya, KEN
24.3121, 1992, Sep Average, Kenya, KEN
47.1624, 1992, Oct Average, Kenya, KEN
106.824, 1992, Nov Average, Kenya, KEN
98.4172, 1992, Dec Average, Kenya, KEN
80.9318, 1993, Jan Average, Kenya, KEN
53.6675, 1993, Feb Average, Kenya, KEN
24.0511, 1993, Mar Average, Kenya, KEN
77.5293, 1993, Apr Average, Kenya, KEN
110.664, 1993, May Average, Kenya, KEN
50.2024, 1993, Jun Average, Kenya, KEN
14.9912, 1993, Jul Average, Kenya, KEN
21.9237, 1993, Aug Average, Kenya, KEN
15.6103, 1993, Sep Average, Kenya, KEN
42.0606, 1993, Oct Average, Kenya, KEN
75.1036, 1993, Nov Average, Kenya, KEN
40.1232, 1993, Dec Average, Kenya, KEN
6.64417, 1994, Jan Average, Kenya, KEN
17.6202, 1994, Feb Average, Kenya, KEN
47.8114, 1994, Mar Average, Kenya, KEN
111.038, 1994, Apr Average, Kenya, KEN
82.2793, 1994, May Average, Kenya, KEN
33.7607, 1994, Jun Average, Kenya, KEN
44.5223, 1994, Jul Average, Kenya, KEN
31.9213, 1994, Aug Average, Kenya, KEN
20.1774, 1994, Sep Average, Kenya, KEN
69.6349, 1994, Oct Average, Kenya, KEN
168.397, 1994, Nov Average, Kenya, KEN
54.453, 1994, Dec Average, Kenya, KEN
10.5799, 1995, Jan Average, Kenya, KEN
37.3085, 1995, Feb Average, Kenya, KEN
69.4802, 1995, Mar Average, Kenya, KEN
150.358, 1995, Apr Average, Kenya, KEN
66.9476, 1995, May Average, Kenya, KEN
23.5026, 1995, Jun Average, Kenya, KEN
27.0207, 1995, Jul Average, Kenya, KEN
32.2454, 1995, Aug Average, Kenya, KEN
30.5747, 1995, Sep Average, Kenya, KEN
87.7315, 1995, Oct Average, Kenya, KEN
72.5827, 1995, Nov Average, Kenya, KEN
43.8125, 1995, Dec Average, Kenya, KEN
24.3053, 1996, Jan Average, Kenya, KEN
27.9605, 1996, Feb Average, Kenya, KEN
74.9097, 1996, Mar Average, Kenya, KEN
71.0857, 1996, Apr Average, Kenya, KEN
85.918, 1996, May Average, Kenya, KEN
50.8206, 1996, Jun Average, Kenya, KEN
33.833, 1996, Jul Average, Kenya, KEN
25.6055, 1996, Aug Average, Kenya, KEN
23.9495, 1996, Sep Average, Kenya, KEN
19.2856, 1996, Oct Average, Kenya, KEN
85.853, 1996, Nov Average, Kenya, KEN
6.98666, 1996, Dec Average, Kenya, KEN
8.74094, 1997, Jan Average, Kenya, KEN
1.15765, 1997, Feb Average, Kenya, KEN
45.8383, 1997, Mar Average, Kenya, KEN
188.323, 1997, Apr Average, Kenya, KEN
63.3745, 1997, May Average, Kenya, KEN
46.6663, 1997, Jun Average, Kenya, KEN
29.0068, 1997, Jul Average, Kenya, KEN
28.8858, 1997, Aug Average, Kenya, KEN
7.70611, 1997, Sep Average, Kenya, KEN
179.669, 1997, Oct Average, Kenya, KEN
247.081, 1997, Nov Average, Kenya, KEN
116.062, 1997, Dec Average, Kenya, KEN
76.2871, 1998, Jan Average, Kenya, KEN
59.9695, 1998, Feb Average, Kenya, KEN
50.1806, 1998, Mar Average, Kenya, KEN
115.334, 1998, Apr Average, Kenya, KEN
149.305, 1998, May Average, Kenya, KEN
69.6817, 1998, Jun Average, Kenya, KEN
36.89, 1998, Jul Average, Kenya, KEN
29.2989, 1998, Aug Average, Kenya, KEN
22.4775, 1998, Sep Average, Kenya, KEN
30.0269, 1998, Oct Average, Kenya, KEN
72.004, 1998, Nov Average, Kenya, KEN
12.8653, 1998, Dec Average, Kenya, KEN
17.4185, 1999, Jan Average, Kenya, KEN
3.90971, 1999, Feb Average, Kenya, KEN
85.2266, 1999, Mar Average, Kenya, KEN
95.084, 1999, Apr Average, Kenya, KEN
56.7194, 1999, May Average, Kenya, KEN
30.8994, 1999, Jun Average, Kenya, KEN
34.1242, 1999, Jul Average, Kenya, KEN
37.8536, 1999, Aug Average, Kenya, KEN
22.0581, 1999, Sep Average, Kenya, KEN
62.4518, 1999, Oct Average, Kenya, KEN
105.164, 1999, Nov Average, Kenya, KEN
46.1816, 1999, Dec Average, Kenya, KEN
14.7556, 2000, Jan Average, Kenya, KEN
4.22166, 2000, Feb Average, Kenya, KEN
32.876, 2000, Mar Average, Kenya, KEN
68.5452, 2000, Apr Average, Kenya, KEN
52.9646, 2000, May Average, Kenya, KEN
37.8617, 2000, Jun Average, Kenya, KEN
18.5894, 2000, Jul Average, Kenya, KEN
32.591, 2000, Aug Average, Kenya, KEN
25.9999, 2000, Sep Average, Kenya, KEN
54.8905, 2000, Oct Average, Kenya, KEN
76.8925, 2000, Nov Average, Kenya, KEN
28.327, 2000, Dec Average, Kenya, KEN
73.4348, 2001, Jan Average, Kenya, KEN
9.14876, 2001, Feb Average, Kenya, KEN
60.4919, 2001, Mar Average, Kenya, KEN
102.772, 2001, Apr Average, Kenya, KEN
59.8898, 2001, May Average, Kenya, KEN
39.8834, 2001, Jun Average, Kenya, KEN
30.7087, 2001, Jul Average, Kenya, KEN
27.1292, 2001, Aug Average, Kenya, KEN
21.0991, 2001, Sep Average, Kenya, KEN
40.8778, 2001, Oct Average, Kenya, KEN
130.099, 2001, Nov Average, Kenya, KEN
26.9851, 2001, Dec Average, Kenya, KEN
33.6236, 2002, Jan Average, Kenya, KEN
48.709, 2002, Feb Average, Kenya, KEN
44.18, 2002, Mar Average, Kenya, KEN
179.977, 2002, Apr Average, Kenya, KEN
87.748, 2002, May Average, Kenya, KEN
19.0076, 2002, Jun Average, Kenya, KEN
18.8563, 2002, Jul Average, Kenya, KEN
26.1242, 2002, Aug Average, Kenya, KEN
41.4186, 2002, Sep Average, Kenya, KEN
82.289, 2002, Oct Average, Kenya, KEN
77.2296, 2002, Nov Average, Kenya, KEN
121.69, 2002, Dec Average, Kenya, KEN
10.7769, 2003, Jan Average, Kenya, KEN
4.79105, 2003, Feb Average, Kenya, KEN
44.4622, 2003, Mar Average, Kenya, KEN
194.147, 2003, Apr Average, Kenya, KEN
126.015, 2003, May Average, Kenya, KEN
29.297, 2003, Jun Average, Kenya, KEN
