Rainfall - (MM), Year, Statistics, Country, ISO3
3.33551, 1991, Jan Average, Laos, LAO
2.73296, 1991, Feb Average, Laos, LAO
44.936, 1991, Mar Average, Laos, LAO
55.074, 1991, Apr Average, Laos, LAO
147.647, 1991, May Average, Laos, LAO
231.588, 1991, Jun Average, Laos, LAO
230.323, 1991, Jul Average, Laos, LAO
375.724, 1991, Aug Average, Laos, LAO
259.245, 1991, Sep Average, Laos, LAO
156.371, 1991, Oct Average, Laos, LAO
28.4808, 1991, Nov Average, Laos, LAO
91.944, 1991, Dec Average, Laos, LAO
133.548, 1992, Jan Average, Laos, LAO
50.596, 1992, Feb Average, Laos, LAO
9.30835, 1992, Mar Average, Laos, LAO
34.6323, 1992, Apr Average, Laos, LAO
126.711, 1992, May Average, Laos, LAO
220.159, 1992, Jun Average, Laos, LAO
324.796, 1992, Jul Average, Laos, LAO
306.921, 1992, Aug Average, Laos, LAO
202.4, 1992, Sep Average, Laos, LAO
100.225, 1992, Oct Average, Laos, LAO
20.7622, 1992, Nov Average, Laos, LAO
113.816, 1992, Dec Average, Laos, LAO
3.75039, 1993, Jan Average, Laos, LAO
11.2288, 1993, Feb Average, Laos, LAO
32.6215, 1993, Mar Average, Laos, LAO
79.7726, 1993, Apr Average, Laos, LAO
193.931, 1993, May Average, Laos, LAO
193.671, 1993, Jun Average, Laos, LAO
257.295, 1993, Jul Average, Laos, LAO
278.395, 1993, Aug Average, Laos, LAO
199.627, 1993, Sep Average, Laos, LAO
72.4441, 1993, Oct Average, Laos, LAO
32.5478, 1993, Nov Average, Laos, LAO
42.0906, 1993, Dec Average, Laos, LAO
2.71044, 1994, Jan Average, Laos, LAO
42.6734, 1994, Feb Average, Laos, LAO
84.5734, 1994, Mar Average, Laos, LAO
63.0898, 1994, Apr Average, Laos, LAO
214.693, 1994, May Average, Laos, LAO
346.284, 1994, Jun Average, Laos, LAO
283.417, 1994, Jul Average, Laos, LAO
387.223, 1994, Aug Average, Laos, LAO
270.689, 1994, Sep Average, Laos, LAO
97.1155, 1994, Oct Average, Laos, LAO
43.2926, 1994, Nov Average, Laos, LAO
61.1097, 1994, Dec Average, Laos, LAO
7.07786, 1995, Jan Average, Laos, LAO
11.9232, 1995, Feb Average, Laos, LAO
27.3624, 1995, Mar Average, Laos, LAO
52.5252, 1995, Apr Average, Laos, LAO
184.485, 1995, May Average, Laos, LAO
237.636, 1995, Jun Average, Laos, LAO
382.154, 1995, Jul Average, Laos, LAO
404.544, 1995, Aug Average, Laos, LAO
162.74, 1995, Sep Average, Laos, LAO
132.137, 1995, Oct Average, Laos, LAO
122.197, 1995, Nov Average, Laos, LAO
5.94485, 1995, Dec Average, Laos, LAO
5.08875, 1996, Jan Average, Laos, LAO
22.4677, 1996, Feb Average, Laos, LAO
64.5865, 1996, Mar Average, Laos, LAO
130.188, 1996, Apr Average, Laos, LAO
156.852, 1996, May Average, Laos, LAO
224.636, 1996, Jun Average, Laos, LAO
237.605, 1996, Jul Average, Laos, LAO
308.463, 1996, Aug Average, Laos, LAO
333.725, 1996, Sep Average, Laos, LAO
158.912, 1996, Oct Average, Laos, LAO
326.952, 1996, Nov Average, Laos, LAO
10.4795, 1996, Dec Average, Laos, LAO
19.6266, 1997, Jan Average, Laos, LAO
20.9656, 1997, Feb Average, Laos, LAO
69.1889, 1997, Mar Average, Laos, LAO
104.923, 1997, Apr Average, Laos, LAO
125.756, 1997, May Average, Laos, LAO
209.066, 1997, Jun Average, Laos, LAO
406.293, 1997, Jul Average, Laos, LAO
345.987, 1997, Aug Average, Laos, LAO
181.682, 1997, Sep Average, Laos, LAO
188.067, 1997, Oct Average, Laos, LAO
15.3671, 1997, Nov Average, Laos, LAO
15.6211, 1997, Dec Average, Laos, LAO
12.647, 1998, Jan Average, Laos, LAO
41.1925, 1998, Feb Average, Laos, LAO
36.0086, 1998, Mar Average, Laos, LAO
96.1545, 1998, Apr Average, Laos, LAO
173.121, 1998, May Average, Laos, LAO
226.485, 1998, Jun Average, Laos, LAO
212.973, 1998, Jul Average, Laos, LAO
279.663, 1998, Aug Average, Laos, LAO
204.057, 1998, Sep Average, Laos, LAO
83.1004, 1998, Oct Average, Laos, LAO
131.613, 1998, Nov Average, Laos, LAO
86.8832, 1998, Dec Average, Laos, LAO
54.2673, 1999, Jan Average, Laos, LAO
6.42454, 1999, Feb Average, Laos, LAO
50.2297, 1999, Mar Average, Laos, LAO
123.4, 1999, Apr Average, Laos, LAO
281.271, 1999, May Average, Laos, LAO
270.076, 1999, Jun Average, Laos, LAO
277.816, 1999, Jul Average, Laos, LAO
282.087, 1999, Aug Average, Laos, LAO
275.46, 1999, Sep Average, Laos, LAO
175.542, 1999, Oct Average, Laos, LAO
182.196, 1999, Nov Average, Laos, LAO
55.6784, 1999, Dec Average, Laos, LAO
13.6734, 2000, Jan Average, Laos, LAO
26.7959, 2000, Feb Average, Laos, LAO
22.5567, 2000, Mar Average, Laos, LAO
156.019, 2000, Apr Average, Laos, LAO
273.528, 2000, May Average, Laos, LAO
285.367, 2000, Jun Average, Laos, LAO
316.333, 2000, Jul Average, Laos, LAO
296.403, 2000, Aug Average, Laos, LAO
260.811, 2000, Sep Average, Laos, LAO
151.49, 2000, Oct Average, Laos, LAO
