Rainfall - (MM), Year, Statistics, Country, ISO3
19.3818, 1991, Jan Average, Mexico, MEX
21.6079, 1991, Feb Average, Mexico, MEX
8.6092, 1991, Mar Average, Mexico, MEX
7.30267, 1991, Apr Average, Mexico, MEX
33.0832, 1991, May Average, Mexico, MEX
98.9277, 1991, Jun Average, Mexico, MEX
138.558, 1991, Jul Average, Mexico, MEX
105.655, 1991, Aug Average, Mexico, MEX
144.175, 1991, Sep Average, Mexico, MEX
74.0108, 1991, Oct Average, Mexico, MEX
33.1988, 1991, Nov Average, Mexico, MEX
56.6471, 1991, Dec Average, Mexico, MEX
53.1998, 1992, Jan Average, Mexico, MEX
27.1726, 1992, Feb Average, Mexico, MEX
22.9644, 1992, Mar Average, Mexico, MEX
25.2415, 1992, Apr Average, Mexico, MEX
56.9433, 1992, May Average, Mexico, MEX
72.8898, 1992, Jun Average, Mexico, MEX
140.025, 1992, Jul Average, Mexico, MEX
116.161, 1992, Aug Average, Mexico, MEX
108.563, 1992, Sep Average, Mexico, MEX
67.2127, 1992, Oct Average, Mexico, MEX
38.7164, 1992, Nov Average, Mexico, MEX
29.0819, 1992, Dec Average, Mexico, MEX
32.5159, 1993, Jan Average, Mexico, MEX
18.627, 1993, Feb Average, Mexico, MEX
9.33465, 1993, Mar Average, Mexico, MEX
14.9863, 1993, Apr Average, Mexico, MEX
33.4358, 1993, May Average, Mexico, MEX
149.326, 1993, Jun Average, Mexico, MEX
113.45, 1993, Jul Average, Mexico, MEX
123.753, 1993, Aug Average, Mexico, MEX
159.158, 1993, Sep Average, Mexico, MEX
56.1649, 1993, Oct Average, Mexico, MEX
27.0245, 1993, Nov Average, Mexico, MEX
11.7534, 1993, Dec Average, Mexico, MEX
21.8306, 1994, Jan Average, Mexico, MEX
13.5478, 1994, Feb Average, Mexico, MEX
13.9908, 1994, Mar Average, Mexico, MEX
14.5848, 1994, Apr Average, Mexico, MEX
32.0324, 1994, May Average, Mexico, MEX
87.5602, 1994, Jun Average, Mexico, MEX
81.2204, 1994, Jul Average, Mexico, MEX
126.339, 1994, Aug Average, Mexico, MEX
101.05, 1994, Sep Average, Mexico, MEX
75.316, 1994, Oct Average, Mexico, MEX
28.4977, 1994, Nov Average, Mexico, MEX
35.3106, 1994, Dec Average, Mexico, MEX
14.3864, 1995, Jan Average, Mexico, MEX
18.7635, 1995, Feb Average, Mexico, MEX
13.1374, 1995, Mar Average, Mexico, MEX
17.7593, 1995, Apr Average, Mexico, MEX
34.9718, 1995, May Average, Mexico, MEX
81.3112, 1995, Jun Average, Mexico, MEX
130.541, 1995, Jul Average, Mexico, MEX
172.258, 1995, Aug Average, Mexico, MEX
127.358, 1995, Sep Average, Mexico, MEX
68.0187, 1995, Oct Average, Mexico, MEX
22.3576, 1995, Nov Average, Mexico, MEX
25.0697, 1995, Dec Average, Mexico, MEX
12.0088, 1996, Jan Average, Mexico, MEX
6.80761, 1996, Feb Average, Mexico, MEX
8.80034, 1996, Mar Average, Mexico, MEX
18.8121, 1996, Apr Average, Mexico, MEX
33.7133, 1996, May Average, Mexico, MEX
114.191, 1996, Jun Average, Mexico, MEX
112.512, 1996, Jul Average, Mexico, MEX
159.826, 1996, Aug Average, Mexico, MEX
112.534, 1996, Sep Average, Mexico, MEX
79.4189, 1996, Oct Average, Mexico, MEX
25.4559, 1996, Nov Average, Mexico, MEX
10.5484, 1996, Dec Average, Mexico, MEX
16.8112, 1997, Jan Average, Mexico, MEX
15.953, 1997, Feb Average, Mexico, MEX
27.0638, 1997, Mar Average, Mexico, MEX
39.878, 1997, Apr Average, Mexico, MEX
48.6229, 1997, May Average, Mexico, MEX
86.4885, 1997, Jun Average, Mexico, MEX
94.3363, 1997, Jul Average, Mexico, MEX
92.1918, 1997, Aug Average, Mexico, MEX
114.347, 1997, Sep Average, Mexico, MEX
85.0916, 1997, Oct Average, Mexico, MEX
56.6182, 1997, Nov Average, Mexico, MEX
32.1462, 1997, Dec Average, Mexico, MEX
9.43575, 1998, Jan Average, Mexico, MEX
18.5928, 1998, Feb Average, Mexico, MEX
10.2564, 1998, Mar Average, Mexico, MEX
5.81997, 1998, Apr Average, Mexico, MEX
13.3413, 1998, May Average, Mexico, MEX
73.4987, 1998, Jun Average, Mexico, MEX
122.131, 1998, Jul Average, Mexico, MEX
135.67, 1998, Aug Average, Mexico, MEX
196.104, 1998, Sep Average, Mexico, MEX
103.966, 1998, Oct Average, Mexico, MEX
58.9935, 1998, Nov Average, Mexico, MEX
8.83849, 1998, Dec Average, Mexico, MEX
6.13914, 1999, Jan Average, Mexico, MEX
5.18115, 1999, Feb Average, Mexico, MEX
9.11543, 1999, Mar Average, Mexico, MEX
8.51514, 1999, Apr Average, Mexico, MEX
25.626, 1999, May Average, Mexico, MEX
137.27, 1999, Jun Average, Mexico, MEX
178.559, 1999, Jul Average, Mexico, MEX
135.156, 1999, Aug Average, Mexico, MEX
139.363, 1999, Sep Average, Mexico, MEX
82.7172, 1999, Oct Average, Mexico, MEX
17.2365, 1999, Nov Average, Mexico, MEX
17.3225, 1999, Dec Average, Mexico, MEX
10.1418, 2000, Jan Average, Mexico, MEX
6.59216, 2000, Feb Average, Mexico, MEX
13.0908, 2000, Mar Average, Mexico, MEX
9.85043, 2000, Apr Average, Mexico, MEX
62.221, 2000, May Average, Mexico, MEX
136.613, 2000, Jun Average, Mexico, MEX
91.8384, 2000, Jul Average, Mexico, MEX
120.477, 2000, Aug Average, Mexico, MEX
120.407, 2000, Sep Average, Mexico, MEX
91.9443, 2000, Oct Average, Mexico, MEX
31.0509, 2000, Nov Average, Mexico, MEX
12.6366, 2000, Dec Average, Mexico, MEX
13.6611, 2001, Jan Average, Mexico, MEX
19.0045, 2001, Feb Average, Mexico, MEX
