Rainfall - (MM), Year, Statistics, Country, ISO3
11.1858, 1991, Jan Average, Myanmar (Burma), MMR
6.98708, 1991, Feb Average, Myanmar (Burma), MMR
13.8214, 1991, Mar Average, Myanmar (Burma), MMR
113.01, 1991, Apr Average, Myanmar (Burma), MMR
143.36, 1991, May Average, Myanmar (Burma), MMR
379.358, 1991, Jun Average, Myanmar (Burma), MMR
343.731, 1991, Jul Average, Myanmar (Burma), MMR
411.868, 1991, Aug Average, Myanmar (Burma), MMR
270.124, 1991, Sep Average, Myanmar (Burma), MMR
172.837, 1991, Oct Average, Myanmar (Burma), MMR
107.431, 1991, Nov Average, Myanmar (Burma), MMR
19.8317, 1991, Dec Average, Myanmar (Burma), MMR
9.74911, 1992, Jan Average, Myanmar (Burma), MMR
32.6659, 1992, Feb Average, Myanmar (Burma), MMR
9.739, 1992, Mar Average, Myanmar (Burma), MMR
28.8861, 1992, Apr Average, Myanmar (Burma), MMR
119.213, 1992, May Average, Myanmar (Burma), MMR
244.129, 1992, Jun Average, Myanmar (Burma), MMR
454.974, 1992, Jul Average, Myanmar (Burma), MMR
465.366, 1992, Aug Average, Myanmar (Burma), MMR
287.52, 1992, Sep Average, Myanmar (Burma), MMR
223.748, 1992, Oct Average, Myanmar (Burma), MMR
35.6976, 1992, Nov Average, Myanmar (Burma), MMR
15.8881, 1992, Dec Average, Myanmar (Burma), MMR
12.7754, 1993, Jan Average, Myanmar (Burma), MMR
34.2453, 1993, Feb Average, Myanmar (Burma), MMR
53.8048, 1993, Mar Average, Myanmar (Burma), MMR
46.1381, 1993, Apr Average, Myanmar (Burma), MMR
222.149, 1993, May Average, Myanmar (Burma), MMR
303.027, 1993, Jun Average, Myanmar (Burma), MMR
274.525, 1993, Jul Average, Myanmar (Burma), MMR
348.807, 1993, Aug Average, Myanmar (Burma), MMR
286.625, 1993, Sep Average, Myanmar (Burma), MMR
133.002, 1993, Oct Average, Myanmar (Burma), MMR
8.78102, 1993, Nov Average, Myanmar (Burma), MMR
1.39803, 1993, Dec Average, Myanmar (Burma), MMR
4.02402, 1994, Jan Average, Myanmar (Burma), MMR
20.2129, 1994, Feb Average, Myanmar (Burma), MMR
64.1231, 1994, Mar Average, Myanmar (Burma), MMR
55.8209, 1994, Apr Average, Myanmar (Burma), MMR
169.854, 1994, May Average, Myanmar (Burma), MMR
376.216, 1994, Jun Average, Myanmar (Burma), MMR
401.395, 1994, Jul Average, Myanmar (Burma), MMR
535.66, 1994, Aug Average, Myanmar (Burma), MMR
253.117, 1994, Sep Average, Myanmar (Burma), MMR
140.219, 1994, Oct Average, Myanmar (Burma), MMR
36.6128, 1994, Nov Average, Myanmar (Burma), MMR
7.92962, 1994, Dec Average, Myanmar (Burma), MMR
6.18126, 1995, Jan Average, Myanmar (Burma), MMR
9.35409, 1995, Feb Average, Myanmar (Burma), MMR
12.8428, 1995, Mar Average, Myanmar (Burma), MMR
24.8425, 1995, Apr Average, Myanmar (Burma), MMR
175.383, 1995, May Average, Myanmar (Burma), MMR
315.245, 1995, Jun Average, Myanmar (Burma), MMR
416.805, 1995, Jul Average, Myanmar (Burma), MMR
