Rainfall - (MM), Year, Statistics, Country, ISO3
50.356, 1991, Jan Average, Nicaragua, NIC
43.6822, 1991, Feb Average, Nicaragua, NIC
18.7258, 1991, Mar Average, Nicaragua, NIC
26.1786, 1991, Apr Average, Nicaragua, NIC
239.286, 1991, May Average, Nicaragua, NIC
291.615, 1991, Jun Average, Nicaragua, NIC
278.809, 1991, Jul Average, Nicaragua, NIC
279.127, 1991, Aug Average, Nicaragua, NIC
317.8, 1991, Sep Average, Nicaragua, NIC
245.962, 1991, Oct Average, Nicaragua, NIC
153.616, 1991, Nov Average, Nicaragua, NIC
163.706, 1991, Dec Average, Nicaragua, NIC
32.2662, 1992, Jan Average, Nicaragua, NIC
32.4436, 1992, Feb Average, Nicaragua, NIC
33.8531, 1992, Mar Average, Nicaragua, NIC
41.4656, 1992, Apr Average, Nicaragua, NIC
123.072, 1992, May Average, Nicaragua, NIC
318.152, 1992, Jun Average, Nicaragua, NIC
394.816, 1992, Jul Average, Nicaragua, NIC
209.361, 1992, Aug Average, Nicaragua, NIC
266.216, 1992, Sep Average, Nicaragua, NIC
326.654, 1992, Oct Average, Nicaragua, NIC
95.3709, 1992, Nov Average, Nicaragua, NIC
130.374, 1992, Dec Average, Nicaragua, NIC
171.32, 1993, Jan Average, Nicaragua, NIC
31.3173, 1993, Feb Average, Nicaragua, NIC
74.777, 1993, Mar Average, Nicaragua, NIC
33.3643, 1993, Apr Average, Nicaragua, NIC
292.44, 1993, May Average, Nicaragua, NIC
444.065, 1993, Jun Average, Nicaragua, NIC
318.753, 1993, Jul Average, Nicaragua, NIC
322.29, 1993, Aug Average, Nicaragua, NIC
342.826, 1993, Sep Average, Nicaragua, NIC
335.822, 1993, Oct Average, Nicaragua, NIC
115.205, 1993, Nov Average, Nicaragua, NIC
98.5008, 1993, Dec Average, Nicaragua, NIC
54.1308, 1994, Jan Average, Nicaragua, NIC
33.4179, 1994, Feb Average, Nicaragua, NIC
13.5382, 1994, Mar Average, Nicaragua, NIC
39.8825, 1994, Apr Average, Nicaragua, NIC
212.1, 1994, May Average, Nicaragua, NIC
108.326, 1994, Jun Average, Nicaragua, NIC
207.735, 1994, Jul Average, Nicaragua, NIC
227.079, 1994, Aug Average, Nicaragua, NIC
355.96, 1994, Sep Average, Nicaragua, NIC
247.26, 1994, Oct Average, Nicaragua, NIC
223.672, 1994, Nov Average, Nicaragua, NIC
97.13, 1994, Dec Average, Nicaragua, NIC
58.9468, 1995, Jan Average, Nicaragua, NIC
41.4846, 1995, Feb Average, Nicaragua, NIC
82.7529, 1995, Mar Average, Nicaragua, NIC
110.918, 1995, Apr Average, Nicaragua, NIC
173.774, 1995, May Average, Nicaragua, NIC
352.879, 1995, Jun Average, Nicaragua, NIC
419.921, 1995, Jul Average, Nicaragua, NIC
451.631, 1995, Aug Average, Nicaragua, NIC
255.881, 1995, Sep Average, Nicaragua, NIC
448.117, 1995, Oct Average, Nicaragua, NIC
140.533, 1995, Nov Average, Nicaragua, NIC
128.744, 1995, Dec Average, Nicaragua, NIC
257.451, 1996, Jan Average, Nicaragua, NIC
40.1251, 1996, Feb Average, Nicaragua, NIC
61.0994, 1996, Mar Average, Nicaragua, NIC
38.2834, 1996, Apr Average, Nicaragua, NIC
286.002, 1996, May Average, Nicaragua, NIC
281.109, 1996, Jun Average, Nicaragua, NIC
455.505, 1996, Jul Average, Nicaragua, NIC
404.23, 1996, Aug Average, Nicaragua, NIC
330.267, 1996, Sep Average, Nicaragua, NIC
344.114, 1996, Oct Average, Nicaragua, NIC
216.682, 1996, Nov Average, Nicaragua, NIC
68.835, 1996, Dec Average, Nicaragua, NIC
171.609, 1997, Jan Average, Nicaragua, NIC
60.2456, 1997, Feb Average, Nicaragua, NIC
40.4542, 1997, Mar Average, Nicaragua, NIC
70.954, 1997, Apr Average, Nicaragua, NIC
87.1974, 1997, May Average, Nicaragua, NIC
274.087, 1997, Jun Average, Nicaragua, NIC
148.307, 1997, Jul Average, Nicaragua, NIC
147.919, 1997, Aug Average, Nicaragua, NIC
233.001, 1997, Sep Average, Nicaragua, NIC
249.384, 1997, Oct Average, Nicaragua, NIC
409.282, 1997, Nov Average, Nicaragua, NIC
43.1497, 1997, Dec Average, Nicaragua, NIC
14.1733, 1998, Jan Average, Nicaragua, NIC
60.3029, 1998, Feb Average, Nicaragua, NIC
47.3076, 1998, Mar Average, Nicaragua, NIC
59.0548, 1998, Apr Average, Nicaragua, NIC
168.245, 1998, May Average, Nicaragua, NIC
374.032, 1998, Jun Average, Nicaragua, NIC
460.267, 1998, Jul Average, Nicaragua, NIC
220.212, 1998, Aug Average, Nicaragua, NIC
243.315, 1998, Sep Average, Nicaragua, NIC
447.447, 1998, Oct Average, Nicaragua, NIC
183.358, 1998, Nov Average, Nicaragua, NIC
256.035, 1998, Dec Average, Nicaragua, NIC
67.698, 1999, Jan Average, Nicaragua, NIC
104.487, 1999, Feb Average, Nicaragua, NIC
17.9165, 1999, Mar Average, Nicaragua, NIC
89.826, 1999, Apr Average, Nicaragua, NIC
263.821, 1999, May Average, Nicaragua, NIC
315.158, 1999, Jun Average, Nicaragua, NIC
259.396, 1999, Jul Average, Nicaragua, NIC
459.135, 1999, Aug Average, Nicaragua, NIC
325.698, 1999, Sep Average, Nicaragua, NIC
324.25, 1999, Oct Average, Nicaragua, NIC
113.439, 1999, Nov Average, Nicaragua, NIC
181.466, 1999, Dec Average, Nicaragua, NIC
87.6481, 2000, Jan Average, Nicaragua, NIC
68.9045, 2000, Feb Average, Nicaragua, NIC
5.6848, 2000, Mar Average, Nicaragua, NIC
37.623, 2000, Apr Average, Nicaragua, NIC
304.364, 2000, May Average, Nicaragua, NIC
346.915, 2000, Jun Average, Nicaragua, NIC
210.068, 2000, Jul Average, Nicaragua, NIC
182.693, 2000, Aug Average, Nicaragua, NIC
306.715, 2000, Sep Average, Nicaragua, NIC
196.197, 2000, Oct Average, Nicaragua, NIC
99.7941, 2000, Nov Average, Nicaragua, NIC
134.217, 2000, Dec Average, Nicaragua, NIC
146.717, 2001, Jan Average, Nicaragua, NIC
42.0415, 2001, Feb Average, Nicaragua, NIC
16.5106, 2001, Mar Average, Nicaragua, NIC
31.9059, 2001, Apr Average, Nicaragua, NIC
190.983, 2001, May Average, Nicaragua, NIC
156.374, 2001, Jun Average, Nicaragua, NIC
222.105, 2001, Jul Average, Nicaragua, NIC
219.002, 2001, Aug Average, Nicaragua, NIC
244.688, 2001, Sep Average, Nicaragua, NIC
347.008, 2001, Oct Average, Nicaragua, NIC
212.568, 2001, Nov Average, Nicaragua, NIC
238.052, 2001, Dec Average, Nicaragua, NIC
213.988, 2002, Jan Average, Nicaragua, NIC
39.1351, 2002, Feb Average, Nicaragua, NIC
21.1715, 2002, Mar Average, Nicaragua, NIC
13.6263, 2002, Apr Average, Nicaragua, NIC
191.377, 2002, May Average, Nicaragua, NIC
317.95, 2002, Jun Average, Nicaragua, NIC
275.942, 2002, Jul Average, Nicaragua, NIC
190.37, 2002, Aug Average, Nicaragua, NIC
227.834, 2002, Sep Average, Nicaragua, NIC
294.064, 2002, Oct Average, Nicaragua, NIC
135.253, 2002, Nov Average, Nicaragua, NIC
145.522, 2002, Dec Average, Nicaragua, NIC
45.8893, 2003, Jan Average, Nicaragua, NIC
53.5157, 2003, Feb Average, Nicaragua, NIC
