Rainfall - (MM), Year, Statistics, Country, ISO3
30.6302, 1991, Jan Average, Panama, PAN
44.2759, 1991, Feb Average, Panama, PAN
39.2193, 1991, Mar Average, Panama, PAN
103.354, 1991, Apr Average, Panama, PAN
373.722, 1991, May Average, Panama, PAN
256.803, 1991, Jun Average, Panama, PAN
220.628, 1991, Jul Average, Panama, PAN
325.485, 1991, Aug Average, Panama, PAN
265.534, 1991, Sep Average, Panama, PAN
296.859, 1991, Oct Average, Panama, PAN
377.169, 1991, Nov Average, Panama, PAN
99.939, 1991, Dec Average, Panama, PAN
31.3074, 1992, Jan Average, Panama, PAN
28.8455, 1992, Feb Average, Panama, PAN
30.1291, 1992, Mar Average, Panama, PAN
141.213, 1992, Apr Average, Panama, PAN
339.092, 1992, May Average, Panama, PAN
196.092, 1992, Jun Average, Panama, PAN
262.485, 1992, Jul Average, Panama, PAN
270.026, 1992, Aug Average, Panama, PAN
236.468, 1992, Sep Average, Panama, PAN
342.381, 1992, Oct Average, Panama, PAN
156.89, 1992, Nov Average, Panama, PAN
129.666, 1992, Dec Average, Panama, PAN
116.794, 1993, Jan Average, Panama, PAN
29.2824, 1993, Feb Average, Panama, PAN
100.08, 1993, Mar Average, Panama, PAN
82.0629, 1993, Apr Average, Panama, PAN
445.296, 1993, May Average, Panama, PAN
264.39, 1993, Jun Average, Panama, PAN
212.865, 1993, Jul Average, Panama, PAN
261.074, 1993, Aug Average, Panama, PAN
340.734, 1993, Sep Average, Panama, PAN
296.668, 1993, Oct Average, Panama, PAN
233.688, 1993, Nov Average, Panama, PAN
215.522, 1993, Dec Average, Panama, PAN
28.459, 1994, Jan Average, Panama, PAN
25.1139, 1994, Feb Average, Panama, PAN
28.9065, 1994, Mar Average, Panama, PAN
84.9033, 1994, Apr Average, Panama, PAN
372.26, 1994, May Average, Panama, PAN
134.205, 1994, Jun Average, Panama, PAN
264.858, 1994, Jul Average, Panama, PAN
190.509, 1994, Aug Average, Panama, PAN
302.314, 1994, Sep Average, Panama, PAN
399.621, 1994, Oct Average, Panama, PAN
423.797, 1994, Nov Average, Panama, PAN
190.4, 1994, Dec Average, Panama, PAN
36.0791, 1995, Jan Average, Panama, PAN
33.4417, 1995, Feb Average, Panama, PAN
91.438, 1995, Mar Average, Panama, PAN
248.427, 1995, Apr Average, Panama, PAN
320.977, 1995, May Average, Panama, PAN
228.842, 1995, Jun Average, Panama, PAN
320.209, 1995, Jul Average, Panama, PAN
290.3, 1995, Aug Average, Panama, PAN
196.395, 1995, Sep Average, Panama, PAN
351.076, 1995, Oct Average, Panama, PAN
326.22, 1995, Nov Average, Panama, PAN
108.906, 1995, Dec Average, Panama, PAN
139.631, 1996, Jan Average, Panama, PAN
37.3942, 1996, Feb Average, Panama, PAN
86.6062, 1996, Mar Average, Panama, PAN
66.9397, 1996, Apr Average, Panama, PAN
457.848, 1996, May Average, Panama, PAN
275.069, 1996, Jun Average, Panama, PAN
256.693, 1996, Jul Average, Panama, PAN
226.39, 1996, Aug Average, Panama, PAN
221.956, 1996, Sep Average, Panama, PAN
305.641, 1996, Oct Average, Panama, PAN
370.775, 1996, Nov Average, Panama, PAN
152.336, 1996, Dec Average, Panama, PAN
88.2265, 1997, Jan Average, Panama, PAN
89.0399, 1997, Feb Average, Panama, PAN
32.6217, 1997, Mar Average, Panama, PAN
177.963, 1997, Apr Average, Panama, PAN
144.191, 1997, May Average, Panama, PAN
289.939, 1997, Jun Average, Panama, PAN
204.645, 1997, Jul Average, Panama, PAN
222.502, 1997, Aug Average, Panama, PAN
243.504, 1997, Sep Average, Panama, PAN
349.128, 1997, Oct Average, Panama, PAN
446.771, 1997, Nov Average, Panama, PAN
106.905, 1997, Dec Average, Panama, PAN
14.1131, 1998, Jan Average, Panama, PAN
54.9353, 1998, Feb Average, Panama, PAN
62.6805, 1998, Mar Average, Panama, PAN
70.4059, 1998, Apr Average, Panama, PAN
342.128, 1998, May Average, Panama, PAN
270.803, 1998, Jun Average, Panama, PAN
254.588, 1998, Jul Average, Panama, PAN
226.051, 1998, Aug Average, Panama, PAN
212.591, 1998, Sep Average, Panama, PAN
329.974, 1998, Oct Average, Panama, PAN
291.064, 1998, Nov Average, Panama, PAN
319.21, 1998, Dec Average, Panama, PAN
46.5708, 1999, Jan Average, Panama, PAN
76.3667, 1999, Feb Average, Panama, PAN
40.7611, 1999, Mar Average, Panama, PAN
156.168, 1999, Apr Average, Panama, PAN
269.336, 1999, May Average, Panama, PAN
229.013, 1999, Jun Average, Panama, PAN
211.102, 1999, Jul Average, Panama, PAN
310.105, 1999, Aug Average, Panama, PAN
338.861, 1999, Sep Average, Panama, PAN
402.998, 1999, Oct Average, Panama, PAN
368.514, 1999, Nov Average, Panama, PAN
346.317, 1999, Dec Average, Panama, PAN
72.5069, 2000, Jan Average, Panama, PAN
61.9088, 2000, Feb Average, Panama, PAN
27.7537, 2000, Mar Average, Panama, PAN
120.717, 2000, Apr Average, Panama, PAN
383.481, 2000, May Average, Panama, PAN
357.321, 2000, Jun Average, Panama, PAN
256.29, 2000, Jul Average, Panama, PAN
231.3, 2000, Aug Average, Panama, PAN
230.09, 2000, Sep Average, Panama, PAN
283.459, 2000, Oct Average, Panama, PAN
285.377, 2000, Nov Average, Panama, PAN
