Rainfall - (MM), Year, Statistics, Country, ISO3
114.139, 1991, Jan Average, Peru, PER
145.033, 1991, Feb Average, Peru, PER
179.748, 1991, Mar Average, Peru, PER
117.79, 1991, Apr Average, Peru, PER
115.136, 1991, May Average, Peru, PER
100.586, 1991, Jun Average, Peru, PER
33.1959, 1991, Jul Average, Peru, PER
53.7869, 1991, Aug Average, Peru, PER
86.4795, 1991, Sep Average, Peru, PER
94.9281, 1991, Oct Average, Peru, PER
145.94, 1991, Nov Average, Peru, PER
98.3234, 1991, Dec Average, Peru, PER
103.085, 1992, Jan Average, Peru, PER
125.803, 1992, Feb Average, Peru, PER
160.69, 1992, Mar Average, Peru, PER
122.08, 1992, Apr Average, Peru, PER
65.0352, 1992, May Average, Peru, PER
59.7721, 1992, Jun Average, Peru, PER
82.5511, 1992, Jul Average, Peru, PER
108.342, 1992, Aug Average, Peru, PER
117.682, 1992, Sep Average, Peru, PER
104.421, 1992, Oct Average, Peru, PER
130.423, 1992, Nov Average, Peru, PER
144.314, 1992, Dec Average, Peru, PER
246.741, 1993, Jan Average, Peru, PER
132.652, 1993, Feb Average, Peru, PER
211.021, 1993, Mar Average, Peru, PER
182.45, 1993, Apr Average, Peru, PER
102.217, 1993, May Average, Peru, PER
61.6126, 1993, Jun Average, Peru, PER
91.4054, 1993, Jul Average, Peru, PER
70.0674, 1993, Aug Average, Peru, PER
70.6567, 1993, Sep Average, Peru, PER
145.47, 1993, Oct Average, Peru, PER
166.156, 1993, Nov Average, Peru, PER
168.545, 1993, Dec Average, Peru, PER
185.068, 1994, Jan Average, Peru, PER
157.781, 1994, Feb Average, Peru, PER
183.966, 1994, Mar Average, Peru, PER
210.261, 1994, Apr Average, Peru, PER
98.218, 1994, May Average, Peru, PER
111.543, 1994, Jun Average, Peru, PER
58.196, 1994, Jul Average, Peru, PER
55.1787, 1994, Aug Average, Peru, PER
104.554, 1994, Sep Average, Peru, PER
159.96, 1994, Oct Average, Peru, PER
144.982, 1994, Nov Average, Peru, PER
215.328, 1994, Dec Average, Peru, PER
136.548, 1995, Jan Average, Peru, PER
113.262, 1995, Feb Average, Peru, PER
200.528, 1995, Mar Average, Peru, PER
111.899, 1995, Apr Average, Peru, PER
107.935, 1995, May Average, Peru, PER
91.7463, 1995, Jun Average, Peru, PER
64.7136, 1995, Jul Average, Peru, PER
42.529, 1995, Aug Average, Peru, PER
82.8913, 1995, Sep Average, Peru, PER
95.832, 1995, Oct Average, Peru, PER
145.25, 1995, Nov Average, Peru, PER
157.41, 1995, Dec Average, Peru, PER
197.42, 1996, Jan Average, Peru, PER
196.668, 1996, Feb Average, Peru, PER
145.943, 1996, Mar Average, Peru, PER
162.784, 1996, Apr Average, Peru, PER
129.128, 1996, May Average, Peru, PER
56.9982, 1996, Jun Average, Peru, PER
55.3783, 1996, Jul Average, Peru, PER
77.9946, 1996, Aug Average, Peru, PER
84.1747, 1996, Sep Average, Peru, PER
