Rainfall - (MM), Year, Statistics, Country, ISO3
84.3706, 1991, Jan Average, Philippines, PHL
83.6896, 1991, Feb Average, Philippines, PHL
87.7454, 1991, Mar Average, Philippines, PHL
95.9104, 1991, Apr Average, Philippines, PHL
120.533, 1991, May Average, Philippines, PHL
207.943, 1991, Jun Average, Philippines, PHL
320.326, 1991, Jul Average, Philippines, PHL
342.481, 1991, Aug Average, Philippines, PHL
177.951, 1991, Sep Average, Philippines, PHL
227.965, 1991, Oct Average, Philippines, PHL
180.768, 1991, Nov Average, Philippines, PHL
96.2073, 1991, Dec Average, Philippines, PHL
66.4652, 1992, Jan Average, Philippines, PHL
24.4988, 1992, Feb Average, Philippines, PHL
21.3685, 1992, Mar Average, Philippines, PHL
33.9054, 1992, Apr Average, Philippines, PHL
109.229, 1992, May Average, Philippines, PHL
221.456, 1992, Jun Average, Philippines, PHL
350.105, 1992, Jul Average, Philippines, PHL
337.328, 1992, Aug Average, Philippines, PHL
274.296, 1992, Sep Average, Philippines, PHL
254.352, 1992, Oct Average, Philippines, PHL
160.388, 1992, Nov Average, Philippines, PHL
108.019, 1992, Dec Average, Philippines, PHL
72.5875, 1993, Jan Average, Philippines, PHL
102.534, 1993, Feb Average, Philippines, PHL
67.2379, 1993, Mar Average, Philippines, PHL
76.4378, 1993, Apr Average, Philippines, PHL
96.3544, 1993, May Average, Philippines, PHL
152.298, 1993, Jun Average, Philippines, PHL
276.069, 1993, Jul Average, Philippines, PHL
301.246, 1993, Aug Average, Philippines, PHL
239.919, 1993, Sep Average, Philippines, PHL
309.591, 1993, Oct Average, Philippines, PHL
279.036, 1993, Nov Average, Philippines, PHL
295.486, 1993, Dec Average, Philippines, PHL
141.423, 1994, Jan Average, Philippines, PHL
77.8492, 1994, Feb Average, Philippines, PHL
103.927, 1994, Mar Average, Philippines, PHL
142.495, 1994, Apr Average, Philippines, PHL
172.473, 1994, May Average, Philippines, PHL
353.524, 1994, Jun Average, Philippines, PHL
258.177, 1994, Jul Average, Philippines, PHL
274.738, 1994, Aug Average, Philippines, PHL
278.252, 1994, Sep Average, Philippines, PHL
147.658, 1994, Oct Average, Philippines, PHL
93.4185, 1994, Nov Average, Philippines, PHL
154.586, 1994, Dec Average, Philippines, PHL
105.104, 1995, Jan Average, Philippines, PHL
