Rainfall - (MM), Year, Statistics, Country, ISO3
336.794, 1991, Jan Average, Papua New Guinea, PNG
330.014, 1991, Feb Average, Papua New Guinea, PNG
271.569, 1991, Mar Average, Papua New Guinea, PNG
291.84, 1991, Apr Average, Papua New Guinea, PNG
171.546, 1991, May Average, Papua New Guinea, PNG
114.306, 1991, Jun Average, Papua New Guinea, PNG
217.221, 1991, Jul Average, Papua New Guinea, PNG
303.087, 1991, Aug Average, Papua New Guinea, PNG
108.165, 1991, Sep Average, Papua New Guinea, PNG
290.493, 1991, Oct Average, Papua New Guinea, PNG
196.716, 1991, Nov Average, Papua New Guinea, PNG
250.998, 1991, Dec Average, Papua New Guinea, PNG
264.17, 1992, Jan Average, Papua New Guinea, PNG
324.476, 1992, Feb Average, Papua New Guinea, PNG
291.049, 1992, Mar Average, Papua New Guinea, PNG
308.315, 1992, Apr Average, Papua New Guinea, PNG
251.004, 1992, May Average, Papua New Guinea, PNG
169.782, 1992, Jun Average, Papua New Guinea, PNG
185.363, 1992, Jul Average, Papua New Guinea, PNG
205.334, 1992, Aug Average, Papua New Guinea, PNG
109.129, 1992, Sep Average, Papua New Guinea, PNG
186.797, 1992, Oct Average, Papua New Guinea, PNG
136.676, 1992, Nov Average, Papua New Guinea, PNG
301.893, 1992, Dec Average, Papua New Guinea, PNG
330.28, 1993, Jan Average, Papua New Guinea, PNG
240.893, 1993, Feb Average, Papua New Guinea, PNG
232.732, 1993, Mar Average, Papua New Guinea, PNG
311.866, 1993, Apr Average, Papua New Guinea, PNG
161.488, 1993, May Average, Papua New Guinea, PNG
217.939, 1993, Jun Average, Papua New Guinea, PNG
137.896, 1993, Jul Average, Papua New Guinea, PNG
107.65, 1993, Aug Average, Papua New Guinea, PNG
74.1145, 1993, Sep Average, Papua New Guinea, PNG
154.106, 1993, Oct Average, Papua New Guinea, PNG
124.167, 1993, Nov Average, Papua New Guinea, PNG
349.625, 1993, Dec Average, Papua New Guinea, PNG
214.553, 1994, Jan Average, Papua New Guinea, PNG
316.283, 1994, Feb Average, Papua New Guinea, PNG
246.625, 1994, Mar Average, Papua New Guinea, PNG
278.102, 1994, Apr Average, Papua New Guinea, PNG
279.411, 1994, May Average, Papua New Guinea, PNG
121.007, 1994, Jun Average, Papua New Guinea, PNG
181.051, 1994, Jul Average, Papua New Guinea, PNG
240.484, 1994, Aug Average, Papua New Guinea, PNG
100.45, 1994, Sep Average, Papua New Guinea, PNG
136.583, 1994, Oct Average, Papua New Guinea, PNG
97.4471, 1994, Nov Average, Papua New Guinea, PNG
215.697, 1994, Dec Average, Papua New Guinea, PNG
303.74, 1995, Jan Average, Papua New Guinea, PNG
357.089, 1995, Feb Average, Papua New Guinea, PNG
315.649, 1995, Mar Average, Papua New Guinea, PNG
236.896, 1995, Apr Average, Papua New Guinea, PNG
263.05, 1995, May Average, Papua New Guinea, PNG
144.73, 1995, Jun Average, Papua New Guinea, PNG
163.885, 1995, Jul Average, Papua New Guinea, PNG
149.799, 1995, Aug Average, Papua New Guinea, PNG
214.608, 1995, Sep Average, Papua New Guinea, PNG
361.301, 1995, Oct Average, Papua New Guinea, PNG
260.16, 1995, Nov Average, Papua New Guinea, PNG
299.555, 1995, Dec Average, Papua New Guinea, PNG
305.702, 1996, Jan Average, Papua New Guinea, PNG
398.955, 1996, Feb Average, Papua New Guinea, PNG
270.267, 1996, Mar Average, Papua New Guinea, PNG
325.532, 1996, Apr Average, Papua New Guinea, PNG
306.32, 1996, May Average, Papua New Guinea, PNG
138.242, 1996, Jun Average, Papua New Guinea, PNG
250.628, 1996, Jul Average, Papua New Guinea, PNG
181.925, 1996, Aug Average, Papua New Guinea, PNG
255.192, 1996, Sep Average, Papua New Guinea, PNG
390.474, 1996, Oct Average, Papua New Guinea, PNG
156.338, 1996, Nov Average, Papua New Guinea, PNG
366.313, 1996, Dec Average, Papua New Guinea, PNG
304.707, 1997, Jan Average, Papua New Guinea, PNG
368.825, 1997, Feb Average, Papua New Guinea, PNG
331.321, 1997, Mar Average, Papua New Guinea, PNG
225.402, 1997, Apr Average, Papua New Guinea, PNG
213.023, 1997, May Average, Papua New Guinea, PNG
228.274, 1997, Jun Average, Papua New Guinea, PNG
279.345, 1997, Jul Average, Papua New Guinea, PNG
172.361, 1997, Aug Average, Papua New Guinea, PNG
203.571, 1997, Sep Average, Papua New Guinea, PNG
208.259, 1997, Oct Average, Papua New Guinea, PNG
228.207, 1997, Nov Average, Papua New Guinea, PNG
263.617, 1997, Dec Average, Papua New Guinea, PNG
289.084, 1998, Jan Average, Papua New Guinea, PNG
292.702, 1998, Feb Average, Papua New Guinea, PNG
362.252, 1998, Mar Average, Papua New Guinea, PNG
238.582, 1998, Apr Average, Papua New Guinea, PNG
286.33, 1998, May Average, Papua New Guinea, PNG
187.788, 1998, Jun Average, Papua New Guinea, PNG
202.098, 1998, Jul Average, Papua New Guinea, PNG
186.874, 1998, Aug Average, Papua New Guinea, PNG
234.631, 1998, Sep Average, Papua New Guinea, PNG
229.492, 1998, Oct Average, Papua New Guinea, PNG
335.139, 1998, Nov Average, Papua New Guinea, PNG
377.879, 1998, Dec Average, Papua New Guinea, PNG
319.178, 1999, Jan Average, Papua New Guinea, PNG
380.313, 1999, Feb Average, Papua New Guinea, PNG
328.506, 1999, Mar Average, Papua New Guinea, PNG
