Rainfall - (MM), Year, Statistics, Country, ISO3
84.8467, 1991, Jan Average, Puerto Rico, PRI
158.465, 1991, Feb Average, Puerto Rico, PRI
48.2771, 1991, Mar Average, Puerto Rico, PRI
107.602, 1991, Apr Average, Puerto Rico, PRI
142.222, 1991, May Average, Puerto Rico, PRI
96.5539, 1991, Jun Average, Puerto Rico, PRI
191.566, 1991, Jul Average, Puerto Rico, PRI
166.464, 1991, Aug Average, Puerto Rico, PRI
230.469, 1991, Sep Average, Puerto Rico, PRI
138.749, 1991, Oct Average, Puerto Rico, PRI
155.126, 1991, Nov Average, Puerto Rico, PRI
82.6305, 1991, Dec Average, Puerto Rico, PRI
205.762, 1992, Jan Average, Puerto Rico, PRI
38.6197, 1992, Feb Average, Puerto Rico, PRI
93.9976, 1992, Mar Average, Puerto Rico, PRI
130.514, 1992, Apr Average, Puerto Rico, PRI
400.677, 1992, May Average, Puerto Rico, PRI
185.336, 1992, Jun Average, Puerto Rico, PRI
157.533, 1992, Jul Average, Puerto Rico, PRI
220.845, 1992, Aug Average, Puerto Rico, PRI
234.96, 1992, Sep Average, Puerto Rico, PRI
138.126, 1992, Oct Average, Puerto Rico, PRI
233.074, 1992, Nov Average, Puerto Rico, PRI
187.936, 1992, Dec Average, Puerto Rico, PRI
180.305, 1993, Jan Average, Puerto Rico, PRI
49.1649, 1993, Feb Average, Puerto Rico, PRI
79.8442, 1993, Mar Average, Puerto Rico, PRI
208.335, 1993, Apr Average, Puerto Rico, PRI
264.937, 1993, May Average, Puerto Rico, PRI
204.86, 1993, Jun Average, Puerto Rico, PRI
148.973, 1993, Jul Average, Puerto Rico, PRI
155.576, 1993, Aug Average, Puerto Rico, PRI
188.645, 1993, Sep Average, Puerto Rico, PRI
118.408, 1993, Oct Average, Puerto Rico, PRI
128.326, 1993, Nov Average, Puerto Rico, PRI
93.0591, 1993, Dec Average, Puerto Rico, PRI
106.966, 1994, Jan Average, Puerto Rico, PRI
67.9228, 1994, Feb Average, Puerto Rico, PRI
73.3817, 1994, Mar Average, Puerto Rico, PRI
76.4904, 1994, Apr Average, Puerto Rico, PRI
139.085, 1994, May Average, Puerto Rico, PRI
121.82, 1994, Jun Average, Puerto Rico, PRI
137.432, 1994, Jul Average, Puerto Rico, PRI
127.6, 1994, Aug Average, Puerto Rico, PRI
263.024, 1994, Sep Average, Puerto Rico, PRI
181.918, 1994, Oct Average, Puerto Rico, PRI
157.655, 1994, Nov Average, Puerto Rico, PRI
163.317, 1994, Dec Average, Puerto Rico, PRI
87.5689, 1995, Jan Average, Puerto Rico, PRI
131.818, 1995, Feb Average, Puerto Rico, PRI
62.6863, 1995, Mar Average, Puerto Rico, PRI
69.3965, 1995, Apr Average, Puerto Rico, PRI
261.128, 1995, May Average, Puerto Rico, PRI
180.741, 1995, Jun Average, Puerto Rico, PRI
178.571, 1995, Jul Average, Puerto Rico, PRI
202.626, 1995, Aug Average, Puerto Rico, PRI
292.118, 1995, Sep Average, Puerto Rico, PRI
190.212, 1995, Oct Average, Puerto Rico, PRI
77.5812, 1995, Nov Average, Puerto Rico, PRI
166.981, 1995, Dec Average, Puerto Rico, PRI
211.617, 1996, Jan Average, Puerto Rico, PRI
91.0537, 1996, Feb Average, Puerto Rico, PRI
68.7658, 1996, Mar Average, Puerto Rico, PRI
201.132, 1996, Apr Average, Puerto Rico, PRI
13.9515, 1996, May Average, Puerto Rico, PRI
100.026, 1996, Jun Average, Puerto Rico, PRI
249.081, 1996, Jul Average, Puerto Rico, PRI
22.8621, 1996, Aug Average, Puerto Rico, PRI
246.75, 1996, Sep Average, Puerto Rico, PRI
316.501, 1996, Oct Average, Puerto Rico, PRI
48.7671, 1996, Nov Average, Puerto Rico, PRI
74.5287, 1996, Dec Average, Puerto Rico, PRI
74.5509, 1997, Jan Average, Puerto Rico, PRI
134.577, 1997, Feb Average, Puerto Rico, PRI
30.4514, 1997, Mar Average, Puerto Rico, PRI
13.8642, 1997, Apr Average, Puerto Rico, PRI
113.504, 1997, May Average, Puerto Rico, PRI
61.9261, 1997, Jun Average, Puerto Rico, PRI
203.007, 1997, Jul Average, Puerto Rico, PRI
255.139, 1997, Aug Average, Puerto Rico, PRI
172.297, 1997, Sep Average, Puerto Rico, PRI
161.617, 1997, Oct Average, Puerto Rico, PRI
198.519, 1997, Nov Average, Puerto Rico, PRI
35.6993, 1997, Dec Average, Puerto Rico, PRI
263.041, 1998, Jan Average, Puerto Rico, PRI
141.963, 1998, Feb Average, Puerto Rico, PRI
126.087, 1998, Mar Average, Puerto Rico, PRI
171.744, 1998, Apr Average, Puerto Rico, PRI
168.187, 1998, May Average, Puerto Rico, PRI
150.525, 1998, Jun Average, Puerto Rico, PRI
267.366, 1998, Jul Average, Puerto Rico, PRI
252.024, 1998, Aug Average, Puerto Rico, PRI
494.79, 1998, Sep Average, Puerto Rico, PRI
268.502, 1998, Oct Average, Puerto Rico, PRI
228.086, 1998, Nov Average, Puerto Rico, PRI
233.161, 1998, Dec Average, Puerto Rico, PRI
132.159, 1999, Jan Average, Puerto Rico, PRI
104.782, 1999, Feb Average, Puerto Rico, PRI
30.5725, 1999, Mar Average, Puerto Rico, PRI
95.7168, 1999, Apr Average, Puerto Rico, PRI
151.851, 1999, May Average, Puerto Rico, PRI
258.04, 1999, Jun Average, Puerto Rico, PRI
197.005, 1999, Jul Average, Puerto Rico, PRI
244.721, 1999, Aug Average, Puerto Rico, PRI
273.629, 1999, Sep Average, Puerto Rico, PRI
304.539, 1999, Oct Average, Puerto Rico, PRI
251.506, 1999, Nov Average, Puerto Rico, PRI
215.174, 1999, Dec Average, Puerto Rico, PRI
125.035, 2000, Jan Average, Puerto Rico, PRI
50.8772, 2000, Feb Average, Puerto Rico, PRI
27.8506, 2000, Mar Average, Puerto Rico, PRI
45.6448, 2000, Apr Average, Puerto Rico, PRI
178.5, 2000, May Average, Puerto Rico, PRI
127.823, 2000, Jun Average, Puerto Rico, PRI
139.248, 2000, Jul Average, Puerto Rico, PRI
345.14, 2000, Aug Average, Puerto Rico, PRI
153.035, 2000, Sep Average, Puerto Rico, PRI
149.102, 2000, Oct Average, Puerto Rico, PRI
91.827, 2000, Nov Average, Puerto Rico, PRI
91.8697, 2000, Dec Average, Puerto Rico, PRI
110.336, 2001, Jan Average, Puerto Rico, PRI
129.268, 2001, Feb Average, Puerto Rico, PRI
42.0043, 2001, Mar Average, Puerto Rico, PRI
97.8545, 2001, Apr Average, Puerto Rico, PRI
167.759, 2001, May Average, Puerto Rico, PRI
97.5572, 2001, Jun Average, Puerto Rico, PRI
135.62, 2001, Jul Average, Puerto Rico, PRI
267.387, 2001, Aug Average, Puerto Rico, PRI
147.007, 2001, Sep Average, Puerto Rico, PRI
212.038, 2001, Oct Average, Puerto Rico, PRI
129.674, 2001, Nov Average, Puerto Rico, PRI
289.28, 2001, Dec Average, Puerto Rico, PRI
131.959, 2002, Jan Average, Puerto Rico, PRI
