Rainfall - (MM), Year, Statistics, Country, ISO3
94.8504, 1991, Jan Average, Rwanda, RWA
116.383, 1991, Feb Average, Rwanda, RWA
136.422, 1991, Mar Average, Rwanda, RWA
154.266, 1991, Apr Average, Rwanda, RWA
139.986, 1991, May Average, Rwanda, RWA
55.397, 1991, Jun Average, Rwanda, RWA
19.2121, 1991, Jul Average, Rwanda, RWA
36.743, 1991, Aug Average, Rwanda, RWA
60.5441, 1991, Sep Average, Rwanda, RWA
160.875, 1991, Oct Average, Rwanda, RWA
95.3876, 1991, Nov Average, Rwanda, RWA
89.5083, 1991, Dec Average, Rwanda, RWA
61.5112, 1992, Jan Average, Rwanda, RWA
67.5401, 1992, Feb Average, Rwanda, RWA
124.492, 1992, Mar Average, Rwanda, RWA
139.108, 1992, Apr Average, Rwanda, RWA
112.163, 1992, May Average, Rwanda, RWA
61.3133, 1992, Jun Average, Rwanda, RWA
7.55567, 1992, Jul Average, Rwanda, RWA
14.4206, 1992, Aug Average, Rwanda, RWA
105.124, 1992, Sep Average, Rwanda, RWA
161.744, 1992, Oct Average, Rwanda, RWA
124.757, 1992, Nov Average, Rwanda, RWA
123.021, 1992, Dec Average, Rwanda, RWA
126.504, 1993, Jan Average, Rwanda, RWA
81.0138, 1993, Feb Average, Rwanda, RWA
142.819, 1993, Mar Average, Rwanda, RWA
129.889, 1993, Apr Average, Rwanda, RWA
160.86, 1993, May Average, Rwanda, RWA
41.5047, 1993, Jun Average, Rwanda, RWA
0.27917, 1993, Jul Average, Rwanda, RWA
61.6141, 1993, Aug Average, Rwanda, RWA
35.6773, 1993, Sep Average, Rwanda, RWA
73.5516, 1993, Oct Average, Rwanda, RWA
116.818, 1993, Nov Average, Rwanda, RWA
121.004, 1993, Dec Average, Rwanda, RWA
116.902, 1994, Jan Average, Rwanda, RWA
73.7488, 1994, Feb Average, Rwanda, RWA
175.334, 1994, Mar Average, Rwanda, RWA
159.67, 1994, Apr Average, Rwanda, RWA
128.775, 1994, May Average, Rwanda, RWA
25.3939, 1994, Jun Average, Rwanda, RWA
16.7809, 1994, Jul Average, Rwanda, RWA
47.3307, 1994, Aug Average, Rwanda, RWA
79.2356, 1994, Sep Average, Rwanda, RWA
122.544, 1994, Oct Average, Rwanda, RWA
176.581, 1994, Nov Average, Rwanda, RWA
138.85, 1994, Dec Average, Rwanda, RWA
82.308, 1995, Jan Average, Rwanda, RWA
90.6509, 1995, Feb Average, Rwanda, RWA
141.097, 1995, Mar Average, Rwanda, RWA
166.462, 1995, Apr Average, Rwanda, RWA
141.735, 1995, May Average, Rwanda, RWA
86.1155, 1995, Jun Average, Rwanda, RWA
9.03434, 1995, Jul Average, Rwanda, RWA
5.16084, 1995, Aug Average, Rwanda, RWA
84.1184, 1995, Sep Average, Rwanda, RWA
147.508, 1995, Oct Average, Rwanda, RWA
138.056, 1995, Nov Average, Rwanda, RWA
100.687, 1995, Dec Average, Rwanda, RWA
110.675, 1996, Jan Average, Rwanda, RWA
115.972, 1996, Feb Average, Rwanda, RWA
144.91, 1996, Mar Average, Rwanda, RWA
123.788, 1996, Apr Average, Rwanda, RWA
64.8222, 1996, May Average, Rwanda, RWA
50.4116, 1996, Jun Average, Rwanda, RWA
27.9148, 1996, Jul Average, Rwanda, RWA
69.2295, 1996, Aug Average, Rwanda, RWA
97.4967, 1996, Sep Average, Rwanda, RWA
105.303, 1996, Oct Average, Rwanda, RWA
140.11, 1996, Nov Average, Rwanda, RWA
101.976, 1996, Dec Average, Rwanda, RWA
183.148, 1997, Jan Average, Rwanda, RWA
16.7843, 1997, Feb Average, Rwanda, RWA
101.608, 1997, Mar Average, Rwanda, RWA
183.735, 1997, Apr Average, Rwanda, RWA
132.342, 1997, May Average, Rwanda, RWA
39.7184, 1997, Jun Average, Rwanda, RWA
16.3385, 1997, Jul Average, Rwanda, RWA
27.8513, 1997, Aug Average, Rwanda, RWA
25.3678, 1997, Sep Average, Rwanda, RWA
172.818, 1997, Oct Average, Rwanda, RWA
177.827, 1997, Nov Average, Rwanda, RWA
178.571, 1997, Dec Average, Rwanda, RWA
183.752, 1998, Jan Average, Rwanda, RWA
142.725, 1998, Feb Average, Rwanda, RWA
168.959, 1998, Mar Average, Rwanda, RWA
134.526, 1998, Apr Average, Rwanda, RWA
148.35, 1998, May Average, Rwanda, RWA
27.6736, 1998, Jun Average, Rwanda, RWA
11.4611, 1998, Jul Average, Rwanda, RWA
27.868, 1998, Aug Average, Rwanda, RWA
84.4183, 1998, Sep Average, Rwanda, RWA
