Rainfall - (MM), Year, Statistics, Country, ISO3
13.0288, 1991, Jan Average, El Salvador, SLV
2.46018, 1991, Feb Average, El Salvador, SLV
11.0363, 1991, Mar Average, El Salvador, SLV
30.0836, 1991, Apr Average, El Salvador, SLV
221.61, 1991, May Average, El Salvador, SLV
324.258, 1991, Jun Average, El Salvador, SLV
139.675, 1991, Jul Average, El Salvador, SLV
231.628, 1991, Aug Average, El Salvador, SLV
340.681, 1991, Sep Average, El Salvador, SLV
136.192, 1991, Oct Average, El Salvador, SLV
37.2603, 1991, Nov Average, El Salvador, SLV
48.7527, 1991, Dec Average, El Salvador, SLV
9.97904, 1992, Jan Average, El Salvador, SLV
5.14779, 1992, Feb Average, El Salvador, SLV
30.715, 1992, Mar Average, El Salvador, SLV
60.469, 1992, Apr Average, El Salvador, SLV
110.431, 1992, May Average, El Salvador, SLV
398.186, 1992, Jun Average, El Salvador, SLV
251.649, 1992, Jul Average, El Salvador, SLV
169.856, 1992, Aug Average, El Salvador, SLV
284.907, 1992, Sep Average, El Salvador, SLV
356.098, 1992, Oct Average, El Salvador, SLV
35.6619, 1992, Nov Average, El Salvador, SLV
30.2499, 1992, Dec Average, El Salvador, SLV
12.3544, 1993, Jan Average, El Salvador, SLV
5.71177, 1993, Feb Average, El Salvador, SLV
34.4394, 1993, Mar Average, El Salvador, SLV
63.3107, 1993, Apr Average, El Salvador, SLV
278.746, 1993, May Average, El Salvador, SLV
400.654, 1993, Jun Average, El Salvador, SLV
227.568, 1993, Jul Average, El Salvador, SLV
417.167, 1993, Aug Average, El Salvador, SLV
526.484, 1993, Sep Average, El Salvador, SLV
215.693, 1993, Oct Average, El Salvador, SLV
38.1768, 1993, Nov Average, El Salvador, SLV
18.1715, 1993, Dec Average, El Salvador, SLV
20.6788, 1994, Jan Average, El Salvador, SLV
9.52829, 1994, Feb Average, El Salvador, SLV
10.1107, 1994, Mar Average, El Salvador, SLV
30.648, 1994, Apr Average, El Salvador, SLV
183.623, 1994, May Average, El Salvador, SLV
