Rainfall - (MM), Year, Statistics, Country, ISO3
8.14374, 1991, Jan Average, Thailand, THA
6.82322, 1991, Feb Average, Thailand, THA
31.4434, 1991, Mar Average, Thailand, THA
66.912, 1991, Apr Average, Thailand, THA
174.797, 1991, May Average, Thailand, THA
176.209, 1991, Jun Average, Thailand, THA
177.473, 1991, Jul Average, Thailand, THA
316.718, 1991, Aug Average, Thailand, THA
229.578, 1991, Sep Average, Thailand, THA
139.018, 1991, Oct Average, Thailand, THA
34.2847, 1991, Nov Average, Thailand, THA
33.6062, 1991, Dec Average, Thailand, THA
20.5627, 1992, Jan Average, Thailand, THA
19.8668, 1992, Feb Average, Thailand, THA
3.8896, 1992, Mar Average, Thailand, THA
27.1538, 1992, Apr Average, Thailand, THA
107.796, 1992, May Average, Thailand, THA
184.815, 1992, Jun Average, Thailand, THA
274.544, 1992, Jul Average, Thailand, THA
258.857, 1992, Aug Average, Thailand, THA
216.436, 1992, Sep Average, Thailand, THA
167.912, 1992, Oct Average, Thailand, THA
34.73, 1992, Nov Average, Thailand, THA
30.5036, 1992, Dec Average, Thailand, THA
15.5191, 1993, Jan Average, Thailand, THA
3.71684, 1993, Feb Average, Thailand, THA
60.1457, 1993, Mar Average, Thailand, THA
77.1177, 1993, Apr Average, Thailand, THA
172.972, 1993, May Average, Thailand, THA
138.449, 1993, Jun Average, Thailand, THA
167.208, 1993, Jul Average, Thailand, THA
217.427, 1993, Aug Average, Thailand, THA
248.801, 1993, Sep Average, Thailand, THA
114.121, 1993, Oct Average, Thailand, THA
42.3128, 1993, Nov Average, Thailand, THA
41.0696, 1993, Dec Average, Thailand, THA
3.75103, 1994, Jan Average, Thailand, THA
22.3376, 1994, Feb Average, Thailand, THA
92.6479, 1994, Mar Average, Thailand, THA
72.8312, 1994, Apr Average, Thailand, THA
246.218, 1994, May Average, Thailand, THA
290.168, 1994, Jun Average, Thailand, THA
196.314, 1994, Jul Average, Thailand, THA
306.527, 1994, Aug Average, Thailand, THA
249.517, 1994, Sep Average, Thailand, THA
97.8377, 1994, Oct Average, Thailand, THA
42.8753, 1994, Nov Average, Thailand, THA
18.7235, 1994, Dec Average, Thailand, THA
10.0561, 1995, Jan Average, Thailand, THA
8.14759, 1995, Feb Average, Thailand, THA
34.7092, 1995, Mar Average, Thailand, THA
51.7345, 1995, Apr Average, Thailand, THA
181.7, 1995, May Average, Thailand, THA
194.791, 1995, Jun Average, Thailand, THA
292.024, 1995, Jul Average, Thailand, THA
356.82, 1995, Aug Average, Thailand, THA
262.753, 1995, Sep Average, Thailand, THA
136.427, 1995, Oct Average, Thailand, THA
80.6804, 1995, Nov Average, Thailand, THA
18.0215, 1995, Dec Average, Thailand, THA
9.20778, 1996, Jan Average, Thailand, THA
29.9027, 1996, Feb Average, Thailand, THA
37.7718, 1996, Mar Average, Thailand, THA
151.155, 1996, Apr Average, Thailand, THA
163.351, 1996, May Average, Thailand, THA
236.209, 1996, Jun Average, Thailand, THA
205.631, 1996, Jul Average, Thailand, THA
249.968, 1996, Aug Average, Thailand, THA
332.984, 1996, Sep Average, Thailand, THA
152.724, 1996, Oct Average, Thailand, THA
126.081, 1996, Nov Average, Thailand, THA
36.2253, 1996, Dec Average, Thailand, THA
4.4287, 1997, Jan Average, Thailand, THA
19.63, 1997, Feb Average, Thailand, THA
49.6053, 1997, Mar Average, Thailand, THA
86.3647, 1997, Apr Average, Thailand, THA
119.521, 1997, May Average, Thailand, THA
129.881, 1997, Jun Average, Thailand, THA
230.369, 1997, Jul Average, Thailand, THA
277.84, 1997, Aug Average, Thailand, THA
221.909, 1997, Sep Average, Thailand, THA
146.785, 1997, Oct Average, Thailand, THA
43.5754, 1997, Nov Average, Thailand, THA
26.3457, 1997, Dec Average, Thailand, THA
9.29395, 1998, Jan Average, Thailand, THA
21.5984, 1998, Feb Average, Thailand, THA
18.3863, 1998, Mar Average, Thailand, THA
61.6109, 1998, Apr Average, Thailand, THA
173.389, 1998, May Average, Thailand, THA
204.117, 1998, Jun Average, Thailand, THA
212.086, 1998, Jul Average, Thailand, THA
269.977, 1998, Aug Average, Thailand, THA
228.123, 1998, Sep Average, Thailand, THA
129.244, 1998, Oct Average, Thailand, THA
90.8638, 1998, Nov Average, Thailand, THA
33.6859, 1998, Dec Average, Thailand, THA
28.7568, 1999, Jan Average, Thailand, THA
23.5607, 1999, Feb Average, Thailand, THA
49.9032, 1999, Mar Average, Thailand, THA
168.182, 1999, Apr Average, Thailand, THA
275.041, 1999, May Average, Thailand, THA
183.13, 1999, Jun Average, Thailand, THA
201.736, 1999, Jul Average, Thailand, THA
230.444, 1999, Aug Average, Thailand, THA
240.589, 1999, Sep Average, Thailand, THA
202.988, 1999, Oct Average, Thailand, THA
105.123, 1999, Nov Average, Thailand, THA
29.2707, 1999, Dec Average, Thailand, THA
16.7466, 2000, Jan Average, Thailand, THA
32.1918, 2000, Feb Average, Thailand, THA
37.2956, 2000, Mar Average, Thailand, THA
182.875, 2000, Apr Average, Thailand, THA
241.8, 2000, May Average, Thailand, THA
266.666, 2000, Jun Average, Thailand, THA
203.698, 2000, Jul Average, Thailand, THA
275.557, 2000, Aug Average, Thailand, THA
233.818, 2000, Sep Average, Thailand, THA
173.374, 2000, Oct Average, Thailand, THA
38.7208, 2000, Nov Average, Thailand, THA
29.5196, 2000, Dec Average, Thailand, THA
25.7952, 2001, Jan Average, Thailand, THA
7.60711, 2001, Feb Average, Thailand, THA
102.866, 2001, Mar Average, Thailand, THA
43.6106, 2001, Apr Average, Thailand, THA
228.831, 2001, May Average, Thailand, THA
208.701, 2001, Jun Average, Thailand, THA
184.408, 2001, Jul Average, Thailand, THA
271.113, 2001, Aug Average, Thailand, THA
224.106, 2001, Sep Average, Thailand, THA
185.27, 2001, Oct Average, Thailand, THA
48.8777, 2001, Nov Average, Thailand, THA
28.7286, 2001, Dec Average, Thailand, THA
6.71981, 2002, Jan Average, Thailand, THA
5.61561, 2002, Feb Average, Thailand, THA
47.8851, 2002, Mar Average, Thailand, THA
68.9622, 2002, Apr Average, Thailand, THA
225.844, 2002, May Average, Thailand, THA
187.452, 2002, Jun Average, Thailand, THA
177.193, 2002, Jul Average, Thailand, THA
306.178, 2002, Aug Average, Thailand, THA
304.62, 2002, Sep Average, Thailand, THA
122.254, 2002, Oct Average, Thailand, THA
101.847, 2002, Nov Average, Thailand, THA
60.1573, 2002, Dec Average, Thailand, THA
9.88147, 2003, Jan Average, Thailand, THA
22.4675, 2003, Feb Average, Thailand, THA
85.8271, 2003, Mar Average, Thailand, THA
60.1355, 2003, Apr Average, Thailand, THA
152.591, 2003, May Average, Thailand, THA
237.008, 2003, Jun Average, Thailand, THA
225.411, 2003, Jul Average, Thailand, THA
236.216, 2003, Aug Average, Thailand, THA
297.102, 2003, Sep Average, Thailand, THA
113.316, 2003, Oct Average, Thailand, THA
32.449, 2003, Nov Average, Thailand, THA
24.9914, 2003, Dec Average, Thailand, THA
16.546, 2004, Jan Average, Thailand, THA
36.913, 2004, Feb Average, Thailand, THA
16.3504, 2004, Mar Average, Thailand, THA
67.901, 2004, Apr Average, Thailand, THA
200.556, 2004, May Average, Thailand, THA
258.027, 2004, Jun Average, Thailand, THA
260.187, 2004, Jul Average, Thailand, THA
207.031, 2004, Aug Average, Thailand, THA
245.957, 2004, Sep Average, Thailand, THA
54.8636, 2004, Oct Average, Thailand, THA
33.9866, 2004, Nov Average, Thailand, THA
12.7185, 2004, Dec Average, Thailand, THA
8.80001, 2005, Jan Average, Thailand, THA
3.88862, 2005, Feb Average, Thailand, THA
35.0818, 2005, Mar Average, Thailand, THA
79.1809, 2005, Apr Average, Thailand, THA
153.183, 2005, May Average, Thailand, THA
213.76, 2005, Jun Average, Thailand, THA
233.231, 2005, Jul Average, Thailand, THA
224.519, 2005, Aug Average, Thailand, THA
324.984, 2005, Sep Average, Thailand, THA
113.356, 2005, Oct Average, Thailand, THA
99.0718, 2005, Nov Average, Thailand, THA
45.3601, 2005, Dec Average, Thailand, THA
10.3906, 2006, Jan Average, Thailand, THA
24.4034, 2006, Feb Average, Thailand, THA
60.1999, 2006, Mar Average, Thailand, THA
126.371, 2006, Apr Average, Thailand, THA
222.217, 2006, May Average, Thailand, THA
206.15, 2006, Jun Average, Thailand, THA
248.963, 2006, Jul Average, Thailand, THA
257.205, 2006, Aug Average, Thailand, THA
254.808, 2006, Sep Average, Thailand, THA
198.065, 2006, Oct Average, Thailand, THA
33.9337, 2006, Nov Average, Thailand, THA
18.9152, 2006, Dec Average, Thailand, THA
16.3288, 2007, Jan Average, Thailand, THA
10.3168, 2007, Feb Average, Thailand, THA
35.9884, 2007, Mar Average, Thailand, THA
108.99, 2007, Apr Average, Thailand, THA
296.169, 2007, May Average, Thailand, THA
220.265, 2007, Jun Average, Thailand, THA
203.095, 2007, Jul Average, Thailand, THA
229.719, 2007, Aug Average, Thailand, THA
242.633, 2007, Sep Average, Thailand, THA
213.228, 2007, Oct Average, Thailand, THA
42.4893, 2007, Nov Average, Thailand, THA
15.705, 2007, Dec Average, Thailand, THA
24.4486, 2008, Jan Average, Thailand, THA
30.3624, 2008, Feb Average, Thailand, THA
41.8863, 2008, Mar Average, Thailand, THA
128.356, 2008, Apr Average, Thailand, THA
211.231, 2008, May Average, Thailand, THA
224.684, 2008, Jun Average, Thailand, THA
214.412, 2008, Jul Average, Thailand, THA
216.514, 2008, Aug Average, Thailand, THA
292.284, 2008, Sep Average, Thailand, THA
194.439, 2008, Oct Average, Thailand, THA
79.3609, 2008, Nov Average, Thailand, THA
19.9646, 2008, Dec Average, Thailand, THA
15.7452, 2009, Jan Average, Thailand, THA
5.48747, 2009, Feb Average, Thailand, THA
74.2058, 2009, Mar Average, Thailand, THA
128.261, 2009, Apr Average, Thailand, THA
238.845, 2009, May Average, Thailand, THA
202.199, 2009, Jun Average, Thailand, THA
232.113, 2009, Jul Average, Thailand, THA
254.951, 2009, Aug Average, Thailand, THA
252.746, 2009, Sep Average, Thailand, THA
139.468, 2009, Oct Average, Thailand, THA
46.831, 2009, Nov Average, Thailand, THA
17.7076, 2009, Dec Average, Thailand, THA
29.2311, 2010, Jan Average, Thailand, THA
10.9653, 2010, Feb Average, Thailand, THA
20.4095, 2010, Mar Average, Thailand, THA
52.5369, 2010, Apr Average, Thailand, THA
119, 2010, May Average, Thailand, THA
219.842, 2010, Jun Average, Thailand, THA
239.96, 2010, Jul Average, Thailand, THA
361.291, 2010, Aug Average, Thailand, THA
244.226, 2010, Sep Average, Thailand, THA
208.707, 2010, Oct Average, Thailand, THA
52.2609, 2010, Nov Average, Thailand, THA
45.9616, 2010, Dec Average, Thailand, THA
25.5171, 2011, Jan Average, Thailand, THA
15.3933, 2011, Feb Average, Thailand, THA
83.6681, 2011, Mar Average, Thailand, THA
131.079, 2011, Apr Average, Thailand, THA
230.68, 2011, May Average, Thailand, THA
246.657, 2011, Jun Average, Thailand, THA
321.761, 2011, Jul Average, Thailand, THA
338.233, 2011, Aug Average, Thailand, THA
293.902, 2011, Sep Average, Thailand, THA
198.372, 2011, Oct Average, Thailand, THA
55.2065, 2011, Nov Average, Thailand, THA
33.4942, 2011, Dec Average, Thailand, THA
42.7863, 2012, Jan Average, Thailand, THA
17.1823, 2012, Feb Average, Thailand, THA
46.7986, 2012, Mar Average, Thailand, THA
92.3103, 2012, Apr Average, Thailand, THA
199.731, 2012, May Average, Thailand, THA
152.315, 2012, Jun Average, Thailand, THA
199.172, 2012, Jul Average, Thailand, THA
197.843, 2012, Aug Average, Thailand, THA
281.395, 2012, Sep Average, Thailand, THA
130.729, 2012, Oct Average, Thailand, THA
120.985, 2012, Nov Average, Thailand, THA
28.0184, 2012, Dec Average, Thailand, THA
32.7476, 2013, Jan Average, Thailand, THA
23.0622, 2013, Feb Average, Thailand, THA
39.3806, 2013, Mar Average, Thailand, THA
72.7615, 2013, Apr Average, Thailand, THA
123.641, 2013, May Average, Thailand, THA
211.766, 2013, Jun Average, Thailand, THA
272.301, 2013, Jul Average, Thailand, THA
283.76, 2013, Aug Average, Thailand, THA
321.214, 2013, Sep Average, Thailand, THA
197.657, 2013, Oct Average, Thailand, THA
81.9873, 2013, Nov Average, Thailand, THA
