Rainfall - (MM), Year, Statistics, Country, ISO3
189.55, 1991, Jan Average, Tanzania, United Republic of, TZA
112.109, 1991, Feb Average, Tanzania, United Republic of, TZA
197.159, 1991, Mar Average, Tanzania, United Republic of, TZA
151.026, 1991, Apr Average, Tanzania, United Republic of, TZA
82.8311, 1991, May Average, Tanzania, United Republic of, TZA
9.43056, 1991, Jun Average, Tanzania, United Republic of, TZA
9.55096, 1991, Jul Average, Tanzania, United Republic of, TZA
8.17598, 1991, Aug Average, Tanzania, United Republic of, TZA
14.2885, 1991, Sep Average, Tanzania, United Republic of, TZA
43.9668, 1991, Oct Average, Tanzania, United Republic of, TZA
81.5788, 1991, Nov Average, Tanzania, United Republic of, TZA
167.593, 1991, Dec Average, Tanzania, United Republic of, TZA
90.1893, 1992, Jan Average, Tanzania, United Republic of, TZA
143.049, 1992, Feb Average, Tanzania, United Republic of, TZA
128.725, 1992, Mar Average, Tanzania, United Republic of, TZA
182.558, 1992, Apr Average, Tanzania, United Republic of, TZA
73.9676, 1992, May Average, Tanzania, United Republic of, TZA
15.1946, 1992, Jun Average, Tanzania, United Republic of, TZA
8.29667, 1992, Jul Average, Tanzania, United Republic of, TZA
4.18528, 1992, Aug Average, Tanzania, United Republic of, TZA
12.0556, 1992, Sep Average, Tanzania, United Republic of, TZA
30.2789, 1992, Oct Average, Tanzania, United Republic of, TZA
120.326, 1992, Nov Average, Tanzania, United Republic of, TZA
151.898, 1992, Dec Average, Tanzania, United Republic of, TZA
171.3, 1993, Jan Average, Tanzania, United Republic of, TZA
143.037, 1993, Feb Average, Tanzania, United Republic of, TZA
175.642, 1993, Mar Average, Tanzania, United Republic of, TZA
153.517, 1993, Apr Average, Tanzania, United Republic of, TZA
62.8034, 1993, May Average, Tanzania, United Republic of, TZA
12.8529, 1993, Jun Average, Tanzania, United Republic of, TZA
5.76061, 1993, Jul Average, Tanzania, United Republic of, TZA
8.95719, 1993, Aug Average, Tanzania, United Republic of, TZA
6.61319, 1993, Sep Average, Tanzania, United Republic of, TZA
16.9775, 1993, Oct Average, Tanzania, United Republic of, TZA
59.5686, 1993, Nov Average, Tanzania, United Republic of, TZA
51.6446, 1993, Dec Average, Tanzania, United Republic of, TZA
166.442, 1994, Jan Average, Tanzania, United Republic of, TZA
171.197, 1994, Feb Average, Tanzania, United Republic of, TZA
185.011, 1994, Mar Average, Tanzania, United Republic of, TZA
121.202, 1994, Apr Average, Tanzania, United Republic of, TZA
60.0556, 1994, May Average, Tanzania, United Republic of, TZA
7.11365, 1994, Jun Average, Tanzania, United Republic of, TZA
10.082, 1994, Jul Average, Tanzania, United Republic of, TZA
10.8051, 1994, Aug Average, Tanzania, United Republic of, TZA
8.65605, 1994, Sep Average, Tanzania, United Republic of, TZA
30.6484, 1994, Oct Average, Tanzania, United Republic of, TZA
90.0906, 1994, Nov Average, Tanzania, United Republic of, TZA
149.261, 1994, Dec Average, Tanzania, United Republic of, TZA
153.085, 1995, Jan Average, Tanzania, United Republic of, TZA
160.654, 1995, Feb Average, Tanzania, United Republic of, TZA
201.858, 1995, Mar Average, Tanzania, United Republic of, TZA
130.175, 1995, Apr Average, Tanzania, United Republic of, TZA
79.8466, 1995, May Average, Tanzania, United Republic of, TZA
6.84641, 1995, Jun Average, Tanzania, United Republic of, TZA
3.3684, 1995, Jul Average, Tanzania, United Republic of, TZA
12.0057, 1995, Aug Average, Tanzania, United Republic of, TZA
17.171, 1995, Sep Average, Tanzania, United Republic of, TZA
