Rainfall - (MM), Year, Statistics, Country, ISO3
45.7273, 1991, Jan Average, Uganda, UGA
52.7551, 1991, Feb Average, Uganda, UGA
99.9186, 1991, Mar Average, Uganda, UGA
158.393, 1991, Apr Average, Uganda, UGA
182.511, 1991, May Average, Uganda, UGA
102.293, 1991, Jun Average, Uganda, UGA
87.1223, 1991, Jul Average, Uganda, UGA
124.756, 1991, Aug Average, Uganda, UGA
89.3416, 1991, Sep Average, Uganda, UGA
159.676, 1991, Oct Average, Uganda, UGA
85.6748, 1991, Nov Average, Uganda, UGA
38.366, 1991, Dec Average, Uganda, UGA
23.4411, 1992, Jan Average, Uganda, UGA
20.8878, 1992, Feb Average, Uganda, UGA
64.9072, 1992, Mar Average, Uganda, UGA
131.07, 1992, Apr Average, Uganda, UGA
129.156, 1992, May Average, Uganda, UGA
114.032, 1992, Jun Average, Uganda, UGA
86.6126, 1992, Jul Average, Uganda, UGA
91.4742, 1992, Aug Average, Uganda, UGA
106.688, 1992, Sep Average, Uganda, UGA
165.43, 1992, Oct Average, Uganda, UGA
99.4796, 1992, Nov Average, Uganda, UGA
85.4239, 1992, Dec Average, Uganda, UGA
41.1409, 1993, Jan Average, Uganda, UGA
48.4447, 1993, Feb Average, Uganda, UGA
84.5131, 1993, Mar Average, Uganda, UGA
117.748, 1993, Apr Average, Uganda, UGA
179.67, 1993, May Average, Uganda, UGA
112.203, 1993, Jun Average, Uganda, UGA
50.6447, 1993, Jul Average, Uganda, UGA
94.5152, 1993, Aug Average, Uganda, UGA
97.8014, 1993, Sep Average, Uganda, UGA
94.9727, 1993, Oct Average, Uganda, UGA
88.7606, 1993, Nov Average, Uganda, UGA
51.7326, 1993, Dec Average, Uganda, UGA
31.2884, 1994, Jan Average, Uganda, UGA
32.8752, 1994, Feb Average, Uganda, UGA
109.718, 1994, Mar Average, Uganda, UGA
155.611, 1994, Apr Average, Uganda, UGA
173.995, 1994, May Average, Uganda, UGA
99.8422, 1994, Jun Average, Uganda, UGA
116.924, 1994, Jul Average, Uganda, UGA
130.111, 1994, Aug Average, Uganda, UGA
91.1645, 1994, Sep Average, Uganda, UGA
134.035, 1994, Oct Average, Uganda, UGA
176.384, 1994, Nov Average, Uganda, UGA
50.6187, 1994, Dec Average, Uganda, UGA
17.5988, 1995, Jan Average, Uganda, UGA
40.1322, 1995, Feb Average, Uganda, UGA
102.862, 1995, Mar Average, Uganda, UGA
173.123, 1995, Apr Average, Uganda, UGA
145.945, 1995, May Average, Uganda, UGA
91.4414, 1995, Jun Average, Uganda, UGA
103.707, 1995, Jul Average, Uganda, UGA
80.8326, 1995, Aug Average, Uganda, UGA
128.479, 1995, Sep Average, Uganda, UGA
155.598, 1995, Oct Average, Uganda, UGA
111.788, 1995, Nov Average, Uganda, UGA
60.1607, 1995, Dec Average, Uganda, UGA
87.2209, 1996, Jan Average, Uganda, UGA
70.3284, 1996, Feb Average, Uganda, UGA
131.099, 1996, Mar Average, Uganda, UGA
135.545, 1996, Apr Average, Uganda, UGA
142.062, 1996, May Average, Uganda, UGA
109.492, 1996, Jun Average, Uganda, UGA
81.4352, 1996, Jul Average, Uganda, UGA
128.428, 1996, Aug Average, Uganda, UGA
135.879, 1996, Sep Average, Uganda, UGA
131.028, 1996, Oct Average, Uganda, UGA
117.386, 1996, Nov Average, Uganda, UGA
43.2703, 1996, Dec Average, Uganda, UGA
60.461, 1997, Jan Average, Uganda, UGA
10.5366, 1997, Feb Average, Uganda, UGA
76.2916, 1997, Mar Average, Uganda, UGA
217.456, 1997, Apr Average, Uganda, UGA
