Rainfall - (MM), Year, Statistics, Country, ISO3
44.9033, 1991, Jan Average, United States, USA
34.3126, 1991, Feb Average, United States, USA
68.3717, 1991, Mar Average, United States, USA
62.5099, 1991, Apr Average, United States, USA
72.9402, 1991, May Average, United States, USA
60.8318, 1991, Jun Average, United States, USA
63.5508, 1991, Jul Average, United States, USA
60.3199, 1991, Aug Average, United States, USA
58.3996, 1991, Sep Average, United States, USA
47.8025, 1991, Oct Average, United States, USA
51.9884, 1991, Nov Average, United States, USA
56.2354, 1991, Dec Average, United States, USA
43.8486, 1992, Jan Average, United States, USA
46.8692, 1992, Feb Average, United States, USA
51.8, 1992, Mar Average, United States, USA
40.3114, 1992, Apr Average, United States, USA
47.3517, 1992, May Average, United States, USA
75.3149, 1992, Jun Average, United States, USA
83.0048, 1992, Jul Average, United States, USA
69.9358, 1992, Aug Average, United States, USA
54.2491, 1992, Sep Average, United States, USA
37.2617, 1992, Oct Average, United States, USA
69.0913, 1992, Nov Average, United States, USA
58.7605, 1992, Dec Average, United States, USA
66.8696, 1993, Jan Average, United States, USA
45.2125, 1993, Feb Average, United States, USA
55.4353, 1993, Mar Average, United States, USA
54.665, 1993, Apr Average, United States, USA
59.3179, 1993, May Average, United States, USA
77.0064, 1993, Jun Average, United States, USA
65.6151, 1993, Jul Average, United States, USA
70.842, 1993, Aug Average, United States, USA
69.7481, 1993, Sep Average, United States, USA
50.4022, 1993, Oct Average, United States, USA
49.9862, 1993, Nov Average, United States, USA
42.0945, 1993, Dec Average, United States, USA
46.2992, 1994, Jan Average, United States, USA
41.8554, 1994, Feb Average, United States, USA
51.1538, 1994, Mar Average, United States, USA
54.5606, 1994, Apr Average, United States, USA
49.9343, 1994, May Average, United States, USA
64.4703, 1994, Jun Average, United States, USA
70.023, 1994, Jul Average, United States, USA
66.6114, 1994, Aug Average, United States, USA
50.5669, 1994, Sep Average, United States, USA
59.6839, 1994, Oct Average, United States, USA
63.9721, 1994, Nov Average, United States, USA
47.4549, 1994, Dec Average, United States, USA
59.7257, 1995, Jan Average, United States, USA
32.5655, 1995, Feb Average, United States, USA
56.8964, 1995, Mar Average, United States, USA
54.6662, 1995, Apr Average, United States, USA
82.0112, 1995, May Average, United States, USA
71.0042, 1995, Jun Average, United States, USA
64.6036, 1995, Jul Average, United States, USA
63.8414, 1995, Aug Average, United States, USA
52.005, 1995, Sep Average, United States, USA
54.0717, 1995, Oct Average, United States, USA
43.7583, 1995, Nov Average, United States, USA
43.6976, 1995, Dec Average, United States, USA
54.3966, 1996, Jan Average, United States, USA
44.4721, 1996, Feb Average, United States, USA
45.2559, 1996, Mar Average, United States, USA
48.9061, 1996, Apr Average, United States, USA
65.4064, 1996, May Average, United States, USA
63.5212, 1996, Jun Average, United States, USA
70.6165, 1996, Jul Average, United States, USA
62.5555, 1996, Aug Average, United States, USA
73.165, 1996, Sep Average, United States, USA
51.7289, 1996, Oct Average, United States, USA
60.3626, 1996, Nov Average, United States, USA
60.7229, 1996, Dec Average, United States, USA
55.7516, 1997, Jan Average, United States, USA
47.9717, 1997, Feb Average, United States, USA
44.8114, 1997, Mar Average, United States, USA
54.9884, 1997, Apr Average, United States, USA
57.0649, 1997, May Average, United States, USA
71.3211, 1997, Jun Average, United States, USA
61.903, 1997, Jul Average, United States, USA
69.1187, 1997, Aug Average, United States, USA
57.7671, 1997, Sep Average, United States, USA
51.8499, 1997, Oct Average, United States, USA
48.7373, 1997, Nov Average, United States, USA
47.258, 1997, Dec Average, United States, USA
63.6038, 1998, Jan Average, United States, USA
61.215, 1998, Feb Average, United States, USA
63.2779, 1998, Mar Average, United States, USA
52.0032, 1998, Apr Average, United States, USA
