Rainfall - (MM), Year, Statistics, Country, ISO3
17.3283, 1991, Jan Average, Vietnam, VNM
15.4941, 1991, Feb Average, Vietnam, VNM
40.6623, 1991, Mar Average, Vietnam, VNM
41.1949, 1991, Apr Average, Vietnam, VNM
102.941, 1991, May Average, Vietnam, VNM
248.545, 1991, Jun Average, Vietnam, VNM
241.043, 1991, Jul Average, Vietnam, VNM
280.773, 1991, Aug Average, Vietnam, VNM
253.231, 1991, Sep Average, Vietnam, VNM
237.8, 1991, Oct Average, Vietnam, VNM
75.1868, 1991, Nov Average, Vietnam, VNM
87.4781, 1991, Dec Average, Vietnam, VNM
128.779, 1992, Jan Average, Vietnam, VNM
52.566, 1992, Feb Average, Vietnam, VNM
23.079, 1992, Mar Average, Vietnam, VNM
28.5956, 1992, Apr Average, Vietnam, VNM
129.983, 1992, May Average, Vietnam, VNM
216.286, 1992, Jun Average, Vietnam, VNM
293.034, 1992, Jul Average, Vietnam, VNM
196.205, 1992, Aug Average, Vietnam, VNM
212.163, 1992, Sep Average, Vietnam, VNM
152.689, 1992, Oct Average, Vietnam, VNM
65.799, 1992, Nov Average, Vietnam, VNM
136.875, 1992, Dec Average, Vietnam, VNM
30.7958, 1993, Jan Average, Vietnam, VNM
31.1913, 1993, Feb Average, Vietnam, VNM
33.7583, 1993, Mar Average, Vietnam, VNM
70.6259, 1993, Apr Average, Vietnam, VNM
162.469, 1993, May Average, Vietnam, VNM
195.614, 1993, Jun Average, Vietnam, VNM
186.433, 1993, Jul Average, Vietnam, VNM
261.735, 1993, Aug Average, Vietnam, VNM
234.7, 1993, Sep Average, Vietnam, VNM
151.503, 1993, Oct Average, Vietnam, VNM
92.7204, 1993, Nov Average, Vietnam, VNM
73.4124, 1993, Dec Average, Vietnam, VNM
13.5354, 1994, Jan Average, Vietnam, VNM
34.1961, 1994, Feb Average, Vietnam, VNM
56.6227, 1994, Mar Average, Vietnam, VNM
36.6623, 1994, Apr Average, Vietnam, VNM
217.339, 1994, May Average, Vietnam, VNM
255.617, 1994, Jun Average, Vietnam, VNM
398.116, 1994, Jul Average, Vietnam, VNM
311.104, 1994, Aug Average, Vietnam, VNM
324.266, 1994, Sep Average, Vietnam, VNM
191.17, 1994, Oct Average, Vietnam, VNM
116.404, 1994, Nov Average, Vietnam, VNM
113.655, 1994, Dec Average, Vietnam, VNM
25.9797, 1995, Jan Average, Vietnam, VNM
20.4642, 1995, Feb Average, Vietnam, VNM
28.4598, 1995, Mar Average, Vietnam, VNM
46.5023, 1995, Apr Average, Vietnam, VNM
135.011, 1995, May Average, Vietnam, VNM
231.235, 1995, Jun Average, Vietnam, VNM
323.281, 1995, Jul Average, Vietnam, VNM
256.438, 1995, Aug Average, Vietnam, VNM
245.946, 1995, Sep Average, Vietnam, VNM
221.142, 1995, Oct Average, Vietnam, VNM
199.006, 1995, Nov Average, Vietnam, VNM
36.0846, 1995, Dec Average, Vietnam, VNM
15.2344, 1996, Jan Average, Vietnam, VNM
16.8122, 1996, Feb Average, Vietnam, VNM
64.4866, 1996, Mar Average, Vietnam, VNM
85.2287, 1996, Apr Average, Vietnam, VNM
149.579, 1996, May Average, Vietnam, VNM
188.528, 1996, Jun Average, Vietnam, VNM
226.74, 1996, Jul Average, Vietnam, VNM
279.13, 1996, Aug Average, Vietnam, VNM
349.109, 1996, Sep Average, Vietnam, VNM
213.404, 1996, Oct Average, Vietnam, VNM
356.158, 1996, Nov Average, Vietnam, VNM
33.8738, 1996, Dec Average, Vietnam, VNM
48.4043, 1997, Jan Average, Vietnam, VNM
34.2284, 1997, Feb Average, Vietnam, VNM
69.7742, 1997, Mar Average, Vietnam, VNM
112.068, 1997, Apr Average, Vietnam, VNM
135.925, 1997, May Average, Vietnam, VNM
192.559, 1997, Jun Average, Vietnam, VNM
321.523, 1997, Jul Average, Vietnam, VNM
238.258, 1997, Aug Average, Vietnam, VNM
225.159, 1997, Sep Average, Vietnam, VNM
246.2, 1997, Oct Average, Vietnam, VNM
69.6181, 1997, Nov Average, Vietnam, VNM
81.4256, 1997, Dec Average, Vietnam, VNM
18.0177, 1998, Jan Average, Vietnam, VNM
51.1428, 1998, Feb Average, Vietnam, VNM
36.6569, 1998, Mar Average, Vietnam, VNM
70.1388, 1998, Apr Average, Vietnam, VNM
140.458, 1998, May Average, Vietnam, VNM
248.606, 1998, Jun Average, Vietnam, VNM
226.372, 1998, Jul Average, Vietnam, VNM
227.895, 1998, Aug Average, Vietnam, VNM
252.274, 1998, Sep Average, Vietnam, VNM
153.858, 1998, Oct Average, Vietnam, VNM
253.872, 1998, Nov Average, Vietnam, VNM
108.866, 1998, Dec Average, Vietnam, VNM
71.7215, 1999, Jan Average, Vietnam, VNM
15.481, 1999, Feb Average, Vietnam, VNM
42.9578, 1999, Mar Average, Vietnam, VNM
85.9477, 1999, Apr Average, Vietnam, VNM
218.331, 1999, May Average, Vietnam, VNM
206.785, 1999, Jun Average, Vietnam, VNM
263.913, 1999, Jul Average, Vietnam, VNM
264.64, 1999, Aug Average, Vietnam, VNM
231.415, 1999, Sep Average, Vietnam, VNM
265.255, 1999, Oct Average, Vietnam, VNM
349.232, 1999, Nov Average, Vietnam, VNM
94.2448, 1999, Dec Average, Vietnam, VNM
31.5956, 2000, Jan Average, Vietnam, VNM
32.44, 2000, Feb Average, Vietnam, VNM
29.0124, 2000, Mar Average, Vietnam, VNM
102.592, 2000, Apr Average, Vietnam, VNM
214.095, 2000, May Average, Vietnam, VNM
199.241, 2000, Jun Average, Vietnam, VNM
315.114, 2000, Jul Average, Vietnam, VNM
223.392, 2000, Aug Average, Vietnam, VNM
215.725, 2000, Sep Average, Vietnam, VNM
306.925, 2000, Oct Average, Vietnam, VNM
60.042, 2000, Nov Average, Vietnam, VNM
45.958, 2000, Dec Average, Vietnam, VNM
33.5455, 2001, Jan Average, Vietnam, VNM
31.8017, 2001, Feb Average, Vietnam, VNM
74.7508, 2001, Mar Average, Vietnam, VNM
48.317, 2001, Apr Average, Vietnam, VNM
205.647, 2001, May Average, Vietnam, VNM
228.12, 2001, Jun Average, Vietnam, VNM
344.213, 2001, Jul Average, Vietnam, VNM
307.455, 2001, Aug Average, Vietnam, VNM
245.221, 2001, Sep Average, Vietnam, VNM
279.515, 2001, Oct Average, Vietnam, VNM
255.731, 2001, Nov Average, Vietnam, VNM
62.0773, 2001, Dec Average, Vietnam, VNM
18.899, 2002, Jan Average, Vietnam, VNM
18.6108, 2002, Feb Average, Vietnam, VNM
58.6403, 2002, Mar Average, Vietnam, VNM
53.5634, 2002, Apr Average, Vietnam, VNM
198.157, 2002, May Average, Vietnam, VNM
238.309, 2002, Jun Average, Vietnam, VNM
319.18, 2002, Jul Average, Vietnam, VNM
285.791, 2002, Aug Average, Vietnam, VNM
265.449, 2002, Sep Average, Vietnam, VNM
192.43, 2002, Oct Average, Vietnam, VNM
130.972, 2002, Nov Average, Vietnam, VNM
246.324, 2002, Dec Average, Vietnam, VNM
32.5657, 2003, Jan Average, Vietnam, VNM
36.0192, 2003, Feb Average, Vietnam, VNM
49.8692, 2003, Mar Average, Vietnam, VNM
58.1344, 2003, Apr Average, Vietnam, VNM
153.855, 2003, May Average, Vietnam, VNM
210.807, 2003, Jun Average, Vietnam, VNM
185.677, 2003, Jul Average, Vietnam, VNM
306.421, 2003, Aug Average, Vietnam, VNM
316.178, 2003, Sep Average, Vietnam, VNM
138.487, 2003, Oct Average, Vietnam, VNM
48.656, 2003, Nov Average, Vietnam, VNM
22.1469, 2003, Dec Average, Vietnam, VNM
60.0342, 2004, Jan Average, Vietnam, VNM
44.7776, 2004, Feb Average, Vietnam, VNM
27.5052, 2004, Mar Average, Vietnam, VNM
90.9293, 2004, Apr Average, Vietnam, VNM
167.326, 2004, May Average, Vietnam, VNM
204.889, 2004, Jun Average, Vietnam, VNM
345.861, 2004, Jul Average, Vietnam, VNM
219.952, 2004, Aug Average, Vietnam, VNM
199.978, 2004, Sep Average, Vietnam, VNM
96.327, 2004, Oct Average, Vietnam, VNM
82.5628, 2004, Nov Average, Vietnam, VNM
21.2222, 2004, Dec Average, Vietnam, VNM
16.9055, 2005, Jan Average, Vietnam, VNM
13.8652, 2005, Feb Average, Vietnam, VNM
46.4996, 2005, Mar Average, Vietnam, VNM
60.6283, 2005, Apr Average, Vietnam, VNM
144.159, 2005, May Average, Vietnam, VNM
279.288, 2005, Jun Average, Vietnam, VNM
261.776, 2005, Jul Average, Vietnam, VNM
282.203, 2005, Aug Average, Vietnam, VNM
312.946, 2005, Sep Average, Vietnam, VNM
107.418, 2005, Oct Average, Vietnam, VNM
260.496, 2005, Nov Average, Vietnam, VNM
106.799, 2005, Dec Average, Vietnam, VNM
18.5591, 2006, Jan Average, Vietnam, VNM
29.2087, 2006, Feb Average, Vietnam, VNM
42.7191, 2006, Mar Average, Vietnam, VNM
95.6031, 2006, Apr Average, Vietnam, VNM
140.014, 2006, May Average, Vietnam, VNM
176.231, 2006, Jun Average, Vietnam, VNM
290.613, 2006, Jul Average, Vietnam, VNM
262.029, 2006, Aug Average, Vietnam, VNM
