Rainfall - (MM), Year, Statistics, Country, ISO3
255.54, 1991, Jan Average, Zambia, ZMB
171.737, 1991, Feb Average, Zambia, ZMB
137.039, 1991, Mar Average, Zambia, ZMB
34.6859, 1991, Apr Average, Zambia, ZMB
5.9922, 1991, May Average, Zambia, ZMB
0.008, 1991, Jun Average, Zambia, ZMB
0.07092, 1991, Jul Average, Zambia, ZMB
0.13658, 1991, Aug Average, Zambia, ZMB
3.99598, 1991, Sep Average, Zambia, ZMB
46.162, 1991, Oct Average, Zambia, ZMB
96.0394, 1991, Nov Average, Zambia, ZMB
205.416, 1991, Dec Average, Zambia, ZMB
138.918, 1992, Jan Average, Zambia, ZMB
107.347, 1992, Feb Average, Zambia, ZMB
141.27, 1992, Mar Average, Zambia, ZMB
33.0789, 1992, Apr Average, Zambia, ZMB
8.58575, 1992, May Average, Zambia, ZMB
0.03857, 1992, Jun Average, Zambia, ZMB
0.06025, 1992, Jul Average, Zambia, ZMB
0.00172, 1992, Aug Average, Zambia, ZMB
0.07918, 1992, Sep Average, Zambia, ZMB
28.6821, 1992, Oct Average, Zambia, ZMB
109.014, 1992, Nov Average, Zambia, ZMB
203.952, 1992, Dec Average, Zambia, ZMB
239.053, 1993, Jan Average, Zambia, ZMB
223.771, 1993, Feb Average, Zambia, ZMB
162.233, 1993, Mar Average, Zambia, ZMB
45.0049, 1993, Apr Average, Zambia, ZMB
0.99941, 1993, May Average, Zambia, ZMB
0.1508, 1993, Jun Average, Zambia, ZMB
0.03349, 1993, Jul Average, Zambia, ZMB
0.26374, 1993, Aug Average, Zambia, ZMB
8.89156, 1993, Sep Average, Zambia, ZMB
8.51232, 1993, Oct Average, Zambia, ZMB
140.496, 1993, Nov Average, Zambia, ZMB
135.276, 1993, Dec Average, Zambia, ZMB
230.725, 1994, Jan Average, Zambia, ZMB
201.801, 1994, Feb Average, Zambia, ZMB
63.3175, 1994, Mar Average, Zambia, ZMB
20.6713, 1994, Apr Average, Zambia, ZMB
0.38998, 1994, May Average, Zambia, ZMB
0.09355, 1994, Jun Average, Zambia, ZMB
0.04415, 1994, Jul Average, Zambia, ZMB
0.07287, 1994, Aug Average, Zambia, ZMB
4.00317, 1994, Sep Average, Zambia, ZMB
43.4974, 1994, Oct Average, Zambia, ZMB
54.5816, 1994, Nov Average, Zambia, ZMB
144.539, 1994, Dec Average, Zambia, ZMB
168.909, 1995, Jan Average, Zambia, ZMB
208.017, 1995, Feb Average, Zambia, ZMB
108.132, 1995, Mar Average, Zambia, ZMB
9.95444, 1995, Apr Average, Zambia, ZMB
1.91715, 1995, May Average, Zambia, ZMB
0.03871, 1995, Jun Average, Zambia, ZMB
0.0181, 1995, Jul Average, Zambia, ZMB
0.10535, 1995, Aug Average, Zambia, ZMB
0.48791, 1995, Sep Average, Zambia, ZMB
24.6061, 1995, Oct Average, Zambia, ZMB
78.8322, 1995, Nov Average, Zambia, ZMB
