Temperature - (Celsius), Year, Statistics, Country, ISO3
19.9731, 1991, Jan Average, Burundi, BDI
21.0837, 1991, Feb Average, Burundi, BDI
21.151, 1991, Mar Average, Burundi, BDI
20.5624, 1991, Apr Average, Burundi, BDI
20.8977, 1991, May Average, Burundi, BDI
20.1283, 1991, Jun Average, Burundi, BDI
19.3619, 1991, Jul Average, Burundi, BDI
20.2154, 1991, Aug Average, Burundi, BDI
21.1556, 1991, Sep Average, Burundi, BDI
21.405, 1991, Oct Average, Burundi, BDI
20.2942, 1991, Nov Average, Burundi, BDI
20.0071, 1991, Dec Average, Burundi, BDI
20.2539, 1992, Jan Average, Burundi, BDI
20.8592, 1992, Feb Average, Burundi, BDI
21.0974, 1992, Mar Average, Burundi, BDI
21.0802, 1992, Apr Average, Burundi, BDI
20.5242, 1992, May Average, Burundi, BDI
20.2062, 1992, Jun Average, Burundi, BDI
19.3258, 1992, Jul Average, Burundi, BDI
20.3809, 1992, Aug Average, Burundi, BDI
21.2479, 1992, Sep Average, Burundi, BDI
20.9093, 1992, Oct Average, Burundi, BDI
20.1692, 1992, Nov Average, Burundi, BDI
20.0057, 1992, Dec Average, Burundi, BDI
19.576, 1993, Jan Average, Burundi, BDI
20.257, 1993, Feb Average, Burundi, BDI
20.0684, 1993, Mar Average, Burundi, BDI
20.5546, 1993, Apr Average, Burundi, BDI
20.3593, 1993, May Average, Burundi, BDI
20.3392, 1993, Jun Average, Burundi, BDI
19.6337, 1993, Jul Average, Burundi, BDI
21.1595, 1993, Aug Average, Burundi, BDI
20.6494, 1993, Sep Average, Burundi, BDI
20.8882, 1993, Oct Average, Burundi, BDI
21.9022, 1993, Nov Average, Burundi, BDI
20.4797, 1993, Dec Average, Burundi, BDI
19.7059, 1994, Jan Average, Burundi, BDI
20.5599, 1994, Feb Average, Burundi, BDI
19.9719, 1994, Mar Average, Burundi, BDI
20.3173, 1994, Apr Average, Burundi, BDI
20.7725, 1994, May Average, Burundi, BDI
19.7768, 1994, Jun Average, Burundi, BDI
18.8897, 1994, Jul Average, Burundi, BDI
21.3217, 1994, Aug Average, Burundi, BDI
21.7972, 1994, Sep Average, Burundi, BDI
21.1478, 1994, Oct Average, Burundi, BDI
20.4856, 1994, Nov Average, Burundi, BDI
20.4496, 1994, Dec Average, Burundi, BDI
20.2045, 1995, Jan Average, Burundi, BDI
20.5319, 1995, Feb Average, Burundi, BDI
20.8972, 1995, Mar Average, Burundi, BDI
21.0402, 1995, Apr Average, Burundi, BDI
20.5798, 1995, May Average, Burundi, BDI
20.3132, 1995, Jun Average, Burundi, BDI
19.9191, 1995, Jul Average, Burundi, BDI
