Temperature - (Celsius), Year, Statistics, Country, ISO3
26.5355, 1991, Jan Average, Cote d'Ivoire, CIV
28.184, 1991, Feb Average, Cote d'Ivoire, CIV
28.3526, 1991, Mar Average, Cote d'Ivoire, CIV
27.8694, 1991, Apr Average, Cote d'Ivoire, CIV
27.0007, 1991, May Average, Cote d'Ivoire, CIV
26.4917, 1991, Jun Average, Cote d'Ivoire, CIV
25.2528, 1991, Jul Average, Cote d'Ivoire, CIV
24.7612, 1991, Aug Average, Cote d'Ivoire, CIV
25.474, 1991, Sep Average, Cote d'Ivoire, CIV
25.386, 1991, Oct Average, Cote d'Ivoire, CIV
26.1688, 1991, Nov Average, Cote d'Ivoire, CIV
25.609, 1991, Dec Average, Cote d'Ivoire, CIV
25.3698, 1992, Jan Average, Cote d'Ivoire, CIV
28.2943, 1992, Feb Average, Cote d'Ivoire, CIV
28.5413, 1992, Mar Average, Cote d'Ivoire, CIV
28.1391, 1992, Apr Average, Cote d'Ivoire, CIV
27.1301, 1992, May Average, Cote d'Ivoire, CIV
25.5206, 1992, Jun Average, Cote d'Ivoire, CIV
24.5032, 1992, Jul Average, Cote d'Ivoire, CIV
24.7259, 1992, Aug Average, Cote d'Ivoire, CIV
25.1259, 1992, Sep Average, Cote d'Ivoire, CIV
25.95, 1992, Oct Average, Cote d'Ivoire, CIV
25.7366, 1992, Nov Average, Cote d'Ivoire, CIV
26.1542, 1992, Dec Average, Cote d'Ivoire, CIV
25.4951, 1993, Jan Average, Cote d'Ivoire, CIV
27.9056, 1993, Feb Average, Cote d'Ivoire, CIV
27.728, 1993, Mar Average, Cote d'Ivoire, CIV
28.0567, 1993, Apr Average, Cote d'Ivoire, CIV
27.1092, 1993, May Average, Cote d'Ivoire, CIV
26.2126, 1993, Jun Average, Cote d'Ivoire, CIV
25.0641, 1993, Jul Average, Cote d'Ivoire, CIV
25.057, 1993, Aug Average, Cote d'Ivoire, CIV
25.3357, 1993, Sep Average, Cote d'Ivoire, CIV
26.4, 1993, Oct Average, Cote d'Ivoire, CIV
26.7973, 1993, Nov Average, Cote d'Ivoire, CIV
25.6827, 1993, Dec Average, Cote d'Ivoire, CIV
26.0418, 1994, Jan Average, Cote d'Ivoire, CIV
27.873, 1994, Feb Average, Cote d'Ivoire, CIV
28.6102, 1994, Mar Average, Cote d'Ivoire, CIV
28.2503, 1994, Apr Average, Cote d'Ivoire, CIV
27.3017, 1994, May Average, Cote d'Ivoire, CIV
26.0617, 1994, Jun Average, Cote d'Ivoire, CIV
24.7681, 1994, Jul Average, Cote d'Ivoire, CIV
24.7385, 1994, Aug Average, Cote d'Ivoire, CIV
25.3228, 1994, Sep Average, Cote d'Ivoire, CIV
25.5945, 1994, Oct Average, Cote d'Ivoire, CIV
26.3317, 1994, Nov Average, Cote d'Ivoire, CIV
25.2807, 1994, Dec Average, Cote d'Ivoire, CIV
25.4318, 1995, Jan Average, Cote d'Ivoire, CIV
28.025, 1995, Feb Average, Cote d'Ivoire, CIV
