Temperature - (Celsius), Year, Statistics, Country, ISO3
24.7131, 1991, Jan Average, Colombia, COL
25.5855, 1991, Feb Average, Colombia, COL
25.3603, 1991, Mar Average, Colombia, COL
25.0915, 1991, Apr Average, Colombia, COL
24.7832, 1991, May Average, Colombia, COL
24.4681, 1991, Jun Average, Colombia, COL
23.9097, 1991, Jul Average, Colombia, COL
23.6642, 1991, Aug Average, Colombia, COL
24.4784, 1991, Sep Average, Colombia, COL
24.3934, 1991, Oct Average, Colombia, COL
24.5051, 1991, Nov Average, Colombia, COL
24.7374, 1991, Dec Average, Colombia, COL
25.1794, 1992, Jan Average, Colombia, COL
25.6509, 1992, Feb Average, Colombia, COL
26.027, 1992, Mar Average, Colombia, COL
25.5777, 1992, Apr Average, Colombia, COL
24.7246, 1992, May Average, Colombia, COL
24.6872, 1992, Jun Average, Colombia, COL
23.8717, 1992, Jul Average, Colombia, COL
24.182, 1992, Aug Average, Colombia, COL
24.1246, 1992, Sep Average, Colombia, COL
24.4156, 1992, Oct Average, Colombia, COL
24.4161, 1992, Nov Average, Colombia, COL
24.5487, 1992, Dec Average, Colombia, COL
24.8326, 1993, Jan Average, Colombia, COL
25.0972, 1993, Feb Average, Colombia, COL
25.1397, 1993, Mar Average, Colombia, COL
24.9163, 1993, Apr Average, Colombia, COL
24.2302, 1993, May Average, Colombia, COL
24.2732, 1993, Jun Average, Colombia, COL
24.0656, 1993, Jul Average, Colombia, COL
24.3874, 1993, Aug Average, Colombia, COL
24.254, 1993, Sep Average, Colombia, COL
24.7572, 1993, Oct Average, Colombia, COL
24.5135, 1993, Nov Average, Colombia, COL
24.763, 1993, Dec Average, Colombia, COL
24.6045, 1994, Jan Average, Colombia, COL
25.1354, 1994, Feb Average, Colombia, COL
25.2079, 1994, Mar Average, Colombia, COL
24.9666, 1994, Apr Average, Colombia, COL
24.3947, 1994, May Average, Colombia, COL
24.1585, 1994, Jun Average, Colombia, COL
23.8467, 1994, Jul Average, Colombia, COL
24.1796, 1994, Aug Average, Colombia, COL
24.5818, 1994, Sep Average, Colombia, COL
24.3198, 1994, Oct Average, Colombia, COL
24.4521, 1994, Nov Average, Colombia, COL
24.4798, 1994, Dec Average, Colombia, COL
25.1208, 1995, Jan Average, Colombia, COL
25.4963, 1995, Feb Average, Colombia, COL
25.4105, 1995, Mar Average, Colombia, COL
25.2551, 1995, Apr Average, Colombia, COL
24.6618, 1995, May Average, Colombia, COL
24.4411, 1995, Jun Average, Colombia, COL
24.1561, 1995, Jul Average, Colombia, COL
23.9357, 1995, Aug Average, Colombia, COL
24.8138, 1995, Sep Average, Colombia, COL
24.4635, 1995, Oct Average, Colombia, COL
24.603, 1995, Nov Average, Colombia, COL
24.5799, 1995, Dec Average, Colombia, COL
24.5134, 1996, Jan Average, Colombia, COL
25.1635, 1996, Feb Average, Colombia, COL
25.2887, 1996, Mar Average, Colombia, COL
24.7423, 1996, Apr Average, Colombia, COL
24.2468, 1996, May Average, Colombia, COL
23.646, 1996, Jun Average, Colombia, COL
23.719, 1996, Jul Average, Colombia, COL
23.8865, 1996, Aug Average, Colombia, COL
24.2242, 1996, Sep Average, Colombia, COL
24.3235, 1996, Oct Average, Colombia, COL
24.4125, 1996, Nov Average, Colombia, COL
24.3444, 1996, Dec Average, Colombia, COL
24.5278, 1997, Jan Average, Colombia, COL
24.9529, 1997, Feb Average, Colombia, COL
24.9433, 1997, Mar Average, Colombia, COL
25.0474, 1997, Apr Average, Colombia, COL
24.7248, 1997, May Average, Colombia, COL
24.3373, 1997, Jun Average, Colombia, COL
24.4283, 1997, Jul Average, Colombia, COL
24.5959, 1997, Aug Average, Colombia, COL
24.5876, 1997, Sep Average, Colombia, COL
25.1691, 1997, Oct Average, Colombia, COL
24.9091, 1997, Nov Average, Colombia, COL
25.2881, 1997, Dec Average, Colombia, COL
26.0146, 1998, Jan Average, Colombia, COL
26.1983, 1998, Feb Average, Colombia, COL
26.3614, 1998, Mar Average, Colombia, COL
25.8331, 1998, Apr Average, Colombia, COL
25.0526, 1998, May Average, Colombia, COL
24.2159, 1998, Jun Average, Colombia, COL
24.2206, 1998, Jul Average, Colombia, COL
24.5163, 1998, Aug Average, Colombia, COL
24.6051, 1998, Sep Average, Colombia, COL
24.8128, 1998, Oct Average, Colombia, COL
24.6403, 1998, Nov Average, Colombia, COL
24.6406, 1998, Dec Average, Colombia, COL
24.7584, 1999, Jan Average, Colombia, COL
24.5166, 1999, Feb Average, Colombia, COL
24.9355, 1999, Mar Average, Colombia, COL
24.4953, 1999, Apr Average, Colombia, COL
24.2219, 1999, May Average, Colombia, COL
23.8517, 1999, Jun Average, Colombia, COL
23.6872, 1999, Jul Average, Colombia, COL
23.7933, 1999, Aug Average, Colombia, COL
