Temperature - (Celsius), Year, Statistics, Country, ISO3
24.1783, 1991, Jan Average, Costa Rica, CRI
24.4355, 1991, Feb Average, Costa Rica, CRI
25.6834, 1991, Mar Average, Costa Rica, CRI
25.8165, 1991, Apr Average, Costa Rica, CRI
25.1194, 1991, May Average, Costa Rica, CRI
25.1346, 1991, Jun Average, Costa Rica, CRI
25.1694, 1991, Jul Average, Costa Rica, CRI
24.7808, 1991, Aug Average, Costa Rica, CRI
24.7046, 1991, Sep Average, Costa Rica, CRI
24.1692, 1991, Oct Average, Costa Rica, CRI
23.6997, 1991, Nov Average, Costa Rica, CRI
23.4919, 1991, Dec Average, Costa Rica, CRI
24.0373, 1992, Jan Average, Costa Rica, CRI
24.5691, 1992, Feb Average, Costa Rica, CRI
25.6136, 1992, Mar Average, Costa Rica, CRI
26.2993, 1992, Apr Average, Costa Rica, CRI
25.8077, 1992, May Average, Costa Rica, CRI
25.0812, 1992, Jun Average, Costa Rica, CRI
24.9724, 1992, Jul Average, Costa Rica, CRI
24.9829, 1992, Aug Average, Costa Rica, CRI
24.3732, 1992, Sep Average, Costa Rica, CRI
24.5431, 1992, Oct Average, Costa Rica, CRI
23.6937, 1992, Nov Average, Costa Rica, CRI
23.7403, 1992, Dec Average, Costa Rica, CRI
23.6082, 1993, Jan Average, Costa Rica, CRI
24.2868, 1993, Feb Average, Costa Rica, CRI
25.2015, 1993, Mar Average, Costa Rica, CRI
26.1183, 1993, Apr Average, Costa Rica, CRI
25.0977, 1993, May Average, Costa Rica, CRI
25.1867, 1993, Jun Average, Costa Rica, CRI
25.4621, 1993, Jul Average, Costa Rica, CRI
25.0389, 1993, Aug Average, Costa Rica, CRI
24.0869, 1993, Sep Average, Costa Rica, CRI
24.6026, 1993, Oct Average, Costa Rica, CRI
23.9122, 1993, Nov Average, Costa Rica, CRI
24.0823, 1993, Dec Average, Costa Rica, CRI
23.9626, 1994, Jan Average, Costa Rica, CRI
24.2284, 1994, Feb Average, Costa Rica, CRI
25.5552, 1994, Mar Average, Costa Rica, CRI
25.7734, 1994, Apr Average, Costa Rica, CRI
25.8493, 1994, May Average, Costa Rica, CRI
25.063, 1994, Jun Average, Costa Rica, CRI
25.2151, 1994, Jul Average, Costa Rica, CRI
24.879, 1994, Aug Average, Costa Rica, CRI
24.8394, 1994, Sep Average, Costa Rica, CRI
24.3692, 1994, Oct Average, Costa Rica, CRI
23.5089, 1994, Nov Average, Costa Rica, CRI
24.1238, 1994, Dec Average, Costa Rica, CRI
24.6459, 1995, Jan Average, Costa Rica, CRI
24.6955, 1995, Feb Average, Costa Rica, CRI
25.8761, 1995, Mar Average, Costa Rica, CRI
25.9135, 1995, Apr Average, Costa Rica, CRI
24.9831, 1995, May Average, Costa Rica, CRI
24.6803, 1995, Jun Average, Costa Rica, CRI
24.8325, 1995, Jul Average, Costa Rica, CRI
24.3735, 1995, Aug Average, Costa Rica, CRI
24.5836, 1995, Sep Average, Costa Rica, CRI
24.4963, 1995, Oct Average, Costa Rica, CRI
23.5404, 1995, Nov Average, Costa Rica, CRI
23.376, 1995, Dec Average, Costa Rica, CRI
23.8187, 1996, Jan Average, Costa Rica, CRI
24.411, 1996, Feb Average, Costa Rica, CRI
25.0038, 1996, Mar Average, Costa Rica, CRI
25.492, 1996, Apr Average, Costa Rica, CRI
24.9612, 1996, May Average, Costa Rica, CRI
24.9071, 1996, Jun Average, Costa Rica, CRI
24.9117, 1996, Jul Average, Costa Rica, CRI
24.5914, 1996, Aug Average, Costa Rica, CRI
24.4314, 1996, Sep Average, Costa Rica, CRI
24.3394, 1996, Oct Average, Costa Rica, CRI
23.2129, 1996, Nov Average, Costa Rica, CRI
23.8206, 1996, Dec Average, Costa Rica, CRI
23.6262, 1997, Jan Average, Costa Rica, CRI
24.4344, 1997, Feb Average, Costa Rica, CRI
25.3597, 1997, Mar Average, Costa Rica, CRI
25.9983, 1997, Apr Average, Costa Rica, CRI
26.0109, 1997, May Average, Costa Rica, CRI
24.9545, 1997, Jun Average, Costa Rica, CRI
26.0143, 1997, Jul Average, Costa Rica, CRI
25.9761, 1997, Aug Average, Costa Rica, CRI
25.0821, 1997, Sep Average, Costa Rica, CRI
25.3047, 1997, Oct Average, Costa Rica, CRI
24.0824, 1997, Nov Average, Costa Rica, CRI
24.2769, 1997, Dec Average, Costa Rica, CRI
24.9515, 1998, Jan Average, Costa Rica, CRI
25.5642, 1998, Feb Average, Costa Rica, CRI
26.427, 1998, Mar Average, Costa Rica, CRI
26.9556, 1998, Apr Average, Costa Rica, CRI
26.0114, 1998, May Average, Costa Rica, CRI
25.6443, 1998, Jun Average, Costa Rica, CRI
25.2197, 1998, Jul Average, Costa Rica, CRI
25.1803, 1998, Aug Average, Costa Rica, CRI
24.6644, 1998, Sep Average, Costa Rica, CRI
24.4567, 1998, Oct Average, Costa Rica, CRI
23.8338, 1998, Nov Average, Costa Rica, CRI
23.1346, 1998, Dec Average, Costa Rica, CRI
23.8511, 1999, Jan Average, Costa Rica, CRI
24.0641, 1999, Feb Average, Costa Rica, CRI
25.1192, 1999, Mar Average, Costa Rica, CRI
25.5002, 1999, Apr Average, Costa Rica, CRI
25.0848, 1999, May Average, Costa Rica, CRI
24.4903, 1999, Jun Average, Costa Rica, CRI
24.7775, 1999, Jul Average, Costa Rica, CRI
24.3597, 1999, Aug Average, Costa Rica, CRI
23.8333, 1999, Sep Average, Costa Rica, CRI
23.7251, 1999, Oct Average, Costa Rica, CRI
23.3334, 1999, Nov Average, Costa Rica, CRI
23.1138, 1999, Dec Average, Costa Rica, CRI
23.4657, 2000, Jan Average, Costa Rica, CRI
23.815, 2000, Feb Average, Costa Rica, CRI
25.0479, 2000, Mar Average, Costa Rica, CRI
25.6593, 2000, Apr Average, Costa Rica, CRI
25.2451, 2000, May Average, Costa Rica, CRI
24.6066, 2000, Jun Average, Costa Rica, CRI
24.8124, 2000, Jul Average, Costa Rica, CRI
