Temperature - (Celsius), Year, Statistics, Country, ISO3
21.8322, 1991, Jan Average, Ecuador, ECU
22.4765, 1991, Feb Average, Ecuador, ECU
22.5503, 1991, Mar Average, Ecuador, ECU
22.4738, 1991, Apr Average, Ecuador, ECU
22.4042, 1991, May Average, Ecuador, ECU
21.8606, 1991, Jun Average, Ecuador, ECU
20.9286, 1991, Jul Average, Ecuador, ECU
20.5462, 1991, Aug Average, Ecuador, ECU
21.1535, 1991, Sep Average, Ecuador, ECU
21.6101, 1991, Oct Average, Ecuador, ECU
21.8159, 1991, Nov Average, Ecuador, ECU
22.1881, 1991, Dec Average, Ecuador, ECU
22.5189, 1992, Jan Average, Ecuador, ECU
22.3385, 1992, Feb Average, Ecuador, ECU
22.7172, 1992, Mar Average, Ecuador, ECU
22.9955, 1992, Apr Average, Ecuador, ECU
22.705, 1992, May Average, Ecuador, ECU
21.7565, 1992, Jun Average, Ecuador, ECU
20.3797, 1992, Jul Average, Ecuador, ECU
20.8996, 1992, Aug Average, Ecuador, ECU
20.9625, 1992, Sep Average, Ecuador, ECU
21.502, 1992, Oct Average, Ecuador, ECU
21.4684, 1992, Nov Average, Ecuador, ECU
21.5768, 1992, Dec Average, Ecuador, ECU
21.8678, 1993, Jan Average, Ecuador, ECU
21.656, 1993, Feb Average, Ecuador, ECU
21.9242, 1993, Mar Average, Ecuador, ECU
22.2668, 1993, Apr Average, Ecuador, ECU
22.1809, 1993, May Average, Ecuador, ECU
21.8229, 1993, Jun Average, Ecuador, ECU
21.214, 1993, Jul Average, Ecuador, ECU
21.2771, 1993, Aug Average, Ecuador, ECU
21.5016, 1993, Sep Average, Ecuador, ECU
21.6005, 1993, Oct Average, Ecuador, ECU
21.3308, 1993, Nov Average, Ecuador, ECU
21.7585, 1993, Dec Average, Ecuador, ECU
21.4802, 1994, Jan Average, Ecuador, ECU
21.8312, 1994, Feb Average, Ecuador, ECU
21.7887, 1994, Mar Average, Ecuador, ECU
21.9561, 1994, Apr Average, Ecuador, ECU
21.8859, 1994, May Average, Ecuador, ECU
21.1011, 1994, Jun Average, Ecuador, ECU
20.7115, 1994, Jul Average, Ecuador, ECU
20.6468, 1994, Aug Average, Ecuador, ECU
21.4144, 1994, Sep Average, Ecuador, ECU
21.9094, 1994, Oct Average, Ecuador, ECU
21.8333, 1994, Nov Average, Ecuador, ECU
22.0008, 1994, Dec Average, Ecuador, ECU
22.3022, 1995, Jan Average, Ecuador, ECU
22.2021, 1995, Feb Average, Ecuador, ECU
22.1537, 1995, Mar Average, Ecuador, ECU
22.3195, 1995, Apr Average, Ecuador, ECU
22.1368, 1995, May Average, Ecuador, ECU
21.8442, 1995, Jun Average, Ecuador, ECU
21.3206, 1995, Jul Average, Ecuador, ECU
21.3833, 1995, Aug Average, Ecuador, ECU
21.9528, 1995, Sep Average, Ecuador, ECU
22.0336, 1995, Oct Average, Ecuador, ECU
21.8429, 1995, Nov Average, Ecuador, ECU
21.572, 1995, Dec Average, Ecuador, ECU
21.3164, 1996, Jan Average, Ecuador, ECU
21.7695, 1996, Feb Average, Ecuador, ECU
22.2229, 1996, Mar Average, Ecuador, ECU
21.6749, 1996, Apr Average, Ecuador, ECU
21.6544, 1996, May Average, Ecuador, ECU
20.5741, 1996, Jun Average, Ecuador, ECU
20.3165, 1996, Jul Average, Ecuador, ECU
21.0719, 1996, Aug Average, Ecuador, ECU
21.2211, 1996, Sep Average, Ecuador, ECU
20.9021, 1996, Oct Average, Ecuador, ECU
21.764, 1996, Nov Average, Ecuador, ECU
21.6631, 1996, Dec Average, Ecuador, ECU
21.526, 1997, Jan Average, Ecuador, ECU
21.9159, 1997, Feb Average, Ecuador, ECU
22.2305, 1997, Mar Average, Ecuador, ECU
22.8094, 1997, Apr Average, Ecuador, ECU
23.002, 1997, May Average, Ecuador, ECU
22.677, 1997, Jun Average, Ecuador, ECU
22.3533, 1997, Jul Average, Ecuador, ECU
21.9135, 1997, Aug Average, Ecuador, ECU
22.1622, 1997, Sep Average, Ecuador, ECU
22.5926, 1997, Oct Average, Ecuador, ECU
22.5766, 1997, Nov Average, Ecuador, ECU
23.0047, 1997, Dec Average, Ecuador, ECU
