Temperature - (Celsius), Year, Statistics, Country, ISO3
22.4572, 1991, Jan Average, Honduras, HND
22.453, 1991, Feb Average, Honduras, HND
23.7996, 1991, Mar Average, Honduras, HND
25.0102, 1991, Apr Average, Honduras, HND
25.1107, 1991, May Average, Honduras, HND
25.1969, 1991, Jun Average, Honduras, HND
24.5981, 1991, Jul Average, Honduras, HND
24.4846, 1991, Aug Average, Honduras, HND
24.3358, 1991, Sep Average, Honduras, HND
23.8548, 1991, Oct Average, Honduras, HND
22.2387, 1991, Nov Average, Honduras, HND
22.1057, 1991, Dec Average, Honduras, HND
21.8219, 1992, Jan Average, Honduras, HND
22.2576, 1992, Feb Average, Honduras, HND
24.1103, 1992, Mar Average, Honduras, HND
24.8579, 1992, Apr Average, Honduras, HND
25.164, 1992, May Average, Honduras, HND
25.3074, 1992, Jun Average, Honduras, HND
24.5453, 1992, Jul Average, Honduras, HND
24.693, 1992, Aug Average, Honduras, HND
23.9631, 1992, Sep Average, Honduras, HND
23.9737, 1992, Oct Average, Honduras, HND
23.3778, 1992, Nov Average, Honduras, HND
22.7912, 1992, Dec Average, Honduras, HND
22.1591, 1993, Jan Average, Honduras, HND
22.2425, 1993, Feb Average, Honduras, HND
23.2616, 1993, Mar Average, Honduras, HND
24.7907, 1993, Apr Average, Honduras, HND
24.6873, 1993, May Average, Honduras, HND
25.1993, 1993, Jun Average, Honduras, HND
24.413, 1993, Jul Average, Honduras, HND
24.2251, 1993, Aug Average, Honduras, HND
23.9481, 1993, Sep Average, Honduras, HND
24.5112, 1993, Oct Average, Honduras, HND
22.9906, 1993, Nov Average, Honduras, HND
22.075, 1993, Dec Average, Honduras, HND
21.8314, 1994, Jan Average, Honduras, HND
22.673, 1994, Feb Average, Honduras, HND
23.9786, 1994, Mar Average, Honduras, HND
24.8876, 1994, Apr Average, Honduras, HND
25.2632, 1994, May Average, Honduras, HND
25.1763, 1994, Jun Average, Honduras, HND
24.4532, 1994, Jul Average, Honduras, HND
24.7949, 1994, Aug Average, Honduras, HND
24.6593, 1994, Sep Average, Honduras, HND
24.0254, 1994, Oct Average, Honduras, HND
22.8889, 1994, Nov Average, Honduras, HND
22.3592, 1994, Dec Average, Honduras, HND
22.1544, 1995, Jan Average, Honduras, HND
22.5021, 1995, Feb Average, Honduras, HND
23.8924, 1995, Mar Average, Honduras, HND
25.0278, 1995, Apr Average, Honduras, HND
25.337, 1995, May Average, Honduras, HND
25.1969, 1995, Jun Average, Honduras, HND
24.2472, 1995, Jul Average, Honduras, HND
24.3795, 1995, Aug Average, Honduras, HND
24.2866, 1995, Sep Average, Honduras, HND
23.868, 1995, Oct Average, Honduras, HND
22.8214, 1995, Nov Average, Honduras, HND
22.334, 1995, Dec Average, Honduras, HND
21.0278, 1996, Jan Average, Honduras, HND
21.9556, 1996, Feb Average, Honduras, HND
22.6811, 1996, Mar Average, Honduras, HND
24.5301, 1996, Apr Average, Honduras, HND
24.9947, 1996, May Average, Honduras, HND
24.7726, 1996, Jun Average, Honduras, HND
24.3748, 1996, Jul Average, Honduras, HND
23.927, 1996, Aug Average, Honduras, HND
24.75, 1996, Sep Average, Honduras, HND
24.2099, 1996, Oct Average, Honduras, HND
22.204, 1996, Nov Average, Honduras, HND
22.222, 1996, Dec Average, Honduras, HND
21.763, 1997, Jan Average, Honduras, HND
22.7155, 1997, Feb Average, Honduras, HND
24.2509, 1997, Mar Average, Honduras, HND
24.9325, 1997, Apr Average, Honduras, HND
25.5938, 1997, May Average, Honduras, HND
25.0271, 1997, Jun Average, Honduras, HND
24.7562, 1997, Jul Average, Honduras, HND
25.1622, 1997, Aug Average, Honduras, HND
24.7214, 1997, Sep Average, Honduras, HND
24.3242, 1997, Oct Average, Honduras, HND
23.2212, 1997, Nov Average, Honduras, HND
22.5558, 1997, Dec Average, Honduras, HND
22.3998, 1998, Jan Average, Honduras, HND
23.127, 1998, Feb Average, Honduras, HND
24.1986, 1998, Mar Average, Honduras, HND
25.3884, 1998, Apr Average, Honduras, HND
25.7619, 1998, May Average, Honduras, HND
25.5569, 1998, Jun Average, Honduras, HND
24.4609, 1998, Jul Average, Honduras, HND
24.9226, 1998, Aug Average, Honduras, HND
24.6602, 1998, Sep Average, Honduras, HND
24.3397, 1998, Oct Average, Honduras, HND
22.9998, 1998, Nov Average, Honduras, HND
22.0217, 1998, Dec Average, Honduras, HND
21.7167, 1999, Jan Average, Honduras, HND
21.8903, 1999, Feb Average, Honduras, HND
23.275, 1999, Mar Average, Honduras, HND
24.4712, 1999, Apr Average, Honduras, HND
25.3733, 1999, May Average, Honduras, HND
24.6433, 1999, Jun Average, Honduras, HND
24.1589, 1999, Jul Average, Honduras, HND
24.2864, 1999, Aug Average, Honduras, HND
24.0027, 1999, Sep Average, Honduras, HND
23.4507, 1999, Oct Average, Honduras, HND
21.7927, 1999, Nov Average, Honduras, HND
21.4626, 1999, Dec Average, Honduras, HND
21.3222, 2000, Jan Average, Honduras, HND
21.9239, 2000, Feb Average, Honduras, HND
23.5531, 2000, Mar Average, Honduras, HND
24.5695, 2000, Apr Average, Honduras, HND
25.022, 2000, May Average, Honduras, HND
24.4994, 2000, Jun Average, Honduras, HND
24.3513, 2000, Jul Average, Honduras, HND
24.4209, 2000, Aug Average, Honduras, HND
24.433, 2000, Sep Average, Honduras, HND
23.8694, 2000, Oct Average, Honduras, HND
23.2327, 2000, Nov Average, Honduras, HND
22.1382, 2000, Dec Average, Honduras, HND
21.474, 2001, Jan Average, Honduras, HND
23.2132, 2001, Feb Average, Honduras, HND
23.5678, 2001, Mar Average, Honduras, HND
25.0338, 2001, Apr Average, Honduras, HND
25.1583, 2001, May Average, Honduras, HND
25.2966, 2001, Jun Average, Honduras, HND
24.9017, 2001, Jul Average, Honduras, HND
25.2215, 2001, Aug Average, Honduras, HND
24.4206, 2001, Sep Average, Honduras, HND
24.483, 2001, Oct Average, Honduras, HND
22.8521, 2001, Nov Average, Honduras, HND
22.8676, 2001, Dec Average, Honduras, HND
22.3266, 2002, Jan Average, Honduras, HND
22.5345, 2002, Feb Average, Honduras, HND
24.0952, 2002, Mar Average, Honduras, HND
25.0924, 2002, Apr Average, Honduras, HND
25.6472, 2002, May Average, Honduras, HND
25.388, 2002, Jun Average, Honduras, HND
24.987, 2002, Jul Average, Honduras, HND
24.9026, 2002, Aug Average, Honduras, HND
24.8111, 2002, Sep Average, Honduras, HND
24.4031, 2002, Oct Average, Honduras, HND
23.0984, 2002, Nov Average, Honduras, HND
22.9316, 2002, Dec Average, Honduras, HND
21.5052, 2003, Jan Average, Honduras, HND
23.7362, 2003, Feb Average, Honduras, HND
24.843, 2003, Mar Average, Honduras, HND
24.9929, 2003, Apr Average, Honduras, HND
26.0852, 2003, May Average, Honduras, HND
25.528, 2003, Jun Average, Honduras, HND
24.5559, 2003, Jul Average, Honduras, HND
24.9596, 2003, Aug Average, Honduras, HND
25.1584, 2003, Sep Average, Honduras, HND
24.4834, 2003, Oct Average, Honduras, HND
23.1798, 2003, Nov Average, Honduras, HND
21.5268, 2003, Dec Average, Honduras, HND
22.2192, 2004, Jan Average, Honduras, HND
22.9739, 2004, Feb Average, Honduras, HND
24.1773, 2004, Mar Average, Honduras, HND
24.9983, 2004, Apr Average, Honduras, HND
25.2207, 2004, May Average, Honduras, HND
25.1949, 2004, Jun Average, Honduras, HND
24.5248, 2004, Jul Average, Honduras, HND
24.948, 2004, Aug Average, Honduras, HND
24.7899, 2004, Sep Average, Honduras, HND
24.8957, 2004, Oct Average, Honduras, HND
23.1733, 2004, Nov Average, Honduras, HND
22.4314, 2004, Dec Average, Honduras, HND
21.869, 2005, Jan Average, Honduras, HND
22.3867, 2005, Feb Average, Honduras, HND
24.7228, 2005, Mar Average, Honduras, HND
25.2508, 2005, Apr Average, Honduras, HND
25.751, 2005, May Average, Honduras, HND
25.1409, 2005, Jun Average, Honduras, HND
24.9931, 2005, Jul Average, Honduras, HND
25.1159, 2005, Aug Average, Honduras, HND
25.0658, 2005, Sep Average, Honduras, HND
23.8193, 2005, Oct Average, Honduras, HND
22.5838, 2005, Nov Average, Honduras, HND
22.7032, 2005, Dec Average, Honduras, HND
22.2674, 2006, Jan Average, Honduras, HND
22.2238, 2006, Feb Average, Honduras, HND
23.9589, 2006, Mar Average, Honduras, HND
25.0532, 2006, Apr Average, Honduras, HND
25.3389, 2006, May Average, Honduras, HND
24.7809, 2006, Jun Average, Honduras, HND
24.6554, 2006, Jul Average, Honduras, HND
25.0632, 2006, Aug Average, Honduras, HND
25.1618, 2006, Sep Average, Honduras, HND
24.7948, 2006, Oct Average, Honduras, HND
22.7616, 2006, Nov Average, Honduras, HND
22.8346, 2006, Dec Average, Honduras, HND
22.4512, 2007, Jan Average, Honduras, HND
22.7183, 2007, Feb Average, Honduras, HND
23.6976, 2007, Mar Average, Honduras, HND
25.1132, 2007, Apr Average, Honduras, HND
25.4232, 2007, May Average, Honduras, HND
25.1112, 2007, Jun Average, Honduras, HND
24.8514, 2007, Jul Average, Honduras, HND
24.6833, 2007, Aug Average, Honduras, HND
24.4854, 2007, Sep Average, Honduras, HND
23.6803, 2007, Oct Average, Honduras, HND
22.2889, 2007, Nov Average, Honduras, HND
22.3137, 2007, Dec Average, Honduras, HND
22.1003, 2008, Jan Average, Honduras, HND
23.0335, 2008, Feb Average, Honduras, HND
24.175, 2008, Mar Average, Honduras, HND
25.2289, 2008, Apr Average, Honduras, HND
26.1852, 2008, May Average, Honduras, HND
25.1162, 2008, Jun Average, Honduras, HND
24.6106, 2008, Jul Average, Honduras, HND
24.7708, 2008, Aug Average, Honduras, HND
25.331, 2008, Sep Average, Honduras, HND
23.7338, 2008, Oct Average, Honduras, HND
22.2699, 2008, Nov Average, Honduras, HND
22.5745, 2008, Dec Average, Honduras, HND
22.3859, 2009, Jan Average, Honduras, HND
22.6128, 2009, Feb Average, Honduras, HND
23.4481, 2009, Mar Average, Honduras, HND
25.6864, 2009, Apr Average, Honduras, HND
25.9289, 2009, May Average, Honduras, HND
25.3243, 2009, Jun Average, Honduras, HND
25.3798, 2009, Jul Average, Honduras, HND
24.8108, 2009, Aug Average, Honduras, HND
25.3244, 2009, Sep Average, Honduras, HND
24.7565, 2009, Oct Average, Honduras, HND
23.2877, 2009, Nov Average, Honduras, HND
23.7617, 2009, Dec Average, Honduras, HND
22.2266, 2010, Jan Average, Honduras, HND
22.7592, 2010, Feb Average, Honduras, HND
