Temperature - (Celsius), Year, Statistics, Country, ISO3
23.3157, 1991, Jan Average, Haiti, HTI
23.485, 1991, Feb Average, Haiti, HTI
24.0286, 1991, Mar Average, Haiti, HTI
24.7976, 1991, Apr Average, Haiti, HTI
25.4231, 1991, May Average, Haiti, HTI
26.1235, 1991, Jun Average, Haiti, HTI
26.7506, 1991, Jul Average, Haiti, HTI
26.3526, 1991, Aug Average, Haiti, HTI
26.1518, 1991, Sep Average, Haiti, HTI
25.924, 1991, Oct Average, Haiti, HTI
24.5597, 1991, Nov Average, Haiti, HTI
23.2447, 1991, Dec Average, Haiti, HTI
23.1234, 1992, Jan Average, Haiti, HTI
23.6805, 1992, Feb Average, Haiti, HTI
24.4709, 1992, Mar Average, Haiti, HTI
25.1729, 1992, Apr Average, Haiti, HTI
24.9083, 1992, May Average, Haiti, HTI
26.4836, 1992, Jun Average, Haiti, HTI
26.4433, 1992, Jul Average, Haiti, HTI
26.7163, 1992, Aug Average, Haiti, HTI
26.2173, 1992, Sep Average, Haiti, HTI
25.7644, 1992, Oct Average, Haiti, HTI
24.9723, 1992, Nov Average, Haiti, HTI
23.8269, 1992, Dec Average, Haiti, HTI
23.4254, 1993, Jan Average, Haiti, HTI
23.3161, 1993, Feb Average, Haiti, HTI
23.6226, 1993, Mar Average, Haiti, HTI
24.7637, 1993, Apr Average, Haiti, HTI
25.4052, 1993, May Average, Haiti, HTI
26.2418, 1993, Jun Average, Haiti, HTI
26.2693, 1993, Jul Average, Haiti, HTI
26.457, 1993, Aug Average, Haiti, HTI
26.1083, 1993, Sep Average, Haiti, HTI
26.2049, 1993, Oct Average, Haiti, HTI
24.8253, 1993, Nov Average, Haiti, HTI
23.7509, 1993, Dec Average, Haiti, HTI
23.2541, 1994, Jan Average, Haiti, HTI
23.6321, 1994, Feb Average, Haiti, HTI
24.3856, 1994, Mar Average, Haiti, HTI
25.0911, 1994, Apr Average, Haiti, HTI
25.9164, 1994, May Average, Haiti, HTI
26.7675, 1994, Jun Average, Haiti, HTI
26.4865, 1994, Jul Average, Haiti, HTI
26.7487, 1994, Aug Average, Haiti, HTI
26.7439, 1994, Sep Average, Haiti, HTI
26.039, 1994, Oct Average, Haiti, HTI
25.3593, 1994, Nov Average, Haiti, HTI
23.9134, 1994, Dec Average, Haiti, HTI
23.1038, 1995, Jan Average, Haiti, HTI
23.7531, 1995, Feb Average, Haiti, HTI
23.7638, 1995, Mar Average, Haiti, HTI
25.2142, 1995, Apr Average, Haiti, HTI
26.0861, 1995, May Average, Haiti, HTI
26.7065, 1995, Jun Average, Haiti, HTI
26.7428, 1995, Jul Average, Haiti, HTI
26.4882, 1995, Aug Average, Haiti, HTI
26.6961, 1995, Sep Average, Haiti, HTI
25.4944, 1995, Oct Average, Haiti, HTI
24.794, 1995, Nov Average, Haiti, HTI
23.6593, 1995, Dec Average, Haiti, HTI
23.0098, 1996, Jan Average, Haiti, HTI
22.9212, 1996, Feb Average, Haiti, HTI
23.6205, 1996, Mar Average, Haiti, HTI
24.6996, 1996, Apr Average, Haiti, HTI
25.5831, 1996, May Average, Haiti, HTI
26.2323, 1996, Jun Average, Haiti, HTI
26.2599, 1996, Jul Average, Haiti, HTI
25.9796, 1996, Aug Average, Haiti, HTI
26.4652, 1996, Sep Average, Haiti, HTI
25.8097, 1996, Oct Average, Haiti, HTI
24.4069, 1996, Nov Average, Haiti, HTI
22.789, 1996, Dec Average, Haiti, HTI
22.687, 1997, Jan Average, Haiti, HTI
23.412, 1997, Feb Average, Haiti, HTI
24.0769, 1997, Mar Average, Haiti, HTI
24.7951, 1997, Apr Average, Haiti, HTI
26.2739, 1997, May Average, Haiti, HTI
26.8265, 1997, Jun Average, Haiti, HTI
26.777, 1997, Jul Average, Haiti, HTI
26.7874, 1997, Aug Average, Haiti, HTI
26.6973, 1997, Sep Average, Haiti, HTI
25.8468, 1997, Oct Average, Haiti, HTI
25.3281, 1997, Nov Average, Haiti, HTI
24.8252, 1997, Dec Average, Haiti, HTI
23.8631, 1998, Jan Average, Haiti, HTI
23.5524, 1998, Feb Average, Haiti, HTI
24.0884, 1998, Mar Average, Haiti, HTI
24.7852, 1998, Apr Average, Haiti, HTI
25.6081, 1998, May Average, Haiti, HTI
26.9579, 1998, Jun Average, Haiti, HTI
27.051, 1998, Jul Average, Haiti, HTI
26.9083, 1998, Aug Average, Haiti, HTI
26.5308, 1998, Sep Average, Haiti, HTI
26.2432, 1998, Oct Average, Haiti, HTI
25.1959, 1998, Nov Average, Haiti, HTI
24.2659, 1998, Dec Average, Haiti, HTI
23.3081, 1999, Jan Average, Haiti, HTI
22.4841, 1999, Feb Average, Haiti, HTI
24.0334, 1999, Mar Average, Haiti, HTI
24.7145, 1999, Apr Average, Haiti, HTI
25.8796, 1999, May Average, Haiti, HTI
26.3466, 1999, Jun Average, Haiti, HTI
26.3325, 1999, Jul Average, Haiti, HTI
27.0078, 1999, Aug Average, Haiti, HTI
26.3067, 1999, Sep Average, Haiti, HTI
25.8972, 1999, Oct Average, Haiti, HTI
24.4717, 1999, Nov Average, Haiti, HTI
22.9534, 1999, Dec Average, Haiti, HTI
22.3967, 2000, Jan Average, Haiti, HTI
22.7773, 2000, Feb Average, Haiti, HTI
23.5455, 2000, Mar Average, Haiti, HTI
24.9738, 2000, Apr Average, Haiti, HTI
25.5788, 2000, May Average, Haiti, HTI
26.2413, 2000, Jun Average, Haiti, HTI
26.8807, 2000, Jul Average, Haiti, HTI
26.8477, 2000, Aug Average, Haiti, HTI
26.5054, 2000, Sep Average, Haiti, HTI
25.6969, 2000, Oct Average, Haiti, HTI
25.0801, 2000, Nov Average, Haiti, HTI
23.4272, 2000, Dec Average, Haiti, HTI
22.622, 2001, Jan Average, Haiti, HTI
23.6069, 2001, Feb Average, Haiti, HTI
24.1743, 2001, Mar Average, Haiti, HTI
24.8272, 2001, Apr Average, Haiti, HTI
25.5868, 2001, May Average, Haiti, HTI
26.3779, 2001, Jun Average, Haiti, HTI
26.5827, 2001, Jul Average, Haiti, HTI
27.1684, 2001, Aug Average, Haiti, HTI
26.9699, 2001, Sep Average, Haiti, HTI
25.9393, 2001, Oct Average, Haiti, HTI
24.6045, 2001, Nov Average, Haiti, HTI
24.0723, 2001, Dec Average, Haiti, HTI
23.5719, 2002, Jan Average, Haiti, HTI
23.4783, 2002, Feb Average, Haiti, HTI
24.4361, 2002, Mar Average, Haiti, HTI
24.7852, 2002, Apr Average, Haiti, HTI
25.5653, 2002, May Average, Haiti, HTI
26.2047, 2002, Jun Average, Haiti, HTI
26.6872, 2002, Jul Average, Haiti, HTI
27.0902, 2002, Aug Average, Haiti, HTI
26.3306, 2002, Sep Average, Haiti, HTI
26.1689, 2002, Oct Average, Haiti, HTI
25.8467, 2002, Nov Average, Haiti, HTI
24.3855, 2002, Dec Average, Haiti, HTI
23.4231, 2003, Jan Average, Haiti, HTI
24.0018, 2003, Feb Average, Haiti, HTI
24.7815, 2003, Mar Average, Haiti, HTI
25.0863, 2003, Apr Average, Haiti, HTI
26.1237, 2003, May Average, Haiti, HTI
26.6172, 2003, Jun Average, Haiti, HTI
26.5683, 2003, Jul Average, Haiti, HTI
26.6991, 2003, Aug Average, Haiti, HTI
26.7237, 2003, Sep Average, Haiti, HTI
26.4247, 2003, Oct Average, Haiti, HTI
25.0125, 2003, Nov Average, Haiti, HTI
23.9514, 2003, Dec Average, Haiti, HTI
23.1434, 2004, Jan Average, Haiti, HTI
23.8863, 2004, Feb Average, Haiti, HTI
24.119, 2004, Mar Average, Haiti, HTI
24.7169, 2004, Apr Average, Haiti, HTI
25.328, 2004, May Average, Haiti, HTI
26.6515, 2004, Jun Average, Haiti, HTI
26.531, 2004, Jul Average, Haiti, HTI
27.0027, 2004, Aug Average, Haiti, HTI
26.4353, 2004, Sep Average, Haiti, HTI
26.0293, 2004, Oct Average, Haiti, HTI
24.6576, 2004, Nov Average, Haiti, HTI
23.6917, 2004, Dec Average, Haiti, HTI
22.6908, 2005, Jan Average, Haiti, HTI
22.5816, 2005, Feb Average, Haiti, HTI
24.8765, 2005, Mar Average, Haiti, HTI
25.2955, 2005, Apr Average, Haiti, HTI
25.7929, 2005, May Average, Haiti, HTI
26.43, 2005, Jun Average, Haiti, HTI
26.7861, 2005, Jul Average, Haiti, HTI
27.1291, 2005, Aug Average, Haiti, HTI
27.1668, 2005, Sep Average, Haiti, HTI
25.5565, 2005, Oct Average, Haiti, HTI
24.7428, 2005, Nov Average, Haiti, HTI
23.2037, 2005, Dec Average, Haiti, HTI
22.7825, 2006, Jan Average, Haiti, HTI
22.9519, 2006, Feb Average, Haiti, HTI
23.9501, 2006, Mar Average, Haiti, HTI
24.6748, 2006, Apr Average, Haiti, HTI
25.7067, 2006, May Average, Haiti, HTI
26.4013, 2006, Jun Average, Haiti, HTI
26.4627, 2006, Jul Average, Haiti, HTI
26.6568, 2006, Aug Average, Haiti, HTI
26.9838, 2006, Sep Average, Haiti, HTI
26.5008, 2006, Oct Average, Haiti, HTI
25.0885, 2006, Nov Average, Haiti, HTI
24.3369, 2006, Dec Average, Haiti, HTI
23.2882, 2007, Jan Average, Haiti, HTI
23.4704, 2007, Feb Average, Haiti, HTI
24.1975, 2007, Mar Average, Haiti, HTI
24.5301, 2007, Apr Average, Haiti, HTI
25.3975, 2007, May Average, Haiti, HTI
26.2972, 2007, Jun Average, Haiti, HTI
26.346, 2007, Jul Average, Haiti, HTI
26.2573, 2007, Aug Average, Haiti, HTI
26.074, 2007, Sep Average, Haiti, HTI
25.2273, 2007, Oct Average, Haiti, HTI
24.1635, 2007, Nov Average, Haiti, HTI
23.135, 2007, Dec Average, Haiti, HTI
22.28, 2008, Jan Average, Haiti, HTI
22.9273, 2008, Feb Average, Haiti, HTI
23.5432, 2008, Mar Average, Haiti, HTI
24.2355, 2008, Apr Average, Haiti, HTI
24.9794, 2008, May Average, Haiti, HTI
25.8453, 2008, Jun Average, Haiti, HTI
26.1718, 2008, Jul Average, Haiti, HTI
26.3644, 2008, Aug Average, Haiti, HTI
26.092, 2008, Sep Average, Haiti, HTI
