Temperature - (Celsius), Year, Statistics, Country, ISO3
0.34466, 1991, Jan Average, Japan, JPN
-0.2434, 1991, Feb Average, Japan, JPN
3.83573, 1991, Mar Average, Japan, JPN
9.93941, 1991, Apr Average, Japan, JPN
14.1227, 1991, May Average, Japan, JPN
19.3675, 1991, Jun Average, Japan, JPN
21.8977, 1991, Jul Average, Japan, JPN
22.1465, 1991, Aug Average, Japan, JPN
19.7771, 1991, Sep Average, Japan, JPN
13.8383, 1991, Oct Average, Japan, JPN
7.32091, 1991, Nov Average, Japan, JPN
3.08018, 1991, Dec Average, Japan, JPN
0.68749, 1992, Jan Average, Japan, JPN
0.37821, 1992, Feb Average, Japan, JPN
4.08851, 1992, Mar Average, Japan, JPN
9.472, 1992, Apr Average, Japan, JPN
12.9134, 1992, May Average, Japan, JPN
17.0011, 1992, Jun Average, Japan, JPN
21.735, 1992, Jul Average, Japan, JPN
22.6677, 1992, Aug Average, Japan, JPN
18.7529, 1992, Sep Average, Japan, JPN
13.1836, 1992, Oct Average, Japan, JPN
7.66004, 1992, Nov Average, Japan, JPN
3.09328, 1992, Dec Average, Japan, JPN
0.81104, 1993, Jan Average, Japan, JPN
1.16106, 1993, Feb Average, Japan, JPN
3.02609, 1993, Mar Average, Japan, JPN
8.23002, 1993, Apr Average, Japan, JPN
13.1754, 1993, May Average, Japan, JPN
17.056, 1993, Jun Average, Japan, JPN
19.7736, 1993, Jul Average, Japan, JPN
20.9862, 1993, Aug Average, Japan, JPN
18.3165, 1993, Sep Average, Japan, JPN
12.5701, 1993, Oct Average, Japan, JPN
8.52906, 1993, Nov Average, Japan, JPN
2.50491, 1993, Dec Average, Japan, JPN
-0.7128, 1994, Jan Average, Japan, JPN
0.42396, 1994, Feb Average, Japan, JPN
2.33301, 1994, Mar Average, Japan, JPN
9.86233, 1994, Apr Average, Japan, JPN
15.021, 1994, May Average, Japan, JPN
18.0584, 1994, Jun Average, Japan, JPN
23.7075, 1994, Jul Average, Japan, JPN
25.1619, 1994, Aug Average, Japan, JPN
20.6201, 1994, Sep Average, Japan, JPN
14.7821, 1994, Oct Average, Japan, JPN
8.40331, 1994, Nov Average, Japan, JPN
2.67708, 1994, Dec Average, Japan, JPN
-0.5182, 1995, Jan Average, Japan, JPN
0.17139, 1995, Feb Average, Japan, JPN
3.4546, 1995, Mar Average, Japan, JPN
9.26323, 1995, Apr Average, Japan, JPN
14.2616, 1995, May Average, Japan, JPN
16.8326, 1995, Jun Average, Japan, JPN
22.403, 1995, Jul Average, Japan, JPN
24.0821, 1995, Aug Average, Japan, JPN
18.8869, 1995, Sep Average, Japan, JPN
14.5771, 1995, Oct Average, Japan, JPN
