Temperature - (Celsius), Year, Statistics, Country, ISO3
15.3059, 1991, Jan Average, Mexico, MEX
17.2518, 1991, Feb Average, Mexico, MEX
19.4619, 1991, Mar Average, Mexico, MEX
22.071, 1991, Apr Average, Mexico, MEX
24.0154, 1991, May Average, Mexico, MEX
25.2067, 1991, Jun Average, Mexico, MEX
24.5658, 1991, Jul Average, Mexico, MEX
25.1221, 1991, Aug Average, Mexico, MEX
22.8301, 1991, Sep Average, Mexico, MEX
21.6588, 1991, Oct Average, Mexico, MEX
16.8829, 1991, Nov Average, Mexico, MEX
15.6414, 1991, Dec Average, Mexico, MEX
14.0334, 1992, Jan Average, Mexico, MEX
16.1618, 1992, Feb Average, Mexico, MEX
19.1323, 1992, Mar Average, Mexico, MEX
21.2605, 1992, Apr Average, Mexico, MEX
22.7848, 1992, May Average, Mexico, MEX
25.5622, 1992, Jun Average, Mexico, MEX
25.2477, 1992, Jul Average, Mexico, MEX
24.795, 1992, Aug Average, Mexico, MEX
24.1089, 1992, Sep Average, Mexico, MEX
21.6823, 1992, Oct Average, Mexico, MEX
16.7592, 1992, Nov Average, Mexico, MEX
16.0343, 1992, Dec Average, Mexico, MEX
16.1877, 1993, Jan Average, Mexico, MEX
16.9355, 1993, Feb Average, Mexico, MEX
18.6071, 1993, Mar Average, Mexico, MEX
21.1912, 1993, Apr Average, Mexico, MEX
23.3696, 1993, May Average, Mexico, MEX
25.2442, 1993, Jun Average, Mexico, MEX
25.1041, 1993, Jul Average, Mexico, MEX
25.3099, 1993, Aug Average, Mexico, MEX
23.6138, 1993, Sep Average, Mexico, MEX
21.4985, 1993, Oct Average, Mexico, MEX
17.5559, 1993, Nov Average, Mexico, MEX
16.3197, 1993, Dec Average, Mexico, MEX
15.6752, 1994, Jan Average, Mexico, MEX
16.8216, 1994, Feb Average, Mexico, MEX
19.2138, 1994, Mar Average, Mexico, MEX
21.4984, 1994, Apr Average, Mexico, MEX
23.9331, 1994, May Average, Mexico, MEX
26.0697, 1994, Jun Average, Mexico, MEX
26.078, 1994, Jul Average, Mexico, MEX
25.4568, 1994, Aug Average, Mexico, MEX
23.9543, 1994, Sep Average, Mexico, MEX
21.805, 1994, Oct Average, Mexico, MEX
19.1021, 1994, Nov Average, Mexico, MEX
16.6608, 1994, Dec Average, Mexico, MEX
15.7881, 1995, Jan Average, Mexico, MEX
18.222, 1995, Feb Average, Mexico, MEX
18.8963, 1995, Mar Average, Mexico, MEX
21.3123, 1995, Apr Average, Mexico, MEX
24.1756, 1995, May Average, Mexico, MEX
25.2906, 1995, Jun Average, Mexico, MEX
25.5824, 1995, Jul Average, Mexico, MEX
25.3588, 1995, Aug Average, Mexico, MEX
24.211, 1995, Sep Average, Mexico, MEX
21.5701, 1995, Oct Average, Mexico, MEX
18.8246, 1995, Nov Average, Mexico, MEX
16.0485, 1995, Dec Average, Mexico, MEX
15.4202, 1996, Jan Average, Mexico, MEX
17.6709, 1996, Feb Average, Mexico, MEX
17.9222, 1996, Mar Average, Mexico, MEX
21.4181, 1996, Apr Average, Mexico, MEX
