Temperature - (Celsius), Year, Statistics, Country, ISO3
18.2303, 1991, Jan Average, Myanmar (Burma), MMR
20.5249, 1991, Feb Average, Myanmar (Burma), MMR
23.9803, 1991, Mar Average, Myanmar (Burma), MMR
25.6218, 1991, Apr Average, Myanmar (Burma), MMR
25.9604, 1991, May Average, Myanmar (Burma), MMR
25.0207, 1991, Jun Average, Myanmar (Burma), MMR
25.2587, 1991, Jul Average, Myanmar (Burma), MMR
24.8372, 1991, Aug Average, Myanmar (Burma), MMR
24.9712, 1991, Sep Average, Myanmar (Burma), MMR
24.1186, 1991, Oct Average, Myanmar (Burma), MMR
20.8155, 1991, Nov Average, Myanmar (Burma), MMR
18.3604, 1991, Dec Average, Myanmar (Burma), MMR
17.0958, 1992, Jan Average, Myanmar (Burma), MMR
18.1751, 1992, Feb Average, Myanmar (Burma), MMR
22.8283, 1992, Mar Average, Myanmar (Burma), MMR
25.8885, 1992, Apr Average, Myanmar (Burma), MMR
25.9515, 1992, May Average, Myanmar (Burma), MMR
25.9075, 1992, Jun Average, Myanmar (Burma), MMR
24.7737, 1992, Jul Average, Myanmar (Burma), MMR
25.1083, 1992, Aug Average, Myanmar (Burma), MMR
25.0105, 1992, Sep Average, Myanmar (Burma), MMR
23.1799, 1992, Oct Average, Myanmar (Burma), MMR
20.7838, 1992, Nov Average, Myanmar (Burma), MMR
17.5645, 1992, Dec Average, Myanmar (Burma), MMR
17.5623, 1993, Jan Average, Myanmar (Burma), MMR
19.3719, 1993, Feb Average, Myanmar (Burma), MMR
22.1548, 1993, Mar Average, Myanmar (Burma), MMR
25.1275, 1993, Apr Average, Myanmar (Burma), MMR
25.3867, 1993, May Average, Myanmar (Burma), MMR
25.4484, 1993, Jun Average, Myanmar (Burma), MMR
25.4956, 1993, Jul Average, Myanmar (Burma), MMR
24.7829, 1993, Aug Average, Myanmar (Burma), MMR
24.8694, 1993, Sep Average, Myanmar (Burma), MMR
24.0253, 1993, Oct Average, Myanmar (Burma), MMR
21.4892, 1993, Nov Average, Myanmar (Burma), MMR
19.0733, 1993, Dec Average, Myanmar (Burma), MMR
19.0917, 1994, Jan Average, Myanmar (Burma), MMR
20.1719, 1994, Feb Average, Myanmar (Burma), MMR
