Temperature - (Celsius), Year, Statistics, Country, ISO3
26.0272, 1991, Jan Average, Mauritius, MUS
25.7635, 1991, Feb Average, Mauritius, MUS
25.3523, 1991, Mar Average, Mauritius, MUS
24.2575, 1991, Apr Average, Mauritius, MUS
22.5025, 1991, May Average, Mauritius, MUS
20.8051, 1991, Jun Average, Mauritius, MUS
19.7288, 1991, Jul Average, Mauritius, MUS
20.0262, 1991, Aug Average, Mauritius, MUS
21.3744, 1991, Sep Average, Mauritius, MUS
22.1744, 1991, Oct Average, Mauritius, MUS
23.5655, 1991, Nov Average, Mauritius, MUS
24.0924, 1991, Dec Average, Mauritius, MUS
25.9124, 1992, Jan Average, Mauritius, MUS
25.3881, 1992, Feb Average, Mauritius, MUS
24.7079, 1992, Mar Average, Mauritius, MUS
23.5575, 1992, Apr Average, Mauritius, MUS
22.3698, 1992, May Average, Mauritius, MUS
20.8879, 1992, Jun Average, Mauritius, MUS
19.5314, 1992, Jul Average, Mauritius, MUS
18.9968, 1992, Aug Average, Mauritius, MUS
20.4022, 1992, Sep Average, Mauritius, MUS
22.0876, 1992, Oct Average, Mauritius, MUS
23.5753, 1992, Nov Average, Mauritius, MUS
24.3247, 1992, Dec Average, Mauritius, MUS
25.8648, 1993, Jan Average, Mauritius, MUS
25.3538, 1993, Feb Average, Mauritius, MUS
24.7626, 1993, Mar Average, Mauritius, MUS
24.2277, 1993, Apr Average, Mauritius, MUS
22.9148, 1993, May Average, Mauritius, MUS
21.0427, 1993, Jun Average, Mauritius, MUS
19.7715, 1993, Jul Average, Mauritius, MUS
19.6638, 1993, Aug Average, Mauritius, MUS
19.8596, 1993, Sep Average, Mauritius, MUS
21.2796, 1993, Oct Average, Mauritius, MUS
22.5853, 1993, Nov Average, Mauritius, MUS
24.3325, 1993, Dec Average, Mauritius, MUS
25.1072, 1994, Jan Average, Mauritius, MUS
25.4036, 1994, Feb Average, Mauritius, MUS
25.3027, 1994, Mar Average, Mauritius, MUS
24.6672, 1994, Apr Average, Mauritius, MUS
22.7472, 1994, May Average, Mauritius, MUS
21.2025, 1994, Jun Average, Mauritius, MUS
20.6792, 1994, Jul Average, Mauritius, MUS
20.2612, 1994, Aug Average, Mauritius, MUS
20.5699, 1994, Sep Average, Mauritius, MUS
22.0789, 1994, Oct Average, Mauritius, MUS
22.7073, 1994, Nov Average, Mauritius, MUS
24.2717, 1994, Dec Average, Mauritius, MUS
25.2551, 1995, Jan Average, Mauritius, MUS
25.9402, 1995, Feb Average, Mauritius, MUS
25.1079, 1995, Mar Average, Mauritius, MUS
24.4523, 1995, Apr Average, Mauritius, MUS
22.0566, 1995, May Average, Mauritius, MUS
20.7753, 1995, Jun Average, Mauritius, MUS
20.5236, 1995, Jul Average, Mauritius, MUS
20.2004, 1995, Aug Average, Mauritius, MUS
20.8142, 1995, Sep Average, Mauritius, MUS
21.764, 1995, Oct Average, Mauritius, MUS
22.6125, 1995, Nov Average, Mauritius, MUS
24.3812, 1995, Dec Average, Mauritius, MUS
25.3046, 1996, Jan Average, Mauritius, MUS
25.3949, 1996, Feb Average, Mauritius, MUS
25.3904, 1996, Mar Average, Mauritius, MUS
24.1497, 1996, Apr Average, Mauritius, MUS
22.0297, 1996, May Average, Mauritius, MUS
20.907, 1996, Jun Average, Mauritius, MUS
19.6184, 1996, Jul Average, Mauritius, MUS
19.9184, 1996, Aug Average, Mauritius, MUS
20.2343, 1996, Sep Average, Mauritius, MUS
21.2614, 1996, Oct Average, Mauritius, MUS
22.9603, 1996, Nov Average, Mauritius, MUS
24.4368, 1996, Dec Average, Mauritius, MUS
25.1072, 1997, Jan Average, Mauritius, MUS
25.0479, 1997, Feb Average, Mauritius, MUS
25.0749, 1997, Mar Average, Mauritius, MUS
24.3027, 1997, Apr Average, Mauritius, MUS
22.7715, 1997, May Average, Mauritius, MUS
21.2245, 1997, Jun Average, Mauritius, MUS
20.2184, 1997, Jul Average, Mauritius, MUS
20.3087, 1997, Aug Average, Mauritius, MUS
20.536, 1997, Sep Average, Mauritius, MUS
21.5188, 1997, Oct Average, Mauritius, MUS
23.8142, 1997, Nov Average, Mauritius, MUS
25.1193, 1997, Dec Average, Mauritius, MUS
26.5072, 1998, Jan Average, Mauritius, MUS
26.6036, 1998, Feb Average, Mauritius, MUS
25.8523, 1998, Mar Average, Mauritius, MUS
24.6966, 1998, Apr Average, Mauritius, MUS
23.1549, 1998, May Average, Mauritius, MUS
21.3999, 1998, Jun Average, Mauritius, MUS
20.2758, 1998, Jul Average, Mauritius, MUS
20.2236, 1998, Aug Average, Mauritius, MUS
20.8142, 1998, Sep Average, Mauritius, MUS
21.9692, 1998, Oct Average, Mauritius, MUS
