Temperature - (Celsius), Year, Statistics, Country, ISO3
23.6508, 1991, Jan Average, Malawi, MWI
23.9218, 1991, Feb Average, Malawi, MWI
23.5731, 1991, Mar Average, Malawi, MWI
21.9495, 1991, Apr Average, Malawi, MWI
20.8961, 1991, May Average, Malawi, MWI
18.7806, 1991, Jun Average, Malawi, MWI
18.1263, 1991, Jul Average, Malawi, MWI
19.4982, 1991, Aug Average, Malawi, MWI
22.416, 1991, Sep Average, Malawi, MWI
24.034, 1991, Oct Average, Malawi, MWI
24.2275, 1991, Nov Average, Malawi, MWI
23.6088, 1991, Dec Average, Malawi, MWI
23.9316, 1992, Jan Average, Malawi, MWI
23.9907, 1992, Feb Average, Malawi, MWI
24.3544, 1992, Mar Average, Malawi, MWI
23.3957, 1992, Apr Average, Malawi, MWI
21.7766, 1992, May Average, Malawi, MWI
19.4934, 1992, Jun Average, Malawi, MWI
18.2282, 1992, Jul Average, Malawi, MWI
19.0081, 1992, Aug Average, Malawi, MWI
22.4878, 1992, Sep Average, Malawi, MWI
24.3282, 1992, Oct Average, Malawi, MWI
25.2697, 1992, Nov Average, Malawi, MWI
24.6972, 1992, Dec Average, Malawi, MWI
23.3235, 1993, Jan Average, Malawi, MWI
23.414, 1993, Feb Average, Malawi, MWI
23.0485, 1993, Mar Average, Malawi, MWI
23.4034, 1993, Apr Average, Malawi, MWI
21.455, 1993, May Average, Malawi, MWI
18.7868, 1993, Jun Average, Malawi, MWI
18.4602, 1993, Jul Average, Malawi, MWI
19.0804, 1993, Aug Average, Malawi, MWI
21.9608, 1993, Sep Average, Malawi, MWI
24.5438, 1993, Oct Average, Malawi, MWI
24.6744, 1993, Nov Average, Malawi, MWI
25.349, 1993, Dec Average, Malawi, MWI
24.011, 1994, Jan Average, Malawi, MWI
23.7454, 1994, Feb Average, Malawi, MWI
23.8532, 1994, Mar Average, Malawi, MWI
22.6076, 1994, Apr Average, Malawi, MWI
20.9113, 1994, May Average, Malawi, MWI
19.0856, 1994, Jun Average, Malawi, MWI
17.9349, 1994, Jul Average, Malawi, MWI
19.512, 1994, Aug Average, Malawi, MWI
22.3493, 1994, Sep Average, Malawi, MWI
23.393, 1994, Oct Average, Malawi, MWI
26.0297, 1994, Nov Average, Malawi, MWI
24.9666, 1994, Dec Average, Malawi, MWI
23.5551, 1995, Jan Average, Malawi, MWI
23.8538, 1995, Feb Average, Malawi, MWI
23.9866, 1995, Mar Average, Malawi, MWI
22.8077, 1995, Apr Average, Malawi, MWI
21.3385, 1995, May Average, Malawi, MWI
18.864, 1995, Jun Average, Malawi, MWI
18.8378, 1995, Jul Average, Malawi, MWI
20.7625, 1995, Aug Average, Malawi, MWI
22.6328, 1995, Sep Average, Malawi, MWI
25.7261, 1995, Oct Average, Malawi, MWI
26.1816, 1995, Nov Average, Malawi, MWI
24.1904, 1995, Dec Average, Malawi, MWI
23.8538, 1996, Jan Average, Malawi, MWI
23.2543, 1996, Feb Average, Malawi, MWI
23.0947, 1996, Mar Average, Malawi, MWI
21.6372, 1996, Apr Average, Malawi, MWI
20.8055, 1996, May Average, Malawi, MWI
18.7185, 1996, Jun Average, Malawi, MWI
18.0878, 1996, Jul Average, Malawi, MWI
20.0796, 1996, Aug Average, Malawi, MWI
22.7315, 1996, Sep Average, Malawi, MWI
24.4512, 1996, Oct Average, Malawi, MWI
26.5494, 1996, Nov Average, Malawi, MWI
24.5584, 1996, Dec Average, Malawi, MWI
24.005, 1997, Jan Average, Malawi, MWI
22.9842, 1997, Feb Average, Malawi, MWI
23.976, 1997, Mar Average, Malawi, MWI
22.3895, 1997, Apr Average, Malawi, MWI
20.2291, 1997, May Average, Malawi, MWI
20.0698, 1997, Jun Average, Malawi, MWI
18.3489, 1997, Jul Average, Malawi, MWI
20.235, 1997, Aug Average, Malawi, MWI
22.6732, 1997, Sep Average, Malawi, MWI
23.9194, 1997, Oct Average, Malawi, MWI
25.7338, 1997, Nov Average, Malawi, MWI
24.1158, 1997, Dec Average, Malawi, MWI
24.2617, 1998, Jan Average, Malawi, MWI
24.2212, 1998, Feb Average, Malawi, MWI
24.6963, 1998, Mar Average, Malawi, MWI
22.7927, 1998, Apr Average, Malawi, MWI
21.2923, 1998, May Average, Malawi, MWI
19.2231, 1998, Jun Average, Malawi, MWI
18.8204, 1998, Jul Average, Malawi, MWI
20.0835, 1998, Aug Average, Malawi, MWI
22.3873, 1998, Sep Average, Malawi, MWI
24.7634, 1998, Oct Average, Malawi, MWI
25.9187, 1998, Nov Average, Malawi, MWI
24.4186, 1998, Dec Average, Malawi, MWI
23.6788, 1999, Jan Average, Malawi, MWI
23.6763, 1999, Feb Average, Malawi, MWI
23.376, 1999, Mar Average, Malawi, MWI
22.0328, 1999, Apr Average, Malawi, MWI
20.5919, 1999, May Average, Malawi, MWI
19.0889, 1999, Jun Average, Malawi, MWI
18.1474, 1999, Jul Average, Malawi, MWI
19.6712, 1999, Aug Average, Malawi, MWI
21.7894, 1999, Sep Average, Malawi, MWI
23.4598, 1999, Oct Average, Malawi, MWI
25.173, 1999, Nov Average, Malawi, MWI
25.4544, 1999, Dec Average, Malawi, MWI
23.9165, 2000, Jan Average, Malawi, MWI
23.4182, 2000, Feb Average, Malawi, MWI
23.3848, 2000, Mar Average, Malawi, MWI
22.5988, 2000, Apr Average, Malawi, MWI
20.8315, 2000, May Average, Malawi, MWI
19.3831, 2000, Jun Average, Malawi, MWI
17.9599, 2000, Jul Average, Malawi, MWI
19.2881, 2000, Aug Average, Malawi, MWI
22.6288, 2000, Sep Average, Malawi, MWI
