Temperature - (Celsius), Year, Statistics, Country, ISO3
24.8503, 1991, Jan Average, Panama, PAN
25.2579, 1991, Feb Average, Panama, PAN
26.2825, 1991, Mar Average, Panama, PAN
26.3417, 1991, Apr Average, Panama, PAN
25.9165, 1991, May Average, Panama, PAN
25.7965, 1991, Jun Average, Panama, PAN
25.8409, 1991, Jul Average, Panama, PAN
25.3885, 1991, Aug Average, Panama, PAN
25.2529, 1991, Sep Average, Panama, PAN
24.9985, 1991, Oct Average, Panama, PAN
24.4731, 1991, Nov Average, Panama, PAN
24.465, 1991, Dec Average, Panama, PAN
25.006, 1992, Jan Average, Panama, PAN
25.5044, 1992, Feb Average, Panama, PAN
26.3648, 1992, Mar Average, Panama, PAN
26.8458, 1992, Apr Average, Panama, PAN
26.398, 1992, May Average, Panama, PAN
25.8591, 1992, Jun Average, Panama, PAN
25.6131, 1992, Jul Average, Panama, PAN
25.5266, 1992, Aug Average, Panama, PAN
24.8688, 1992, Sep Average, Panama, PAN
25.1555, 1992, Oct Average, Panama, PAN
24.556, 1992, Nov Average, Panama, PAN
24.6145, 1992, Dec Average, Panama, PAN
24.7264, 1993, Jan Average, Panama, PAN
25.2352, 1993, Feb Average, Panama, PAN
26.0333, 1993, Mar Average, Panama, PAN
26.7128, 1993, Apr Average, Panama, PAN
26.006, 1993, May Average, Panama, PAN
25.8802, 1993, Jun Average, Panama, PAN
26.15, 1993, Jul Average, Panama, PAN
25.6729, 1993, Aug Average, Panama, PAN
24.8063, 1993, Sep Average, Panama, PAN
25.2945, 1993, Oct Average, Panama, PAN
24.6171, 1993, Nov Average, Panama, PAN
25.0378, 1993, Dec Average, Panama, PAN
24.6518, 1994, Jan Average, Panama, PAN
25.0264, 1994, Feb Average, Panama, PAN
26.0843, 1994, Mar Average, Panama, PAN
26.2467, 1994, Apr Average, Panama, PAN
26.2844, 1994, May Average, Panama, PAN
25.643, 1994, Jun Average, Panama, PAN
25.79, 1994, Jul Average, Panama, PAN
25.4226, 1994, Aug Average, Panama, PAN
25.3309, 1994, Sep Average, Panama, PAN
24.9283, 1994, Oct Average, Panama, PAN
24.3704, 1994, Nov Average, Panama, PAN
24.8341, 1994, Dec Average, Panama, PAN
25.3977, 1995, Jan Average, Panama, PAN
25.4725, 1995, Feb Average, Panama, PAN
26.4375, 1995, Mar Average, Panama, PAN
26.5968, 1995, Apr Average, Panama, PAN
25.873, 1995, May Average, Panama, PAN
25.4225, 1995, Jun Average, Panama, PAN
25.7607, 1995, Jul Average, Panama, PAN
25.0444, 1995, Aug Average, Panama, PAN
25.407, 1995, Sep Average, Panama, PAN
25.0828, 1995, Oct Average, Panama, PAN
24.491, 1995, Nov Average, Panama, PAN
24.5676, 1995, Dec Average, Panama, PAN
24.7801, 1996, Jan Average, Panama, PAN
25.197, 1996, Feb Average, Panama, PAN
25.8646, 1996, Mar Average, Panama, PAN
26.0161, 1996, Apr Average, Panama, PAN
25.6765, 1996, May Average, Panama, PAN
25.3611, 1996, Jun Average, Panama, PAN
25.5497, 1996, Jul Average, Panama, PAN
25.174, 1996, Aug Average, Panama, PAN
24.9549, 1996, Sep Average, Panama, PAN
24.9514, 1996, Oct Average, Panama, PAN
24.1961, 1996, Nov Average, Panama, PAN
24.5274, 1996, Dec Average, Panama, PAN
24.5466, 1997, Jan Average, Panama, PAN
25.1624, 1997, Feb Average, Panama, PAN
25.7393, 1997, Mar Average, Panama, PAN
26.3919, 1997, Apr Average, Panama, PAN
26.4644, 1997, May Average, Panama, PAN
25.5223, 1997, Jun Average, Panama, PAN
26.442, 1997, Jul Average, Panama, PAN
26.1559, 1997, Aug Average, Panama, PAN
25.5026, 1997, Sep Average, Panama, PAN
25.8446, 1997, Oct Average, Panama, PAN
24.8692, 1997, Nov Average, Panama, PAN
25.3466, 1997, Dec Average, Panama, PAN
26.0342, 1998, Jan Average, Panama, PAN
26.4789, 1998, Feb Average, Panama, PAN
26.99, 1998, Mar Average, Panama, PAN
27.3314, 1998, Apr Average, Panama, PAN
26.6888, 1998, May Average, Panama, PAN
25.8867, 1998, Jun Average, Panama, PAN
25.9454, 1998, Jul Average, Panama, PAN
25.6869, 1998, Aug Average, Panama, PAN
25.2033, 1998, Sep Average, Panama, PAN
25.1892, 1998, Oct Average, Panama, PAN
24.619, 1998, Nov Average, Panama, PAN
24.2903, 1998, Dec Average, Panama, PAN
24.7536, 1999, Jan Average, Panama, PAN
24.7438, 1999, Feb Average, Panama, PAN
25.7769, 1999, Mar Average, Panama, PAN
26.1549, 1999, Apr Average, Panama, PAN
25.7551, 1999, May Average, Panama, PAN
25.0801, 1999, Jun Average, Panama, PAN
25.5275, 1999, Jul Average, Panama, PAN
24.9548, 1999, Aug Average, Panama, PAN
24.3902, 1999, Sep Average, Panama, PAN
24.3743, 1999, Oct Average, Panama, PAN
24.1962, 1999, Nov Average, Panama, PAN
24.2369, 1999, Dec Average, Panama, PAN
24.1379, 2000, Jan Average, Panama, PAN
24.4778, 2000, Feb Average, Panama, PAN
