Temperature - (Celsius), Year, Statistics, Country, ISO3
20.0185, 1991, Jan Average, Peru, PER
20.1905, 1991, Feb Average, Peru, PER
20.1865, 1991, Mar Average, Peru, PER
20.0382, 1991, Apr Average, Peru, PER
19.6344, 1991, May Average, Peru, PER
18.9713, 1991, Jun Average, Peru, PER
18.2796, 1991, Jul Average, Peru, PER
18.2142, 1991, Aug Average, Peru, PER
19.4472, 1991, Sep Average, Peru, PER
19.6373, 1991, Oct Average, Peru, PER
19.9836, 1991, Nov Average, Peru, PER
20.5319, 1991, Dec Average, Peru, PER
21.0302, 1992, Jan Average, Peru, PER
20.8219, 1992, Feb Average, Peru, PER
21.0708, 1992, Mar Average, Peru, PER
21.1448, 1992, Apr Average, Peru, PER
20.8801, 1992, May Average, Peru, PER
19.3472, 1992, Jun Average, Peru, PER
17.832, 1992, Jul Average, Peru, PER
18.7599, 1992, Aug Average, Peru, PER
19.0306, 1992, Sep Average, Peru, PER
19.7582, 1992, Oct Average, Peru, PER
20.0553, 1992, Nov Average, Peru, PER
20.0216, 1992, Dec Average, Peru, PER
20.0789, 1993, Jan Average, Peru, PER
20.323, 1993, Feb Average, Peru, PER
20.1671, 1993, Mar Average, Peru, PER
20.167, 1993, Apr Average, Peru, PER
20.0661, 1993, May Average, Peru, PER
19.3505, 1993, Jun Average, Peru, PER
18.5369, 1993, Jul Average, Peru, PER
18.6992, 1993, Aug Average, Peru, PER
19.4766, 1993, Sep Average, Peru, PER
19.9417, 1993, Oct Average, Peru, PER
19.8695, 1993, Nov Average, Peru, PER
20.0633, 1993, Dec Average, Peru, PER
20.1486, 1994, Jan Average, Peru, PER
20.0667, 1994, Feb Average, Peru, PER
20.371, 1994, Mar Average, Peru, PER
20.2493, 1994, Apr Average, Peru, PER
19.9385, 1994, May Average, Peru, PER
18.6572, 1994, Jun Average, Peru, PER
18.1685, 1994, Jul Average, Peru, PER
18.8373, 1994, Aug Average, Peru, PER
19.7091, 1994, Sep Average, Peru, PER
20.2081, 1994, Oct Average, Peru, PER
20.3687, 1994, Nov Average, Peru, PER
20.4821, 1994, Dec Average, Peru, PER
21.0605, 1995, Jan Average, Peru, PER
20.7098, 1995, Feb Average, Peru, PER
20.0991, 1995, Mar Average, Peru, PER
20.2027, 1995, Apr Average, Peru, PER
19.2848, 1995, May Average, Peru, PER
19.2271, 1995, Jun Average, Peru, PER
18.8353, 1995, Jul Average, Peru, PER
19.1695, 1995, Aug Average, Peru, PER
19.7894, 1995, Sep Average, Peru, PER
20.0078, 1995, Oct Average, Peru, PER
19.8931, 1995, Nov Average, Peru, PER
19.8032, 1995, Dec Average, Peru, PER
19.6817, 1996, Jan Average, Peru, PER
19.9369, 1996, Feb Average, Peru, PER
19.9707, 1996, Mar Average, Peru, PER
19.5426, 1996, Apr Average, Peru, PER
19.2391, 1996, May Average, Peru, PER
18.0724, 1996, Jun Average, Peru, PER
17.8059, 1996, Jul Average, Peru, PER
18.5492, 1996, Aug Average, Peru, PER
19.112, 1996, Sep Average, Peru, PER
19.6247, 1996, Oct Average, Peru, PER
19.8072, 1996, Nov Average, Peru, PER
19.6373, 1996, Dec Average, Peru, PER
20.073, 1997, Jan Average, Peru, PER
19.8722, 1997, Feb Average, Peru, PER
20.265, 1997, Mar Average, Peru, PER
20.4478, 1997, Apr Average, Peru, PER
20.5689, 1997, May Average, Peru, PER
20.2511, 1997, Jun Average, Peru, PER
19.6947, 1997, Jul Average, Peru, PER
18.932, 1997, Aug Average, Peru, PER
