Temperature - (Celsius), Year, Statistics, Country, ISO3
24.9838, 1991, Jan Average, Philippines, PHL
25.0137, 1991, Feb Average, Philippines, PHL
25.6778, 1991, Mar Average, Philippines, PHL
26.5307, 1991, Apr Average, Philippines, PHL
27.3006, 1991, May Average, Philippines, PHL
26.8474, 1991, Jun Average, Philippines, PHL
26.4064, 1991, Jul Average, Philippines, PHL
26.1697, 1991, Aug Average, Philippines, PHL
25.9614, 1991, Sep Average, Philippines, PHL
25.7698, 1991, Oct Average, Philippines, PHL
24.8539, 1991, Nov Average, Philippines, PHL
24.6773, 1991, Dec Average, Philippines, PHL
24.261, 1992, Jan Average, Philippines, PHL
24.3322, 1992, Feb Average, Philippines, PHL
25.9344, 1992, Mar Average, Philippines, PHL
26.4722, 1992, Apr Average, Philippines, PHL
27.1158, 1992, May Average, Philippines, PHL
26.6814, 1992, Jun Average, Philippines, PHL
25.8034, 1992, Jul Average, Philippines, PHL
26.1926, 1992, Aug Average, Philippines, PHL
26.0278, 1992, Sep Average, Philippines, PHL
25.8685, 1992, Oct Average, Philippines, PHL
25.0592, 1992, Nov Average, Philippines, PHL
24.9094, 1992, Dec Average, Philippines, PHL
24.3001, 1993, Jan Average, Philippines, PHL
24.4567, 1993, Feb Average, Philippines, PHL
25.1516, 1993, Mar Average, Philippines, PHL
26.5211, 1993, Apr Average, Philippines, PHL
27.2386, 1993, May Average, Philippines, PHL
27.076, 1993, Jun Average, Philippines, PHL
26.2959, 1993, Jul Average, Philippines, PHL
25.9924, 1993, Aug Average, Philippines, PHL
25.8792, 1993, Sep Average, Philippines, PHL
25.7746, 1993, Oct Average, Philippines, PHL
25.9454, 1993, Nov Average, Philippines, PHL
25.1392, 1993, Dec Average, Philippines, PHL
25.0307, 1994, Jan Average, Philippines, PHL
25.1696, 1994, Feb Average, Philippines, PHL
25.7953, 1994, Mar Average, Philippines, PHL
26.8001, 1994, Apr Average, Philippines, PHL
27.2597, 1994, May Average, Philippines, PHL
26.5148, 1994, Jun Average, Philippines, PHL
