Temperature - (Celsius), Year, Statistics, Country, ISO3
25.7322, 1991, Jan Average, Papua New Guinea, PNG
24.9755, 1991, Feb Average, Papua New Guinea, PNG
25.5016, 1991, Mar Average, Papua New Guinea, PNG
25.7023, 1991, Apr Average, Papua New Guinea, PNG
24.7599, 1991, May Average, Papua New Guinea, PNG
24.7567, 1991, Jun Average, Papua New Guinea, PNG
24.3079, 1991, Jul Average, Papua New Guinea, PNG
24.2804, 1991, Aug Average, Papua New Guinea, PNG
24.5405, 1991, Sep Average, Papua New Guinea, PNG
24.9045, 1991, Oct Average, Papua New Guinea, PNG
25.5095, 1991, Nov Average, Papua New Guinea, PNG
25.9782, 1991, Dec Average, Papua New Guinea, PNG
26.0198, 1992, Jan Average, Papua New Guinea, PNG
25.6822, 1992, Feb Average, Papua New Guinea, PNG
26.0447, 1992, Mar Average, Papua New Guinea, PNG
25.2003, 1992, Apr Average, Papua New Guinea, PNG
25.4197, 1992, May Average, Papua New Guinea, PNG
24.7558, 1992, Jun Average, Papua New Guinea, PNG
24.2932, 1992, Jul Average, Papua New Guinea, PNG
24.7279, 1992, Aug Average, Papua New Guinea, PNG
25.9063, 1992, Sep Average, Papua New Guinea, PNG
25.4301, 1992, Oct Average, Papua New Guinea, PNG
25.8187, 1992, Nov Average, Papua New Guinea, PNG
25.7194, 1992, Dec Average, Papua New Guinea, PNG
25.2252, 1993, Jan Average, Papua New Guinea, PNG
25.176, 1993, Feb Average, Papua New Guinea, PNG
25.4144, 1993, Mar Average, Papua New Guinea, PNG
25.0687, 1993, Apr Average, Papua New Guinea, PNG
25.2523, 1993, May Average, Papua New Guinea, PNG
24.7091, 1993, Jun Average, Papua New Guinea, PNG
24.7239, 1993, Jul Average, Papua New Guinea, PNG
24.1337, 1993, Aug Average, Papua New Guinea, PNG
25.1038, 1993, Sep Average, Papua New Guinea, PNG
25.5553, 1993, Oct Average, Papua New Guinea, PNG
25.8614, 1993, Nov Average, Papua New Guinea, PNG
25.4836, 1993, Dec Average, Papua New Guinea, PNG
26.0452, 1994, Jan Average, Papua New Guinea, PNG
25.6132, 1994, Feb Average, Papua New Guinea, PNG
