Temperature - (Celsius), Year, Statistics, Country, ISO3
18.9343, 1991, Jan Average, Rwanda, RWA
20.1587, 1991, Feb Average, Rwanda, RWA
20.2585, 1991, Mar Average, Rwanda, RWA
19.5992, 1991, Apr Average, Rwanda, RWA
20.021, 1991, May Average, Rwanda, RWA
19.5836, 1991, Jun Average, Rwanda, RWA
18.7801, 1991, Jul Average, Rwanda, RWA
19.24, 1991, Aug Average, Rwanda, RWA
19.6492, 1991, Sep Average, Rwanda, RWA
20.1587, 1991, Oct Average, Rwanda, RWA
19.2564, 1991, Nov Average, Rwanda, RWA
19.1043, 1991, Dec Average, Rwanda, RWA
19.3498, 1992, Jan Average, Rwanda, RWA
20.0735, 1992, Feb Average, Rwanda, RWA
20.1348, 1992, Mar Average, Rwanda, RWA
20.0925, 1992, Apr Average, Rwanda, RWA
19.6225, 1992, May Average, Rwanda, RWA
19.5494, 1992, Jun Average, Rwanda, RWA
18.6491, 1992, Jul Average, Rwanda, RWA
19.418, 1992, Aug Average, Rwanda, RWA
19.733, 1992, Sep Average, Rwanda, RWA
19.6405, 1992, Oct Average, Rwanda, RWA
19.0829, 1992, Nov Average, Rwanda, RWA
18.9659, 1992, Dec Average, Rwanda, RWA
18.5316, 1993, Jan Average, Rwanda, RWA
19.2991, 1993, Feb Average, Rwanda, RWA
19.1498, 1993, Mar Average, Rwanda, RWA
19.4873, 1993, Apr Average, Rwanda, RWA
19.3134, 1993, May Average, Rwanda, RWA
19.8134, 1993, Jun Average, Rwanda, RWA
19.2324, 1993, Jul Average, Rwanda, RWA
20.4861, 1993, Aug Average, Rwanda, RWA
19.2382, 1993, Sep Average, Rwanda, RWA
19.3259, 1993, Oct Average, Rwanda, RWA
21.4345, 1993, Nov Average, Rwanda, RWA
19.3631, 1993, Dec Average, Rwanda, RWA
18.6709, 1994, Jan Average, Rwanda, RWA
19.4324, 1994, Feb Average, Rwanda, RWA
18.9292, 1994, Mar Average, Rwanda, RWA
19.2653, 1994, Apr Average, Rwanda, RWA
19.8851, 1994, May Average, Rwanda, RWA
19.1637, 1994, Jun Average, Rwanda, RWA
18.2176, 1994, Jul Average, Rwanda, RWA
20.2715, 1994, Aug Average, Rwanda, RWA
20.3403, 1994, Sep Average, Rwanda, RWA
19.8221, 1994, Oct Average, Rwanda, RWA
19.2349, 1994, Nov Average, Rwanda, RWA
19.3599, 1994, Dec Average, Rwanda, RWA
19.2147, 1995, Jan Average, Rwanda, RWA
19.7071, 1995, Feb Average, Rwanda, RWA
19.951, 1995, Mar Average, Rwanda, RWA
20.0918, 1995, Apr Average, Rwanda, RWA
19.6917, 1995, May Average, Rwanda, RWA
19.7492, 1995, Jun Average, Rwanda, RWA
19.2815, 1995, Jul Average, Rwanda, RWA
20.7333, 1995, Aug Average, Rwanda, RWA
19.9774, 1995, Sep Average, Rwanda, RWA
20.2585, 1995, Oct Average, Rwanda, RWA
20.6147, 1995, Nov Average, Rwanda, RWA
19.9992, 1995, Dec Average, Rwanda, RWA
20.1296, 1996, Jan Average, Rwanda, RWA
19.8575, 1996, Feb Average, Rwanda, RWA
19.5709, 1996, Mar Average, Rwanda, RWA
19.1193, 1996, Apr Average, Rwanda, RWA
19.2857, 1996, May Average, Rwanda, RWA
19.3277, 1996, Jun Average, Rwanda, RWA
19.3752, 1996, Jul Average, Rwanda, RWA
19.555, 1996, Aug Average, Rwanda, RWA
19.4539, 1996, Sep Average, Rwanda, RWA
19.6754, 1996, Oct Average, Rwanda, RWA
20.1699, 1996, Nov Average, Rwanda, RWA
20.675, 1996, Dec Average, Rwanda, RWA
20.5586, 1997, Jan Average, Rwanda, RWA
20.2374, 1997, Feb Average, Rwanda, RWA
19.8101, 1997, Mar Average, Rwanda, RWA
19.7933, 1997, Apr Average, Rwanda, RWA
19.7905, 1997, May Average, Rwanda, RWA
19.8742, 1997, Jun Average, Rwanda, RWA
19.5798, 1997, Jul Average, Rwanda, RWA
18.7687, 1997, Aug Average, Rwanda, RWA
20.8982, 1997, Sep Average, Rwanda, RWA
20.4391, 1997, Oct Average, Rwanda, RWA
19.7719, 1997, Nov Average, Rwanda, RWA
19.3881, 1997, Dec Average, Rwanda, RWA
19.4144, 1998, Jan Average, Rwanda, RWA
20.4318, 1998, Feb Average, Rwanda, RWA
20.3296, 1998, Mar Average, Rwanda, RWA
19.5389, 1998, Apr Average, Rwanda, RWA
19.5372, 1998, May Average, Rwanda, RWA
19.4665, 1998, Jun Average, Rwanda, RWA
19.7572, 1998, Jul Average, Rwanda, RWA
19.9016, 1998, Aug Average, Rwanda, RWA
20.2191, 1998, Sep Average, Rwanda, RWA
20.1726, 1998, Oct Average, Rwanda, RWA
20.0822, 1998, Nov Average, Rwanda, RWA
20.1261, 1998, Dec Average, Rwanda, RWA
19.7682, 1999, Jan Average, Rwanda, RWA
21.217, 1999, Feb Average, Rwanda, RWA
19.8293, 1999, Mar Average, Rwanda, RWA
19.7266, 1999, Apr Average, Rwanda, RWA
19.5523, 1999, May Average, Rwanda, RWA
19.3611, 1999, Jun Average, Rwanda, RWA
19.135, 1999, Jul Average, Rwanda, RWA
19.8932, 1999, Aug Average, Rwanda, RWA
20.0902, 1999, Sep Average, Rwanda, RWA
19.4246, 1999, Oct Average, Rwanda, RWA
19.3363, 1999, Nov Average, Rwanda, RWA
20.055, 1999, Dec Average, Rwanda, RWA
19.5383, 2000, Jan Average, Rwanda, RWA
20.118, 2000, Feb Average, Rwanda, RWA
19.8552, 2000, Mar Average, Rwanda, RWA
20.3189, 2000, Apr Average, Rwanda, RWA
20.8017, 2000, May Average, Rwanda, RWA
19.4295, 2000, Jun Average, Rwanda, RWA
19.7868, 2000, Jul Average, Rwanda, RWA
21.0177, 2000, Aug Average, Rwanda, RWA
19.8689, 2000, Sep Average, Rwanda, RWA
20.0731, 2000, Oct Average, Rwanda, RWA
20.0553, 2000, Nov Average, Rwanda, RWA
18.9125, 2000, Dec Average, Rwanda, RWA
20.2479, 2001, Jan Average, Rwanda, RWA
20.915, 2001, Feb Average, Rwanda, RWA
20.3716, 2001, Mar Average, Rwanda, RWA
20.4019, 2001, Apr Average, Rwanda, RWA
20.3894, 2001, May Average, Rwanda, RWA
19.226, 2001, Jun Average, Rwanda, RWA
19.5629, 2001, Jul Average, Rwanda, RWA
20.5757, 2001, Aug Average, Rwanda, RWA
20.564, 2001, Sep Average, Rwanda, RWA
20.6401, 2001, Oct Average, Rwanda, RWA
20.4765, 2001, Nov Average, Rwanda, RWA
19.6458, 2001, Dec Average, Rwanda, RWA
20.3236, 2002, Jan Average, Rwanda, RWA
21.3933, 2002, Feb Average, Rwanda, RWA
20.4013, 2002, Mar Average, Rwanda, RWA
20.6469, 2002, Apr Average, Rwanda, RWA
20.4554, 2002, May Average, Rwanda, RWA
19.6916, 2002, Jun Average, Rwanda, RWA
20.6617, 2002, Jul Average, Rwanda, RWA
20.9459, 2002, Aug Average, Rwanda, RWA
21.0292, 2002, Sep Average, Rwanda, RWA
20.4241, 2002, Oct Average, Rwanda, RWA
20.0793, 2002, Nov Average, Rwanda, RWA
20.1701, 2002, Dec Average, Rwanda, RWA
20.5774, 2003, Jan Average, Rwanda, RWA
20.6249, 2003, Feb Average, Rwanda, RWA
21.014, 2003, Mar Average, Rwanda, RWA
20.7447, 2003, Apr Average, Rwanda, RWA
20.6249, 2003, May Average, Rwanda, RWA
19.9802, 2003, Jun Average, Rwanda, RWA
19.9799, 2003, Jul Average, Rwanda, RWA
20.289, 2003, Aug Average, Rwanda, RWA
20.6957, 2003, Sep Average, Rwanda, RWA
20.5661, 2003, Oct Average, Rwanda, RWA
20.7692, 2003, Nov Average, Rwanda, RWA
21.5179, 2003, Dec Average, Rwanda, RWA
21.2336, 2004, Jan Average, Rwanda, RWA
21.2682, 2004, Feb Average, Rwanda, RWA
20.5771, 2004, Mar Average, Rwanda, RWA
19.8618, 2004, Apr Average, Rwanda, RWA
20.3013, 2004, May Average, Rwanda, RWA
19.8747, 2004, Jun Average, Rwanda, RWA
20.4878, 2004, Jul Average, Rwanda, RWA
21.5003, 2004, Aug Average, Rwanda, RWA
20.2623, 2004, Sep Average, Rwanda, RWA
20.3933, 2004, Oct Average, Rwanda, RWA
20.1687, 2004, Nov Average, Rwanda, RWA
19.8885, 2004, Dec Average, Rwanda, RWA
19.2116, 2005, Jan Average, Rwanda, RWA
22.597, 2005, Feb Average, Rwanda, RWA
21.4478, 2005, Mar Average, Rwanda, RWA
21.1947, 2005, Apr Average, Rwanda, RWA
19.8719, 2005, May Average, Rwanda, RWA
20.3473, 2005, Jun Average, Rwanda, RWA
19.3066, 2005, Jul Average, Rwanda, RWA
20.6508, 2005, Aug Average, Rwanda, RWA
20.9374, 2005, Sep Average, Rwanda, RWA
20.2433, 2005, Oct Average, Rwanda, RWA
20.966, 2005, Nov Average, Rwanda, RWA
22.4124, 2005, Dec Average, Rwanda, RWA
21.0915, 2006, Jan Average, Rwanda, RWA
20.9789, 2006, Feb Average, Rwanda, RWA
20.9435, 2006, Mar Average, Rwanda, RWA
19.836, 2006, Apr Average, Rwanda, RWA
19.2721, 2006, May Average, Rwanda, RWA
19.2183, 2006, Jun Average, Rwanda, RWA
20.1631, 2006, Jul Average, Rwanda, RWA
20.6617, 2006, Aug Average, Rwanda, RWA
19.6095, 2006, Sep Average, Rwanda, RWA
21.0775, 2006, Oct Average, Rwanda, RWA
19.6783, 2006, Nov Average, Rwanda, RWA
18.7104, 2006, Dec Average, Rwanda, RWA
20.2178, 2007, Jan Average, Rwanda, RWA
20.1934, 2007, Feb Average, Rwanda, RWA
20.8468, 2007, Mar Average, Rwanda, RWA
19.9907, 2007, Apr Average, Rwanda, RWA
20.6219, 2007, May Average, Rwanda, RWA
18.9512, 2007, Jun Average, Rwanda, RWA
18.6474, 2007, Jul Average, Rwanda, RWA
20.011, 2007, Aug Average, Rwanda, RWA
20.3614, 2007, Sep Average, Rwanda, RWA
20.4176, 2007, Oct Average, Rwanda, RWA
19.5044, 2007, Nov Average, Rwanda, RWA
20.0731, 2007, Dec Average, Rwanda, RWA
21.0658, 2008, Jan Average, Rwanda, RWA
19.9896, 2008, Feb Average, Rwanda, RWA
19.7905, 2008, Mar Average, Rwanda, RWA
19.1607, 2008, Apr Average, Rwanda, RWA
19.437, 2008, May Average, Rwanda, RWA
18.8244, 2008, Jun Average, Rwanda, RWA
19.9292, 2008, Jul Average, Rwanda, RWA
20.5803, 2008, Aug Average, Rwanda, RWA
21.022, 2008, Sep Average, Rwanda, RWA
19.8197, 2008, Oct Average, Rwanda, RWA
19.7202, 2008, Nov Average, Rwanda, RWA
19.2246, 2008, Dec Average, Rwanda, RWA
21.1224, 2009, Jan Average, Rwanda, RWA
19.774, 2009, Feb Average, Rwanda, RWA
20.347, 2009, Mar Average, Rwanda, RWA
20.6964, 2009, Apr Average, Rwanda, RWA
20.2936, 2009, May Average, Rwanda, RWA
19.8643, 2009, Jun Average, Rwanda, RWA
20.8307, 2009, Jul Average, Rwanda, RWA
20.9892, 2009, Aug Average, Rwanda, RWA
21.0361, 2009, Sep Average, Rwanda, RWA
20.9978, 2009, Oct Average, Rwanda, RWA
19.9035, 2009, Nov Average, Rwanda, RWA
20.655, 2009, Dec Average, Rwanda, RWA
20.3859, 2010, Jan Average, Rwanda, RWA
19.7845, 2010, Feb Average, Rwanda, RWA
20.3766, 2010, Mar Average, Rwanda, RWA
20.6656, 2010, Apr Average, Rwanda, RWA
20.2447, 2010, May Average, Rwanda, RWA
19.8474, 2010, Jun Average, Rwanda, RWA
19.68, 2010, Jul Average, Rwanda, RWA
20.4734, 2010, Aug Average, Rwanda, RWA
20.5436, 2010, Sep Average, Rwanda, RWA
20.8171, 2010, Oct Average, Rwanda, RWA
20.245, 2010, Nov Average, Rwanda, RWA
20.1636, 2010, Dec Average, Rwanda, RWA
20.3158, 2011, Jan Average, Rwanda, RWA
20.017, 2011, Feb Average, Rwanda, RWA
20.1351, 2011, Mar Average, Rwanda, RWA
20.3411, 2011, Apr Average, Rwanda, RWA
20.6072, 2011, May Average, Rwanda, RWA
19.7645, 2011, Jun Average, Rwanda, RWA
19.8277, 2011, Jul Average, Rwanda, RWA
20.1871, 2011, Aug Average, Rwanda, RWA
20.3466, 2011, Sep Average, Rwanda, RWA
19.0548, 2011, Oct Average, Rwanda, RWA
18.4367, 2011, Nov Average, Rwanda, RWA
18.674, 2011, Dec Average, Rwanda, RWA
18.8265, 2012, Jan Average, Rwanda, RWA
20.4252, 2012, Feb Average, Rwanda, RWA
19.9999, 2012, Mar Average, Rwanda, RWA
19.5645, 2012, Apr Average, Rwanda, RWA
19.5012, 2012, May Average, Rwanda, RWA
19.4542, 2012, Jun Average, Rwanda, RWA
19.5674, 2012, Jul Average, Rwanda, RWA
20.6191, 2012, Aug Average, Rwanda, RWA
21.0449, 2012, Sep Average, Rwanda, RWA
20.7576, 2012, Oct Average, Rwanda, RWA
20.04, 2012, Nov Average, Rwanda, RWA
19.0834, 2012, Dec Average, Rwanda, RWA
19.8909, 2013, Jan Average, Rwanda, RWA
20.2714, 2013, Feb Average, Rwanda, RWA
20.0426, 2013, Mar Average, Rwanda, RWA
17.8508, 2013, Apr Average, Rwanda, RWA
19.9344, 2013, May Average, Rwanda, RWA
18.6818, 2013, Jun Average, Rwanda, RWA
20.385, 2013, Jul Average, Rwanda, RWA
20.2194, 2013, Aug Average, Rwanda, RWA
20.9406, 2013, Sep Average, Rwanda, RWA
20.4475, 2013, Oct Average, Rwanda, RWA
20.3316, 2013, Nov Average, Rwanda, RWA
19.4157, 2013, Dec Average, Rwanda, RWA
19.8189, 2014, Jan Average, Rwanda, RWA
19.9444, 2014, Feb Average, Rwanda, RWA
19.9661, 2014, Mar Average, Rwanda, RWA
19.0809, 2014, Apr Average, Rwanda, RWA
21.1201, 2014, May Average, Rwanda, RWA
20.2354, 2014, Jun Average, Rwanda, RWA
20.5225, 2014, Jul Average, Rwanda, RWA
19.192, 2014, Aug Average, Rwanda, RWA
20.8084, 2014, Sep Average, Rwanda, RWA
19.1197, 2014, Oct Average, Rwanda, RWA
20.0466, 2014, Nov Average, Rwanda, RWA
19.1515, 2014, Dec Average, Rwanda, RWA
19.631, 2015, Jan Average, Rwanda, RWA
19.9983, 2015, Feb Average, Rwanda, RWA
19.8742, 2015, Mar Average, Rwanda, RWA
18.7396, 2015, Apr Average, Rwanda, RWA
19.2666, 2015, May Average, Rwanda, RWA
19.8417, 2015, Jun Average, Rwanda, RWA
19.5394, 2015, Jul Average, Rwanda, RWA
20.4675, 2015, Aug Average, Rwanda, RWA
20.9601, 2015, Sep Average, Rwanda, RWA
20.8459, 2015, Oct Average, Rwanda, RWA
18.9768, 2015, Nov Average, Rwanda, RWA
19.8824, 2015, Dec Average, Rwanda, RWA
21.2427, 2016, Jan Average, Rwanda, RWA
20.7551, 2016, Feb Average, Rwanda, RWA
20.7492, 2016, Mar Average, Rwanda, RWA
20.0019, 2016, Apr Average, Rwanda, RWA
19.9112, 2016, May Average, Rwanda, RWA
20.0074, 2016, Jun Average, Rwanda, RWA
20.3386, 2016, Jul Average, Rwanda, RWA
20.1778, 2016, Aug Average, Rwanda, RWA
19.9339, 2016, Sep Average, Rwanda, RWA
20.3374, 2016, Oct Average, Rwanda, RWA
20.1616, 2016, Nov Average, Rwanda, RWA
20.3985, 2016, Dec Average, Rwanda, RWA
