Temperature - (Celsius), Year, Statistics, Country, ISO3
23.5744, 1991, Jan Average, El Salvador, SLV
23.4158, 1991, Feb Average, El Salvador, SLV
24.8148, 1991, Mar Average, El Salvador, SLV
25.7816, 1991, Apr Average, El Salvador, SLV
25.2806, 1991, May Average, El Salvador, SLV
24.9359, 1991, Jun Average, El Salvador, SLV
24.832, 1991, Jul Average, El Salvador, SLV
24.3319, 1991, Aug Average, El Salvador, SLV
23.6312, 1991, Sep Average, El Salvador, SLV
23.5995, 1991, Oct Average, El Salvador, SLV
22.465, 1991, Nov Average, El Salvador, SLV
22.5696, 1991, Dec Average, El Salvador, SLV
22.8374, 1992, Jan Average, El Salvador, SLV
23.2177, 1992, Feb Average, El Salvador, SLV
25.1554, 1992, Mar Average, El Salvador, SLV
25.5634, 1992, Apr Average, El Salvador, SLV
25.1758, 1992, May Average, El Salvador, SLV
25.0283, 1992, Jun Average, El Salvador, SLV
24.7265, 1992, Jul Average, El Salvador, SLV
24.5484, 1992, Aug Average, El Salvador, SLV
23.3295, 1992, Sep Average, El Salvador, SLV
23.7256, 1992, Oct Average, El Salvador, SLV
23.5713, 1992, Nov Average, El Salvador, SLV
23.3293, 1992, Dec Average, El Salvador, SLV
23.2466, 1993, Jan Average, El Salvador, SLV
23.2307, 1993, Feb Average, El Salvador, SLV
24.1636, 1993, Mar Average, El Salvador, SLV
25.4837, 1993, Apr Average, El Salvador, SLV
24.6411, 1993, May Average, El Salvador, SLV
24.8778, 1993, Jun Average, El Salvador, SLV
24.6097, 1993, Jul Average, El Salvador, SLV
23.9969, 1993, Aug Average, El Salvador, SLV
23.2922, 1993, Sep Average, El Salvador, SLV
24.3363, 1993, Oct Average, El Salvador, SLV
23.2199, 1993, Nov Average, El Salvador, SLV
22.5374, 1993, Dec Average, El Salvador, SLV
22.9923, 1994, Jan Average, El Salvador, SLV
23.6922, 1994, Feb Average, El Salvador, SLV
24.9541, 1994, Mar Average, El Salvador, SLV
25.889, 1994, Apr Average, El Salvador, SLV
25.2632, 1994, May Average, El Salvador, SLV
24.8721, 1994, Jun Average, El Salvador, SLV
24.6694, 1994, Jul Average, El Salvador, SLV
24.6435, 1994, Aug Average, El Salvador, SLV
24.1263, 1994, Sep Average, El Salvador, SLV
23.7978, 1994, Oct Average, El Salvador, SLV
23.3313, 1994, Nov Average, El Salvador, SLV
22.8556, 1994, Dec Average, El Salvador, SLV
23.3142, 1995, Jan Average, El Salvador, SLV
23.4144, 1995, Feb Average, El Salvador, SLV
24.8374, 1995, Mar Average, El Salvador, SLV
25.6118, 1995, Apr Average, El Salvador, SLV
25.2924, 1995, May Average, El Salvador, SLV
24.8242, 1995, Jun Average, El Salvador, SLV
24.3477, 1995, Jul Average, El Salvador, SLV
24.1592, 1995, Aug Average, El Salvador, SLV
23.5799, 1995, Sep Average, El Salvador, SLV
23.6205, 1995, Oct Average, El Salvador, SLV
23.0887, 1995, Nov Average, El Salvador, SLV
