Temperature - (Celsius), Year, Statistics, Country, ISO3
25.1747, 1991, Jan Average, Thailand, THA
25.7293, 1991, Feb Average, Thailand, THA
28.9042, 1991, Mar Average, Thailand, THA
29.7724, 1991, Apr Average, Thailand, THA
29.4609, 1991, May Average, Thailand, THA
28.0799, 1991, Jun Average, Thailand, THA
27.8605, 1991, Jul Average, Thailand, THA
27.0375, 1991, Aug Average, Thailand, THA
27.3956, 1991, Sep Average, Thailand, THA
26.3992, 1991, Oct Average, Thailand, THA
24.5631, 1991, Nov Average, Thailand, THA
23.7109, 1991, Dec Average, Thailand, THA
22.736, 1992, Jan Average, Thailand, THA
25.1961, 1992, Feb Average, Thailand, THA
28.1899, 1992, Mar Average, Thailand, THA
30.4734, 1992, Apr Average, Thailand, THA
30.0535, 1992, May Average, Thailand, THA
28.3384, 1992, Jun Average, Thailand, THA
27.4225, 1992, Jul Average, Thailand, THA
27.2566, 1992, Aug Average, Thailand, THA
27.2497, 1992, Sep Average, Thailand, THA
25.3915, 1992, Oct Average, Thailand, THA
23.6484, 1992, Nov Average, Thailand, THA
23.1284, 1992, Dec Average, Thailand, THA
23.2675, 1993, Jan Average, Thailand, THA
24.633, 1993, Feb Average, Thailand, THA
27.6852, 1993, Mar Average, Thailand, THA
29.0318, 1993, Apr Average, Thailand, THA
29.0262, 1993, May Average, Thailand, THA
28.5697, 1993, Jun Average, Thailand, THA
28.1448, 1993, Jul Average, Thailand, THA
27.1863, 1993, Aug Average, Thailand, THA
27.1288, 1993, Sep Average, Thailand, THA
26.4483, 1993, Oct Average, Thailand, THA
25.1065, 1993, Nov Average, Thailand, THA
22.9769, 1993, Dec Average, Thailand, THA
24.3749, 1994, Jan Average, Thailand, THA
26.9873, 1994, Feb Average, Thailand, THA
26.9137, 1994, Mar Average, Thailand, THA
29.5716, 1994, Apr Average, Thailand, THA
28.562, 1994, May Average, Thailand, THA
27.4554, 1994, Jun Average, Thailand, THA
27.1238, 1994, Jul Average, Thailand, THA
26.935, 1994, Aug Average, Thailand, THA
27.1452, 1994, Sep Average, Thailand, THA
25.8149, 1994, Oct Average, Thailand, THA
24.6491, 1994, Nov Average, Thailand, THA
24.6091, 1994, Dec Average, Thailand, THA
23.9439, 1995, Jan Average, Thailand, THA
24.5876, 1995, Feb Average, Thailand, THA
27.913, 1995, Mar Average, Thailand, THA
29.7211, 1995, Apr Average, Thailand, THA
28.8941, 1995, May Average, Thailand, THA
28.4527, 1995, Jun Average, Thailand, THA
27.3223, 1995, Jul Average, Thailand, THA
26.7406, 1995, Aug Average, Thailand, THA
27.1403, 1995, Sep Average, Thailand, THA
26.4038, 1995, Oct Average, Thailand, THA
24.934, 1995, Nov Average, Thailand, THA
22.5988, 1995, Dec Average, Thailand, THA
23.7171, 1996, Jan Average, Thailand, THA
23.9261, 1996, Feb Average, Thailand, THA
27.659, 1996, Mar Average, Thailand, THA
28.2029, 1996, Apr Average, Thailand, THA
27.6836, 1996, May Average, Thailand, THA
27.4995, 1996, Jun Average, Thailand, THA
27.272, 1996, Jul Average, Thailand, THA
27.1091, 1996, Aug Average, Thailand, THA
26.6897, 1996, Sep Average, Thailand, THA
26.268, 1996, Oct Average, Thailand, THA
25.2752, 1996, Nov Average, Thailand, THA
22.6494, 1996, Dec Average, Thailand, THA
22.9624, 1997, Jan Average, Thailand, THA
25.0029, 1997, Feb Average, Thailand, THA
27.1814, 1997, Mar Average, Thailand, THA
27.7923, 1997, Apr Average, Thailand, THA
28.9158, 1997, May Average, Thailand, THA
28.6284, 1997, Jun Average, Thailand, THA
27.4747, 1997, Jul Average, Thailand, THA
27.3388, 1997, Aug Average, Thailand, THA
27.0135, 1997, Sep Average, Thailand, THA
26.978, 1997, Oct Average, Thailand, THA
25.7764, 1997, Nov Average, Thailand, THA
25.2901, 1997, Dec Average, Thailand, THA
25.246, 1998, Jan Average, Thailand, THA
26.8334, 1998, Feb Average, Thailand, THA
29.0026, 1998, Mar Average, Thailand, THA
29.9398, 1998, Apr Average, Thailand, THA
29.7551, 1998, May Average, Thailand, THA
28.7319, 1998, Jun Average, Thailand, THA
27.9898, 1998, Jul Average, Thailand, THA
27.6402, 1998, Aug Average, Thailand, THA
27.0807, 1998, Sep Average, Thailand, THA
26.9913, 1998, Oct Average, Thailand, THA
25.2464, 1998, Nov Average, Thailand, THA
24.0796, 1998, Dec Average, Thailand, THA
24.111, 1999, Jan Average, Thailand, THA
25.6449, 1999, Feb Average, Thailand, THA
28.0532, 1999, Mar Average, Thailand, THA
27.9212, 1999, Apr Average, Thailand, THA
27.1606, 1999, May Average, Thailand, THA
27.259, 1999, Jun Average, Thailand, THA
27.3019, 1999, Jul Average, Thailand, THA
27.0896, 1999, Aug Average, Thailand, THA
26.794, 1999, Sep Average, Thailand, THA
26.3308, 1999, Oct Average, Thailand, THA
24.9755, 1999, Nov Average, Thailand, THA
21.235, 1999, Dec Average, Thailand, THA
24.3964, 2000, Jan Average, Thailand, THA
24.6675, 2000, Feb Average, Thailand, THA
27.2698, 2000, Mar Average, Thailand, THA
28.1972, 2000, Apr Average, Thailand, THA
27.6924, 2000, May Average, Thailand, THA
27.2031, 2000, Jun Average, Thailand, THA
27.103, 2000, Jul Average, Thailand, THA
27.3762, 2000, Aug Average, Thailand, THA
26.7245, 2000, Sep Average, Thailand, THA
26.7055, 2000, Oct Average, Thailand, THA
24.5748, 2000, Nov Average, Thailand, THA
24.5419, 2000, Dec Average, Thailand, THA
24.8699, 2001, Jan Average, Thailand, THA
26.1216, 2001, Feb Average, Thailand, THA
27.1768, 2001, Mar Average, Thailand, THA
30.4897, 2001, Apr Average, Thailand, THA
28.1691, 2001, May Average, Thailand, THA
27.7826, 2001, Jun Average, Thailand, THA
27.7581, 2001, Jul Average, Thailand, THA
27.5192, 2001, Aug Average, Thailand, THA
27.5194, 2001, Sep Average, Thailand, THA
27.0235, 2001, Oct Average, Thailand, THA
23.8987, 2001, Nov Average, Thailand, THA
24.1716, 2001, Dec Average, Thailand, THA
23.7405, 2002, Jan Average, Thailand, THA
26.1906, 2002, Feb Average, Thailand, THA
27.9365, 2002, Mar Average, Thailand, THA
29.6418, 2002, Apr Average, Thailand, THA
28.4914, 2002, May Average, Thailand, THA
28.2206, 2002, Jun Average, Thailand, THA
27.8932, 2002, Jul Average, Thailand, THA
27.1822, 2002, Aug Average, Thailand, THA
26.9082, 2002, Sep Average, Thailand, THA
26.8036, 2002, Oct Average, Thailand, THA
25.7114, 2002, Nov Average, Thailand, THA
25.3955, 2002, Dec Average, Thailand, THA
23.5102, 2003, Jan Average, Thailand, THA
26.0168, 2003, Feb Average, Thailand, THA
27.2788, 2003, Mar Average, Thailand, THA
29.7573, 2003, Apr Average, Thailand, THA
29.267, 2003, May Average, Thailand, THA
27.9881, 2003, Jun Average, Thailand, THA
27.7262, 2003, Jul Average, Thailand, THA
27.7867, 2003, Aug Average, Thailand, THA
27.2493, 2003, Sep Average, Thailand, THA
27.1064, 2003, Oct Average, Thailand, THA
26.2243, 2003, Nov Average, Thailand, THA
23.3926, 2003, Dec Average, Thailand, THA
24.2563, 2004, Jan Average, Thailand, THA
24.8563, 2004, Feb Average, Thailand, THA
28.4558, 2004, Mar Average, Thailand, THA
29.9582, 2004, Apr Average, Thailand, THA
28.7199, 2004, May Average, Thailand, THA
27.741, 2004, Jun Average, Thailand, THA
27.4871, 2004, Jul Average, Thailand, THA
27.6332, 2004, Aug Average, Thailand, THA
27.2745, 2004, Sep Average, Thailand, THA
26.5418, 2004, Oct Average, Thailand, THA
25.9558, 2004, Nov Average, Thailand, THA
23.2305, 2004, Dec Average, Thailand, THA
24.0676, 2005, Jan Average, Thailand, THA
27.3058, 2005, Feb Average, Thailand, THA
27.6527, 2005, Mar Average, Thailand, THA
29.6072, 2005, Apr Average, Thailand, THA
29.5042, 2005, May Average, Thailand, THA
28.4092, 2005, Jun Average, Thailand, THA
27.8882, 2005, Jul Average, Thailand, THA
