Temperature - (Celsius), Year, Statistics, Country, ISO3
23.2964, 1991, Jan Average, Tanzania, United Republic of, TZA
23.8869, 1991, Feb Average, Tanzania, United Republic of, TZA
23.8262, 1991, Mar Average, Tanzania, United Republic of, TZA
22.8863, 1991, Apr Average, Tanzania, United Republic of, TZA
22.3924, 1991, May Average, Tanzania, United Republic of, TZA
21.0215, 1991, Jun Average, Tanzania, United Republic of, TZA
20.2659, 1991, Jul Average, Tanzania, United Republic of, TZA
20.975, 1991, Aug Average, Tanzania, United Republic of, TZA
22.5013, 1991, Sep Average, Tanzania, United Republic of, TZA
23.8302, 1991, Oct Average, Tanzania, United Republic of, TZA
23.5946, 1991, Nov Average, Tanzania, United Republic of, TZA
23.0522, 1991, Dec Average, Tanzania, United Republic of, TZA
23.2125, 1992, Jan Average, Tanzania, United Republic of, TZA
23.7753, 1992, Feb Average, Tanzania, United Republic of, TZA
23.973, 1992, Mar Average, Tanzania, United Republic of, TZA
23.4027, 1992, Apr Average, Tanzania, United Republic of, TZA
22.41, 1992, May Average, Tanzania, United Republic of, TZA
21.2521, 1992, Jun Average, Tanzania, United Republic of, TZA
20.1379, 1992, Jul Average, Tanzania, United Republic of, TZA
20.8108, 1992, Aug Average, Tanzania, United Republic of, TZA
22.5729, 1992, Sep Average, Tanzania, United Republic of, TZA
23.4173, 1992, Oct Average, Tanzania, United Republic of, TZA
23.7513, 1992, Nov Average, Tanzania, United Republic of, TZA
23.3125, 1992, Dec Average, Tanzania, United Republic of, TZA
22.7906, 1993, Jan Average, Tanzania, United Republic of, TZA
23.1904, 1993, Feb Average, Tanzania, United Republic of, TZA
23.0035, 1993, Mar Average, Tanzania, United Republic of, TZA
23.2851, 1993, Apr Average, Tanzania, United Republic of, TZA
22.5083, 1993, May Average, Tanzania, United Republic of, TZA
20.9756, 1993, Jun Average, Tanzania, United Republic of, TZA
20.0911, 1993, Jul Average, Tanzania, United Republic of, TZA
21.0564, 1993, Aug Average, Tanzania, United Republic of, TZA
22.2321, 1993, Sep Average, Tanzania, United Republic of, TZA
23.4707, 1993, Oct Average, Tanzania, United Republic of, TZA
23.9921, 1993, Nov Average, Tanzania, United Republic of, TZA
23.8377, 1993, Dec Average, Tanzania, United Republic of, TZA
23.2687, 1994, Jan Average, Tanzania, United Republic of, TZA
23.6621, 1994, Feb Average, Tanzania, United Republic of, TZA
23.3238, 1994, Mar Average, Tanzania, United Republic of, TZA
22.8362, 1994, Apr Average, Tanzania, United Republic of, TZA
22.1995, 1994, May Average, Tanzania, United Republic of, TZA
20.8268, 1994, Jun Average, Tanzania, United Republic of, TZA
20.1401, 1994, Jul Average, Tanzania, United Republic of, TZA
21.5768, 1994, Aug Average, Tanzania, United Republic of, TZA
22.9136, 1994, Sep Average, Tanzania, United Republic of, TZA
23.6889, 1994, Oct Average, Tanzania, United Republic of, TZA
23.9437, 1994, Nov Average, Tanzania, United Republic of, TZA
23.5094, 1994, Dec Average, Tanzania, United Republic of, TZA
23.4032, 1995, Jan Average, Tanzania, United Republic of, TZA
23.4539, 1995, Feb Average, Tanzania, United Republic of, TZA
23.6541, 1995, Mar Average, Tanzania, United Republic of, TZA
23.166, 1995, Apr Average, Tanzania, United Republic of, TZA
22.3057, 1995, May Average, Tanzania, United Republic of, TZA
21.0925, 1995, Jun Average, Tanzania, United Republic of, TZA
20.7479, 1995, Jul Average, Tanzania, United Republic of, TZA
21.9756, 1995, Aug Average, Tanzania, United Republic of, TZA
22.7936, 1995, Sep Average, Tanzania, United Republic of, TZA
24.2242, 1995, Oct Average, Tanzania, United Republic of, TZA
24.4622, 1995, Nov Average, Tanzania, United Republic of, TZA
23.8183, 1995, Dec Average, Tanzania, United Republic of, TZA
23.8167, 1996, Jan Average, Tanzania, United Republic of, TZA
23.4225, 1996, Feb Average, Tanzania, United Republic of, TZA
23.5117, 1996, Mar Average, Tanzania, United Republic of, TZA
22.4305, 1996, Apr Average, Tanzania, United Republic of, TZA
22.1134, 1996, May Average, Tanzania, United Republic of, TZA
20.9093, 1996, Jun Average, Tanzania, United Republic of, TZA
20.4713, 1996, Jul Average, Tanzania, United Republic of, TZA
21.2081, 1996, Aug Average, Tanzania, United Republic of, TZA
22.449, 1996, Sep Average, Tanzania, United Republic of, TZA
23.4095, 1996, Oct Average, Tanzania, United Republic of, TZA
24.4791, 1996, Nov Average, Tanzania, United Republic of, TZA
24.1819, 1996, Dec Average, Tanzania, United Republic of, TZA
24.107, 1997, Jan Average, Tanzania, United Republic of, TZA
23.5433, 1997, Feb Average, Tanzania, United Republic of, TZA
23.7155, 1997, Mar Average, Tanzania, United Republic of, TZA
23.047, 1997, Apr Average, Tanzania, United Republic of, TZA
22.1473, 1997, May Average, Tanzania, United Republic of, TZA
21.4885, 1997, Jun Average, Tanzania, United Republic of, TZA
20.7248, 1997, Jul Average, Tanzania, United Republic of, TZA
20.9977, 1997, Aug Average, Tanzania, United Republic of, TZA
23.3171, 1997, Sep Average, Tanzania, United Republic of, TZA
24.0648, 1997, Oct Average, Tanzania, United Republic of, TZA
24.2098, 1997, Nov Average, Tanzania, United Republic of, TZA
23.351, 1997, Dec Average, Tanzania, United Republic of, TZA
23.3318, 1998, Jan Average, Tanzania, United Republic of, TZA
24.1918, 1998, Feb Average, Tanzania, United Republic of, TZA
24.2946, 1998, Mar Average, Tanzania, United Republic of, TZA
23.0458, 1998, Apr Average, Tanzania, United Republic of, TZA
22.341, 1998, May Average, Tanzania, United Republic of, TZA
21.314, 1998, Jun Average, Tanzania, United Republic of, TZA
20.9583, 1998, Jul Average, Tanzania, United Republic of, TZA
21.7084, 1998, Aug Average, Tanzania, United Republic of, TZA
22.9832, 1998, Sep Average, Tanzania, United Republic of, TZA
24.0758, 1998, Oct Average, Tanzania, United Republic of, TZA
24.5195, 1998, Nov Average, Tanzania, United Republic of, TZA
23.6648, 1998, Dec Average, Tanzania, United Republic of, TZA
23.9696, 1999, Jan Average, Tanzania, United Republic of, TZA
24.3845, 1999, Feb Average, Tanzania, United Republic of, TZA
23.5383, 1999, Mar Average, Tanzania, United Republic of, TZA
22.7705, 1999, Apr Average, Tanzania, United Republic of, TZA
22.2828, 1999, May Average, Tanzania, United Republic of, TZA
20.8605, 1999, Jun Average, Tanzania, United Republic of, TZA
20.339, 1999, Jul Average, Tanzania, United Republic of, TZA
21.4792, 1999, Aug Average, Tanzania, United Republic of, TZA
22.7581, 1999, Sep Average, Tanzania, United Republic of, TZA
23.3471, 1999, Oct Average, Tanzania, United Republic of, TZA
23.7117, 1999, Nov Average, Tanzania, United Republic of, TZA
23.9747, 1999, Dec Average, Tanzania, United Republic of, TZA
23.3864, 2000, Jan Average, Tanzania, United Republic of, TZA
23.6904, 2000, Feb Average, Tanzania, United Republic of, TZA
23.4749, 2000, Mar Average, Tanzania, United Republic of, TZA
23.368, 2000, Apr Average, Tanzania, United Republic of, TZA
22.9389, 2000, May Average, Tanzania, United Republic of, TZA
20.9288, 2000, Jun Average, Tanzania, United Republic of, TZA
20.6888, 2000, Jul Average, Tanzania, United Republic of, TZA
21.7604, 2000, Aug Average, Tanzania, United Republic of, TZA
22.6886, 2000, Sep Average, Tanzania, United Republic of, TZA
23.7659, 2000, Oct Average, Tanzania, United Republic of, TZA
23.8316, 2000, Nov Average, Tanzania, United Republic of, TZA
