Temperature - (Celsius), Year, Statistics, Country, ISO3
23.0316, 1991, Jan Average, Uganda, UGA
24.3988, 1991, Feb Average, Uganda, UGA
24.1387, 1991, Mar Average, Uganda, UGA
23.3219, 1991, Apr Average, Uganda, UGA
22.793, 1991, May Average, Uganda, UGA
22.6876, 1991, Jun Average, Uganda, UGA
21.753, 1991, Jul Average, Uganda, UGA
21.7055, 1991, Aug Average, Uganda, UGA
22.3807, 1991, Sep Average, Uganda, UGA
23.0484, 1991, Oct Average, Uganda, UGA
22.4689, 1991, Nov Average, Uganda, UGA
22.3605, 1991, Dec Average, Uganda, UGA
23.2178, 1992, Jan Average, Uganda, UGA
23.9814, 1992, Feb Average, Uganda, UGA
24.1487, 1992, Mar Average, Uganda, UGA
23.7867, 1992, Apr Average, Uganda, UGA
22.9064, 1992, May Average, Uganda, UGA
22.6002, 1992, Jun Average, Uganda, UGA
21.6241, 1992, Jul Average, Uganda, UGA
21.6427, 1992, Aug Average, Uganda, UGA
22.2308, 1992, Sep Average, Uganda, UGA
22.7294, 1992, Oct Average, Uganda, UGA
22.3541, 1992, Nov Average, Uganda, UGA
22.5368, 1992, Dec Average, Uganda, UGA
22.5592, 1993, Jan Average, Uganda, UGA
23.1471, 1993, Feb Average, Uganda, UGA
23.3447, 1993, Mar Average, Uganda, UGA
23.3699, 1993, Apr Average, Uganda, UGA
22.4993, 1993, May Average, Uganda, UGA
22.8276, 1993, Jun Average, Uganda, UGA
22.2045, 1993, Jul Average, Uganda, UGA
22.9819, 1993, Aug Average, Uganda, UGA
22.1825, 1993, Sep Average, Uganda, UGA
22.1472, 1993, Oct Average, Uganda, UGA
24.9219, 1993, Nov Average, Uganda, UGA
22.5845, 1993, Dec Average, Uganda, UGA
22.6261, 1994, Jan Average, Uganda, UGA
23.734, 1994, Feb Average, Uganda, UGA
23.1004, 1994, Mar Average, Uganda, UGA
23.086, 1994, Apr Average, Uganda, UGA
22.9107, 1994, May Average, Uganda, UGA
22.3575, 1994, Jun Average, Uganda, UGA
21.4725, 1994, Jul Average, Uganda, UGA
22.3557, 1994, Aug Average, Uganda, UGA
22.6546, 1994, Sep Average, Uganda, UGA
22.9466, 1994, Oct Average, Uganda, UGA
22.4628, 1994, Nov Average, Uganda, UGA
22.628, 1994, Dec Average, Uganda, UGA
23.1879, 1995, Jan Average, Uganda, UGA
23.9481, 1995, Feb Average, Uganda, UGA
23.9452, 1995, Mar Average, Uganda, UGA
24.1874, 1995, Apr Average, Uganda, UGA
23.0391, 1995, May Average, Uganda, UGA
22.9573, 1995, Jun Average, Uganda, UGA
22.0131, 1995, Jul Average, Uganda, UGA
23.0945, 1995, Aug Average, Uganda, UGA
22.8256, 1995, Sep Average, Uganda, UGA
23.2594, 1995, Oct Average, Uganda, UGA
23.7273, 1995, Nov Average, Uganda, UGA
23.3576, 1995, Dec Average, Uganda, UGA
24.2555, 1996, Jan Average, Uganda, UGA
24.3708, 1996, Feb Average, Uganda, UGA
23.8732, 1996, Mar Average, Uganda, UGA
23.1484, 1996, Apr Average, Uganda, UGA
22.8132, 1996, May Average, Uganda, UGA
22.4042, 1996, Jun Average, Uganda, UGA
22.0378, 1996, Jul Average, Uganda, UGA
22.0671, 1996, Aug Average, Uganda, UGA
22.3449, 1996, Sep Average, Uganda, UGA
22.7328, 1996, Oct Average, Uganda, UGA
22.9269, 1996, Nov Average, Uganda, UGA
22.9628, 1996, Dec Average, Uganda, UGA
24.0787, 1997, Jan Average, Uganda, UGA
23.8708, 1997, Feb Average, Uganda, UGA
24.4601, 1997, Mar Average, Uganda, UGA
23.2093, 1997, Apr Average, Uganda, UGA
22.9227, 1997, May Average, Uganda, UGA
22.7752, 1997, Jun Average, Uganda, UGA
22.2522, 1997, Jul Average, Uganda, UGA
21.8019, 1997, Aug Average, Uganda, UGA
23.5082, 1997, Sep Average, Uganda, UGA
23.3145, 1997, Oct Average, Uganda, UGA
23.1116, 1997, Nov Average, Uganda, UGA
23.0766, 1997, Dec Average, Uganda, UGA
23.935, 1998, Jan Average, Uganda, UGA
24.4303, 1998, Feb Average, Uganda, UGA
24.6679, 1998, Mar Average, Uganda, UGA
23.5676, 1998, Apr Average, Uganda, UGA
