Temperature - (Celsius), Year, Statistics, Country, ISO3
23.1525, 1991, Jan Average, Zambia, ZMB
23.8774, 1991, Feb Average, Zambia, ZMB
23.2861, 1991, Mar Average, Zambia, ZMB
21.7187, 1991, Apr Average, Zambia, ZMB
20.4874, 1991, May Average, Zambia, ZMB
18.0529, 1991, Jun Average, Zambia, ZMB
17.1923, 1991, Jul Average, Zambia, ZMB
19.8129, 1991, Aug Average, Zambia, ZMB
23.7448, 1991, Sep Average, Zambia, ZMB
24.3782, 1991, Oct Average, Zambia, ZMB
24.0323, 1991, Nov Average, Zambia, ZMB
22.9151, 1991, Dec Average, Zambia, ZMB
23.9504, 1992, Jan Average, Zambia, ZMB
24.6971, 1992, Feb Average, Zambia, ZMB
24.2499, 1992, Mar Average, Zambia, ZMB
23.3413, 1992, Apr Average, Zambia, ZMB
21.0634, 1992, May Average, Zambia, ZMB
18.6436, 1992, Jun Average, Zambia, ZMB
17.7419, 1992, Jul Average, Zambia, ZMB
19.3558, 1992, Aug Average, Zambia, ZMB
23.3757, 1992, Sep Average, Zambia, ZMB
25.1777, 1992, Oct Average, Zambia, ZMB
24.4653, 1992, Nov Average, Zambia, ZMB
23.8828, 1992, Dec Average, Zambia, ZMB
22.984, 1993, Jan Average, Zambia, ZMB
22.8658, 1993, Feb Average, Zambia, ZMB
22.7819, 1993, Mar Average, Zambia, ZMB
22.8891, 1993, Apr Average, Zambia, ZMB
21.1346, 1993, May Average, Zambia, ZMB
17.8677, 1993, Jun Average, Zambia, ZMB
17.9016, 1993, Jul Average, Zambia, ZMB
19.4869, 1993, Aug Average, Zambia, ZMB
22.7293, 1993, Sep Average, Zambia, ZMB
25.8146, 1993, Oct Average, Zambia, ZMB
24.3955, 1993, Nov Average, Zambia, ZMB
24.1488, 1993, Dec Average, Zambia, ZMB
23.2547, 1994, Jan Average, Zambia, ZMB
23.324, 1994, Feb Average, Zambia, ZMB
24.2141, 1994, Mar Average, Zambia, ZMB
22.085, 1994, Apr Average, Zambia, ZMB
20.6542, 1994, May Average, Zambia, ZMB
17.9412, 1994, Jun Average, Zambia, ZMB
17.8756, 1994, Jul Average, Zambia, ZMB
20.1914, 1994, Aug Average, Zambia, ZMB
23.7553, 1994, Sep Average, Zambia, ZMB
24.5959, 1994, Oct Average, Zambia, ZMB
26.3406, 1994, Nov Average, Zambia, ZMB
24.1946, 1994, Dec Average, Zambia, ZMB
24.1395, 1995, Jan Average, Zambia, ZMB
23.6602, 1995, Feb Average, Zambia, ZMB
23.982, 1995, Mar Average, Zambia, ZMB
23.1033, 1995, Apr Average, Zambia, ZMB
21.0913, 1995, May Average, Zambia, ZMB
17.4587, 1995, Jun Average, Zambia, ZMB
18.2677, 1995, Jul Average, Zambia, ZMB
21.6059, 1995, Aug Average, Zambia, ZMB
23.9814, 1995, Sep Average, Zambia, ZMB
